"","birA","spx","bshA","bshB1","bshB2","bshC","cca","coaX","dapB","mgsA","msrA","msrB","tpx","trxB","yacC","yacD","yjbH","yjbI","ylaA","ylaB","ylaD","ylbQ","yojF","yoyC","ypjD","ytpP","ytpQ","ytpR","ytvA","ytxK","yugJ","yugT","pval","z","inv_cof_var"
"GSM672657",12.11117286,14.13440409,11.71712751,12.15447286,12.30054126,11.61378959,11.9387881,11.91645465,11.59268067,11.97911264,11.85939182,11.44888067,14.35627175,12.97704498,11.57041264,11.00122007,12.0542368,12.28742007,8.216581041,8.714569888,8.524420446,11.71356952,12.75141933,12.88276766,11.77964126,12.91991375,12.69711524,13.60719368,10.16996877,11.8141171,12.71656803,8.361323792,0.44970345164363,0.126410610851027,7.93046930162258
"GSM672659",12.31169033,14.53674944,11.92279405,12.10021896,12.13522082,11.37801599,12.21495725,11.42471599,11.52583048,11.92807175,11.83606431,11.65957844,14.22852825,12.32441041,11.55308104,11.00122007,11.37684758,11.61139071,8.228271004,8.730405576,8.587512268,11.22378216,12.65138587,12.86715762,11.5304,12.71058885,12.87304684,13.50622305,10.04591561,11.53447937,12.49420967,8.236467658,0.402037604811929,0.248076510403299,8.02318102353922
"GSM672666",11.55682342,13.43975316,11.47432714,11.82570149,11.44532602,11.1592223,11.67184201,11.05971004,11.39931487,11.59652825,12.17309703,11.60009591,13.60378104,11.74211264,10.87773792,10.94725613,11.43328625,11.77321896,7.966381413,8.338381041,8.1188829,11.73466357,12.14450074,12.67568848,11.61762454,12.51368253,12.36067658,12.74146729,9.84866803,10.42599777,11.72602565,8.594514498,0.286341113233614,0.564105659783474,8.2640012264285
"GSM672667",11.63990818,13.82848513,11.48383494,11.75559182,11.69867212,11.22137844,11.59762937,10.95294498,11.40274498,11.46931636,11.98320223,11.56860223,13.67681933,12.00570595,10.86517584,10.87543271,11.76055242,12.10308439,8.038151301,8.521008922,8.214330483,11.65469554,12.25859294,12.52980595,11.45005353,12.48356283,12.33911152,12.97704498,10.14026543,10.71350892,11.86596059,8.371118216,0.258274385327905,0.648674529971511,8.32844430870982
"GSM672668",11.43945204,14.03726022,11.31557286,11.54112342,11.77082305,11.25937026,11.33162788,11.08095762,11.35625651,11.52469963,12.09511747,11.49468773,13.99217212,11.72728216,10.94154387,10.96242974,11.89274275,12.28023792,8.025824907,8.599350558,8.397209294,11.72602565,12.18972751,12.56166506,11.49827212,12.36067658,12.46536784,12.94970781,10.16625242,10.64447546,11.9151855,8.131836431,0.30445558474211,0.511628308306115,8.2240124897735
"GSM672669",11.29289665,14.15794052,11.36849442,11.76380725,11.75678996,11.11823309,11.51478885,11.06445836,11.35399554,11.54112342,12.07438996,11.53162528,13.81311004,11.98715093,10.98734907,11.01789926,11.88072639,12.35341599,8.174248327,8.581058364,8.402105204,11.59397472,12.37427993,12.55092639,11.36724349,12.719671,12.47473234,12.84223494,10.15634833,10.54498996,12.08748569,8.066166171,0.308915179401741,0.498927643573174,8.2143343424766
"GSM672670",11.08792416,14.50030743,11.11013494,11.53395353,11.9097197,11.01614368,11.22378216,11.10790929,11.24112156,11.41994833,12.23010929,11.65592045,13.67681933,12.1077987,11.08918216,10.87328067,12.15306543,12.57097026,8.046743123,8.690523792,8.315149071,11.60768401,12.36067658,12.63150967,11.35058922,12.69559926,12.52395651,12.80470855,10.28171859,10.43080074,12.11816134,8.062080297,0.370402706574971,0.330786957609395,8.0862079522776
"GSM672671",11.02599331,14.84428699,11.19147212,11.50542677,11.88757881,11.19509517,11.47432714,11.25459517,11.19638364,11.51967435,12.31592825,11.97753792,13.68882788,12.28742007,11.1518223,10.95418476,12.22607175,12.8679223,8.052826022,8.750019703,8.388984758,11.68967509,12.31870483,12.55561822,11.24241227,12.51217212,12.52835316,12.74985465,10.14402862,10.64447546,12.00707993,8.166616729,0.32443121011961,0.455343104672389,8.18112209758871
"GSM672672",10.92320428,14.79863755,10.83579108,11.22259814,11.93752491,11.08153048,10.94557026,11.11582156,10.90965465,11.11236022,12.55413048,11.9427,13.80583271,12.34942305,10.91080595,10.74508104,12.52685316,13.08980112,7.915737175,8.767733086,8.668460967,11.5350052,12.4688316,12.74293383,11.03072193,12.43328327,12.46005688,12.77884796,10.30703643,10.46929405,12.01920743,8.288367658,0.42836673886327,0.180533856067564,7.97171224050855
"GSM672673",10.94953011,14.89745725,10.9612197,11.34454126,11.68854647,10.98965576,11.14697993,10.73825836,10.92375167,11.34212082,12.40349591,11.63990818,13.58822193,11.99907435,10.71350892,10.6382342,12.25148216,12.67015204,7.992124907,8.593413755,8.484646468,11.48022454,12.33317249,12.51075985,10.9214461,12.49575204,12.233029,12.73350074,10.32731338,10.25985874,12.16890595,8.179828996,0.355154699935417,0.371440587511601,8.11718678894642
