"","pamR","ydcF","ydcG","pval","z","inv_cof_var"
"GSM672694",9.374982156,8.592207063,9.833729368,0.390371694670404,0.278350401535771,14.7617561567537
"GSM672695",9.096666171,9.025208922,9.775313755,0.0516384896684392,1.62917026724647,22.4620514028871
"GSM672696",10.03614498,9.794347955,10.77818476,0.119012253303744,1.17993892577501,19.9012258990907
"GSM672697",10.16879219,9.732179926,10.96242974,0.280158805944741,0.582369810568646,16.494806779959
"GSM672698",8.67227658,7.845779182,9.034102602,0.443629197701485,0.141774159747444,13.9832086893427
"GSM672699",8.398508922,8.171969145,8.819794796,0.0137313666136541,2.20487690952792,25.7438443593409
"GSM672700",8.238844238,7.854380669,8.765206691,0.192764308718285,0.867754729967147,18.1216322316311
"GSM672707",10.47985502,9.529263569,10.71119851,0.288891012759813,0.556627405247376,16.3480632160308
"GSM672708",10.40845706,9.627257249,10.60737249,0.12561147789715,1.14738398824988,19.7156477646359
"GSM672709",10.40512788,9.773924535,10.68093011,0.0582308794929629,1.56979952134318,22.1236108128103
"GSM672716",9.530714498,8.978518216,10.25195558,0.373568420059161,0.322416956477977,15.0129558112364
"GSM672717",9.684353532,8.845825279,10.28108848,0.489875465458341,0.025381169393751,13.3197150488844
"GSM672719",10.4475026,10.66082342,11.16098439,0.00224725100587441,2.84119358664739,29.3711424234544
"GSM672720",10.56183123,10.89382342,11.25331078,0.000642356663417581,3.21937282484009,31.5269382212231
"GSM672721",10.19692082,10.51839721,10.9483658,0.00466581689684249,2.5996593658089,27.9942861454912
"GSM672722",10.63703123,9.386327138,10.54389442,0.399717492041904,0.254078407950241,14.6233946167992
"GSM672724",10.45792007,9.589195539,10.65138476,0.194403786568725,0.861781852410644,18.0875840792301
"GSM672726",10.02511822,9.088011896,10.22303327,0.302192499254133,0.518105019182847,16.1284678770725
"GSM672737",9.993965056,9.580311896,10.41267844,0.0285858798257262,1.90199537186983,24.017280126927
"GSM672738",10.11216691,9.493057993,10.50714535,0.128490718374914,1.13355457436994,19.6368137374946
"GSM672739",10.23182268,9.398832714,10.4357777,0.186961978396215,0.889147233690101,18.2435793534512
"GSM672750",10.88470892,9.638676208,10.92265688,0.41854362892928,0.205620634598922,14.3471629953616
"GSM672755",10.81497212,9.602318959,10.9483658,0.435724796944502,0.161817471774908,14.0974647972366
"GSM672756",10.95534349,9.564360967,10.89479591,0.489902929289165,0.0253123056614188,13.3193224939005
"GSM672757",10.6261316,9.629740892,10.85929926,0.317467028639596,0.474793653110644,15.8815731468903
"GSM672758",10.14157732,9.080512639,10.46563457,0.466178956555251,0.0848785899331167,13.6588777427166
"GSM672759",10.29234758,9.208952416,10.56115855,0.442541985604871,0.144527463706622,13.998903789723
"GSM672775",10.34454164,9.367478067,10.67624981,0.381918190846559,0.300446785089765,14.8877157177259
"GSM672790",9.808316357,8.874475465,10.24754089,0.459668261440434,0.10126950540321,13.7523135084156
"GSM672794",9.786729368,9.042649442,10.4475026,0.45043626333298,0.124559204776489,13.8850755190436
"GSM672801",10.44045019,9.270202602,10.72067398,0.499373544276998,0.00157029227342251,13.1839820851117
"GSM672802",9.941332342,9.10509368,10.54804814,0.46918408763381,0.0773210126510465,13.6157960721737
"GSM672803",10.52022342,9.248775836,10.61725,0.493768053690151,0.0156218081963249,13.2640821961692
"GSM672812",10.44395465,9.2522,10.65194814,0.484716852596783,0.0383185445971702,13.3934640448129
"GSM672815",10.228229,9.175440149,10.59934572,0.474501781619427,0.0639581333825372,13.5396215071425
