"","ansA","ansR","ansB","pval","z","inv_cof_var"
"GSM672761",9.969993123,9.739531599,10.03007658,0.152379632936657,1.02628075515624,64.6347561483685
"GSM672762",9.874389219,9.812004461,10.01882751,0.0299840640471055,1.88102786751044,93.3337295873599
"GSM672763",9.917216729,9.641176952,10.08044907,0.334884689375621,0.426464543729342,44.4953379845507
"GSM672764",9.955614126,9.601017844,10.10210855,0.403587564540507,0.244071907729094,38.3713261682118
"GSM672765",10.10077323,9.604932714,10.06807993,0.433635774239139,0.167125186846017,35.7877644726845
"GSM672769",10.32377435,9.775313755,10.19381561,0.440152495115544,0.150582597238851,35.232330786058
"GSM672770",10.04591561,9.696065428,10.246271,0.432358315013711,0.170373221957303,35.8968204402805
"GSM672771",10.09368364,9.828678067,10.28045836,0.336489845409554,0.422062099700807,44.3475216042256
"GSM672772",9.995141264,9.937569888,10.09135651,0.00165429269421147,2.93751090195322,128.806184663235
"GSM672773",9.965484758,9.789263569,10.0087881,0.0502439736643939,1.64249265390489,85.3246756103596
"GSM672774",10.14765651,9.775313755,10.29473086,0.412245130939962,0.221773432992148,37.622632987555
"GSM672776",9.89214461,9.87559145,10.05582602,0.0190760214403299,2.07321749553714,99.786685029112
"GSM672778",9.847455762,9.655317472,9.880541264,0.0668157841534179,1.49993373519658,80.538119958557
"GSM672779",9.860341264,9.692330112,10.12073346,0.320605706255239,0.466005711245891,45.8229715031696
"GSM672780",9.815632714,9.798108922,10.06210632,0.13632019914689,1.09700227341798,67.0093005543374
"GSM672781",9.873116357,9.641176952,10.02391561,0.266884148432822,0.622263987838849,51.0694965451935
"GSM672782",9.837497398,9.764367286,9.806930483,8.91866026773423e-13,7.05042416635171,266.901285337801
"GSM672783",9.881884387,9.546230855,10.11590446,0.450039271432623,0.125562128300665,34.3922439777968
"GSM672784",10.04722045,9.785500743,10.0742026,0.16773498800645,0.963154537651255,62.5152314219383
"GSM672787",9.92234461,9.585373606,10.12191822,0.426245965587082,0.185939850171949,36.4194852650101
"GSM672790",10.19692082,9.675759108,9.986601859,0.408325243314926,0.2318551935213,37.9611379950157
"GSM672791",10.08044907,9.617849071,10.10699257,0.429756993548243,0.17699287379696,36.1190817495915
"GSM672794",10.10459219,9.635376394,10.03007658,0.392301189055854,0.27332632883929,39.3535720772996
"GSM672795",10.00747918,9.818199628,10.41760929,0.467666912903035,0.0811359627634828,32.9005918548242
"GSM672803",10.25133606,9.7712,10.39144312,0.488237346313115,0.0294888736484522,31.1664901336367
"GSM672805",10.18579145,9.733342007,10.37802602,0.49600411291739,0.0100163710275424,30.5126817411533
"GSM672806",10.00747918,9.58410632,10.1464539,0.45653752203996,0.109160683303309,33.8415493600125
"GSM672809",10.17928996,9.831281413,10.33848885,0.396355719192311,0.262791304073019,38.9998482780889
"GSM672811",10.30341896,9.799172862,10.37092045,0.472280103130892,0.0695394824369513,32.5112286431016
"GSM672814",10.21655725,9.865482528,10.39560743,0.411670684983389,0.22324944672972,37.6721915978597
"GSM672817",10.08044907,9.546230855,10.02391561,0.458475467308208,0.104275229643079,33.677515457112
