"","cydA","resD","ccpA","rex","cydB","cydC","cydD","pval","z","inv_cof_var"
"GSM672668",7.247768401,11.51009108,12.3842197,11.69346877,7.556651301,7.614605019,7.503384387,0.317278801515421,0.475321828186417,46.2533376440351
"GSM672669",7.351365799,11.74586245,12.38852714,11.86596059,7.736879182,7.746419517,7.497289219,0.411013507363302,0.224938632750876,39.3538047857539
"GSM672670",7.495428625,11.70866914,12.26289851,11.98320223,7.795259851,7.740278253,7.586030483,0.209231415232387,0.80909095521398,55.4506444161637
"GSM672671",7.628094052,11.97375353,12.0407881,12.32301375,7.913758364,7.960021933,7.712718216,0.280962655556721,0.57998414308541,49.1374013265568
"GSM672672",7.640334201,11.72477063,12.23151078,11.8469671,7.838004647,7.997119703,7.788498141,0.234167490154997,0.725190809434744,53.1387008705456
"GSM672673",7.742886245,12.04992751,12.31870483,12.40504387,7.947747212,8.059950186,7.88627026,0.166368773991213,0.968614536110805,59.8464593435743
"GSM672678",7.454666543,12.52685316,12.10981524,12.65290223,7.784542379,7.971537918,7.843720446,0.469727608662885,0.0759546005419932,35.2484165475523
"GSM672689",9.629740892,12.74146729,11.81046245,12.18015093,9.429528625,9.746404647,9.212445725,0.394735481249438,0.266997660342817,40.5127789028194
"GSM672703",7.243707063,11.47787249,12.24467361,11.57506468,7.572286989,7.59643829,7.452099257,0.316323834944466,0.47800356187431,46.3272352139762
"GSM672704",7.544768401,11.47064201,12.86877063,11.91770855,7.753662454,7.895319331,7.737766543,0.228056562016249,0.745262371318757,53.6917907074849
"GSM672705",7.499842751,11.4039948,12.82942007,11.97239591,7.71755316,7.803133086,7.712718216,0.169692246233089,0.955382120314564,59.4818282930687
"GSM672706",7.469724535,11.05398736,13.04355372,11.74586245,7.622386245,7.852455762,7.660676208,0.287577244328184,0.560476464478105,48.5998497975663
"GSM672709",7.591762082,11.38266952,12.63599665,12.35006059,7.740278253,8.075726022,7.891732156,0.433783494103217,0.166749712456644,37.7503570509345
"GSM672712",7.252905576,11.1695632,12.04352379,11.86661506,7.351951301,7.530736059,7.475986245,0.171506739626696,0.948227835880718,59.2846855876929
"GSM672716",7.108245353,11.96554164,12.56473271,12.08541747,7.396921933,7.587933086,7.489437175,0.462462456407558,0.0942319404846409,35.7520649943936
"GSM672717",7.120526022,11.82570149,12.53577732,12.12529108,7.457263941,7.560428996,7.526581784,0.447942533406945,0.130861252803498,36.7614184515239
"GSM672718",7.148817472,11.69475316,12.67265651,12.13522082,7.506534758,7.55949145,7.546432714,0.429772623729913,0.176953076379678,38.0315198683094
"GSM672725",14.98346506,14.16357621,12.89724424,13.23707546,14.71898885,15.1410658,14.79863755,0.049169391975038,1.65296108409293,78.7042404580004
"GSM672727",15.24369703,14.47455279,12.96003271,13.03222825,14.961471,15.25573643,14.8357223,0.0789748416374788,1.41200094383573,72.0643683118338
"GSM672731",14.74027026,14.33589145,12.99944721,13.20690632,14.67824238,14.87743532,14.5149171,0.00949157760803191,2.34586159352663,97.7977336297028
"GSM672733",15.21679294,14.40469851,12.91142379,13.14143123,15.08293978,15.31526691,14.76273346,0.141863449846503,1.07198471024406,62.6949169317842
"GSM672758",7.47327658,11.99392119,12.55874387,12.01111041,7.76787026,7.851584015,7.679235688,0.303356063150337,0.514772325325424,47.3404313717616
"GSM672759",7.557595911,12.01517881,12.53577732,11.87881301,7.748886989,7.997119703,8.003266543,0.453115956759693,0.117792700397929,36.401302803285
"GSM672760",7.935463197,11.96765929,13.30973011,11.86197993,7.885181041,8.007326394,7.848711896,0.00143957063277761,2.98035540592685,115.281778033787
"GSM672761",8.292988848,12.04929591,13.34118773,11.78330967,8.332564684,8.522198513,8.160678253,0.206220992906569,0.819603836574022,55.7403362633048
"GSM672762",8.046743123,11.73118327,13.52764833,11.57506468,8.041924721,8.397859108,8.110748699,0.290991798111975,0.550489617431464,48.3246532963432
"GSM672763",7.890224164,11.75807658,13.28852007,11.59268067,7.981871747,8.152455019,8.084459108,0.0923502479990217,1.32642036768009,69.7061190044498
"GSM672764",7.926234201,11.65836766,13.21872714,11.68223941,7.988043866,8.346910409,8.084459108,0.352335079911251,0.379023841032006,43.5997604924117
"GSM672765",7.806252045,11.81170372,13.15227509,11.76055242,7.917928996,8.078779554,8.004846283,0.104339902902881,1.25720391559312,67.7987977695843
"GSM672767",7.787331599,11.61139071,13.10414349,11.752071,7.752718959,7.833525279,7.712718216,8.90476987183964e-06,4.2907191961191,151.390024080438
"GSM672768",7.59643829,11.66081524,12.79829665,12.09898662,7.729094424,7.873057621,7.680215613,0.11273413703842,1.21211523132751,66.5563387535705
"GSM672769",7.551989219,11.85939182,12.80470855,12.03426766,7.754774349,7.693285502,7.682123792,0.0195963919012962,2.06215707632934,89.9800019523012
"GSM672770",7.99810855,12.11049405,13.25872286,12.16173569,8.026884387,8.30718513,7.94874052,0.269864028616747,0.61322427293228,50.053362829856
"GSM672771",8.719429368,12.14741227,13.23109554,11.83996506,8.659134201,8.664556134,8.371118216,0.217335964516317,0.781222012773095,54.6826907850825
"GSM672772",8.592207063,12.04352379,13.41359628,11.49590892,8.583566914,8.751308178,8.507581413,0.0323563830733567,1.8472372274859,84.0576933228713
"GSM672773",8.355411152,11.53860669,13.40495093,11.82952268,8.371118216,8.526891822,8.301184758,0.0263009785141186,1.93817433330062,86.5635465951495
"GSM672774",8.074126022,11.63192007,13.40928959,11.7060368,8.106679554,8.510088476,8.137154275,0.397809276752804,0.259021627460999,40.2929921841017
"GSM672775",7.876136059,11.59011673,13.2904829,11.82700706,7.936460595,8.234660037,8.013526394,0.257032454935646,0.652521341623633,51.1362286995023
"GSM672776",7.80720632,11.50542677,13.38472454,11.75559182,7.82857658,8.204286617,8.023273234,0.363846513751459,0.348195952179019,42.7502704468732
"GSM672777",14.84014647,14.05355316,12.46005688,12.11117286,14.64447732,15.03266691,14.43977026,0.18536853293432,0.895093579449363,57.8205236358064
"GSM672778",7.582311152,11.61633606,12.54404182,12.03948625,7.638374721,7.87012342,7.720615985,0.151384188676968,1.03051486607402,61.5521782907933
"GSM672779",7.60192119,11.41637175,12.62842751,12.04472491,7.715651301,7.875115242,7.706005204,0.0996944791497834,1.28329438737927,68.5177440513564
