"","sdpI","abrB","sdpR","ycbC","ycbG","ycbD","ycbE","ycbF","ycbH","ycbJ","ycnI","ycnK","ycnJ","pval","z","inv_cof_var"
"GSM672801",11.26294796,13.83859442,11.6998658,7.956737175,10.29861822,7.853407063,7.517272677,7.381439405,7.779197026,10.17751747,9.846188848,11.00363941,10.49409517,0.265392307041013,0.626808739487077,5.82930708710018
"GSM672802",11.40649405,14.5973803,11.8077974,8.200952045,10.41210836,8.055976952,7.518177509,7.45293829,7.908544238,10.10964312,9.910412454,10.39560743,10.29722862,0.183217114316973,0.903172729826421,6.13067447829885
"GSM672803",10.99374219,14.50400372,11.50648104,8.346910409,10.4475026,8.42776171,7.697311524,8.014537175,8.261359108,10.31164684,10.05959888,10.70532379,10.53548253,0.03441794634816,1.81949534279476,7.12989928695622
"GSM672804",10.83237323,14.01388922,11.62433699,8.175404461,10.23297993,7.908544238,7.704079926,7.515874349,8.073602602,10.30466134,10.06448922,10.82831543,10.88235985,0.141573423040396,1.07327701218635,6.31616855711711
"GSM672805",10.95179145,13.44724164,11.55308104,8.062080297,10.12989164,7.910605948,7.651796654,7.582311152,7.99810855,10.629771,9.641176952,10.30923346,10.17371152,0.106709224618043,1.24422042296022,6.50257768257613
"GSM672806",11.80914981,11.91770855,12.41414164,8.000223048,10.27428959,7.906473978,7.68679368,7.836457993,8.25673829,11.11460186,9.198830669,10.11346208,9.753242379,0.281452023288604,0.578533411613155,5.77666415918921
"GSM672807",10.93927732,14.72779442,11.40649405,8.487209294,10.06448922,8.313920074,7.969496654,8.158015613,8.604154275,9.968082528,9.928841264,10.72286952,10.52881636,0.00595108931021866,2.51503138984653,7.8883623693833
"GSM672808",10.95765093,14.84911041,11.75320818,8.49786803,10.16753123,8.269560223,7.900626766,8.060499628,8.608751673,9.843672491,9.853178439,10.73466766,10.45256691,0.0167476527171857,2.12609553746328,7.46423843401659
"GSM672809",11.32028439,14.71898885,12.01236766,8.131836431,10.09954424,7.83154052,7.643193309,7.516344796,7.843720446,9.724398885,10.08658401,11.0609684,10.42730372,0.247025017150268,0.683881440835425,5.89154331075904
"GSM672810",11.05279405,14.22852825,11.68734461,8.584775836,10.38428922,8.599350558,7.621493309,7.981871747,8.678208922,10.02264535,10.21655725,11.0006961,10.91574907,0.0352671876330759,1.80846361179582,7.11786948528968
"GSM672811",11.21668625,14.5149171,11.82952268,8.129672119,10.20783569,7.881148327,7.573260223,7.34906803,7.74493197,9.84866803,10.09075093,11.01195019,10.64806134,0.261559831578971,0.638543936032296,5.84210399875171
"GSM672812",11.6026777,14.70664796,11.91645465,8.186486989,10.1353223,7.954822677,7.641281413,7.491115242,7.815310781,9.916630112,9.766249071,10.84732714,10.65969257,0.245303585931593,0.689343432834121,5.89749946400959
"GSM672813",11.17241543,14.3002197,11.49827212,8.265997026,10.25613717,8.167665428,7.711727881,7.615062082,7.901092937,10.03493197,10.0633171,11.07273717,11.03932138,0.144824873438828,1.05889029008919,6.30048022919495
"GSM672814",10.92375167,13.88999294,11.20329851,8.166616729,10.42133532,8.133879926,7.72549145,7.760930855,8.000223048,10.09954424,10.27553494,11.30132639,10.88695465,0.10799552490291,1.23725871469752,6.49498612965768
"GSM672815",11.42728327,13.57540669,11.85025242,8.183118216,10.31773494,7.999137918,7.685833086,7.617057249,8.052826022,10.2294197,9.321043123,10.24892193,10.12925874,0.136178916605841,1.09764889547136,6.34274543088124
"GSM672816",11.66081524,12.89897175,12.02449777,8.168211524,10.20783569,7.897266914,7.669271375,7.708865056,8.252212268,10.64447546,9.021356134,10.10585762,9.857714498,0.181301897690825,0.910414800170536,6.13857175841774
