"","ascR","cymR","cysC","cysH","cysP","sat","snaB","sndB","ssuA","ssuB","ssuC","ssuD","tcyP","ydbM","yetJ","yezD","ygaN","ylnD","ylnF","yxeK","yxeM","yxeN","yxeO","yxeQ","pval","z","inv_cof_var"
"GSM672563",7.179726766,13.49333755,10.05959888,11.31439294,10.41887398,9.034102602,8.072042007,8.502789963,7.221266543,7.157376394,7.149500372,7.843720446,10.19817918,10.59358662,11.73846877,7.378700743,9.427001859,10.2305684,12.38281004,7.748886989,8.790155019,8.449340892,8.897395539,8.675730855,0.180811893320076,0.912275350858974,5.81685831065842
"GSM672564",7.267130483,13.09676506,9.74697658,11.10905242,10.19194089,8.654175465,8.70822974,9.153155204,7.395085502,7.289979368,7.263282528,8.185330483,9.615347955,10.45615651,11.96003271,7.544768401,9.163631227,10.08906357,12.14881636,8.445179554,9.218575465,9.068281041,9.577032342,9.279881413,0.0550281883763964,1.59793979384417,6.56146132712931
"GSM672565",7.277204089,13.22549963,10.07193197,11.2785487,10.25008439,9.327350929,7.708865056,7.963007807,7.262255019,7.331414498,7.162046097,7.940033643,9.612678067,11.02258996,10.05704498,7.565977695,10.02391561,10.29861822,12.26440558,7.629038662,7.950186989,7.817295911,8.421766914,7.927261338,0.171803249785231,0.947063348674688,5.85463662682396
"GSM672569",9.684353532,11.34212082,15.49114684,14.01692193,13.94912751,13.91831896,11.28319888,12.8156342,12.69559926,12.46391784,12.52028625,13.52764833,11.33935204,9.975315242,13.38265911,11.99510037,12.59782974,15.58130781,15.63961115,10.52528401,12.32160558,12.5479145,13.21581859,12.87048086,0.00185306678747468,2.90214803784877,7.97777713951712
"GSM672570",7.957765056,11.65469554,13.14322714,12.86480892,12.50189554,11.76177175,9.630351487,9.84866803,9.425710781,9.340096654,9.502141264,10.73115465,9.838756506,9.713857993,12.86164312,8.686794052,10.80762305,13.4367223,14.16068439,9.387413383,10.23788662,9.970596283,10.26853903,9.580311896,0.0867172742957874,1.36125047312831,6.3044265866312
"GSM672571",11.99124944,11.42599665,16.22890372,15.1469052,15.36026208,15.33721524,13.83859442,14.37716803,13.21777212,13.22730074,12.84362528,13.17595502,12.48819219,11.05060483,13.94112825,14.08497249,12.24009331,16.30918699,16.25512491,13.0950171,14.43607286,14.40126208,14.54790446,13.7109197,1.20613908911404e-06,4.71540720348278,9.94690104288934
"GSM672585",7.507008178,10.88007955,8.894226394,11.53286245,10.44165911,7.431591822,6.939026766,8.451378625,7.302495911,7.840681041,7.085886989,8.05742119,8.089177881,10.99430186,10.95179145,7.459615613,11.11582156,10.07252286,10.98965576,7.053049071,7.750407621,8.064017472,8.425394052,8.803594052,0.216533886854286,0.78395285579135,5.67750542764698
"GSM672588",7.179195167,10.69138996,8.571306691,11.66456952,10.80522639,7.422115613,7.395085502,8.375343494,7.563181041,7.65709368,7.232614498,8.506366543,8.962999071,11.14255428,11.13866989,8.495408178,11.02835167,10.08286914,10.86634126,7.009724907,7.61607658,8.436023792,8.757617844,8.921799628,0.170312762198488,0.952930028363089,5.86100759652692
"GSM672597",7.458304089,11.04938625,10.06390316,11.35290967,9.769912639,7.404819331,7.106628996,7.35901487,8.507581413,10.01376952,7.227946097,8.412957249,9.114499628,9.477271004,10.11590446,9.063291822,10.2696368,9.972934944,10.26853903,7.131196654,7.203504833,7.185085502,7.413545725,7.391549442,0.0850415250302582,1.37193700254211,6.31603171231408
"GSM672598",7.417417844,13.24969777,8.809375836,8.141909294,7.899507435,7.817295911,8.751308178,9.239005576,7.383236059,7.141876952,7.071169888,7.145996283,10.68212305,11.04339219,12.83818086,9.081620818,9.376255762,9.009402602,11.51478885,8.478445725,9.310286617,9.237713383,9.466457621,9.289737175,0.128048801699871,1.13566306665471,6.05944806243244
"GSM672599",7.289504089,13.07797286,8.777056877,8.279827881,7.681131227,7.822368401,8.779644238,9.082944981,7.239541264,7.228451487,7.00381487,7.247768401,10.76186208,10.80762305,13.34507323,9.113410037,9.371795353,8.813281784,11.48022454,8.214330483,8.985678439,8.765206691,9.249828996,9.242672119,0.189820973187231,0.878556212533545,5.78024073136468
"GSM672600",7.547315613,13.18693197,9.03881487,8.817770632,8.259020818,8.346910409,8.833879926,9.137415985,7.19709461,7.206927881,6.972086245,7.241677695,10.63199814,10.50202546,13.06405353,8.740119703,9.556754275,9.336265056,11.7195487,8.674690335,9.328658364,9.180263569,9.396359108,9.097268216,0.100885540220719,1.27652192780651,6.21241491667625
"GSM672601",7.609332714,13.16865353,9.075482156,8.778329368,8.385220818,8.39470223,8.91187026,9.300388104,7.091472119,6.993476952,7.305377323,7.344720818,10.75363569,10.78767732,13.02354647,8.862331599,9.443096468,9.231700743,11.5136026,8.83260855,9.361120818,9.423149442,9.571112639,9.266752045,0.0852379481720637,1.37067626694468,6.31466260598455
"GSM672602",7.652643494,13.15971115,9.01662119,8.595686989,8.186486989,8.076719703,8.806852788,9.179131599,7.246704089,7.454666543,7.144603717,7.272425279,10.51419851,10.45367881,12.85326877,8.522198513,9.250950186,9.264464312,11.59519071,8.726693309,9.490528996,9.282447212,9.75460855,9.133810409,0.0651319463929266,1.51306207125349,6.4692876568759
"GSM672603",7.617939777,13.55765056,9.020110409,8.657939777,8.330726952,8.338381041,9.226846097,9.415497026,7.147453903,7.108245353,7.064322677,7.322290706,10.96004981,10.95294498,12.66937435,9.140149628,9.628471004,9.462750186,11.54819108,9.051658364,9.745832714,9.481560223,9.830095911,9.304019331,0.07924167105917,1.41019083222696,6.35757377748358
"GSM672604",7.418300743,13.58394275,9.347269517,8.765206691,8.631756506,8.539452788,9.519147584,9.591734201,7.146725093,7.11902119,7.143272862,7.572286989,10.99196914,10.94269926,12.73977435,9.017775465,9.679448327,9.289737175,11.70220223,9.137415985,9.835013011,9.738382528,10.08286914,9.522955019,0.0762699254416095,1.4306175638418,6.37975635692555
"GSM672605",7.454248141,13.06929071,8.909420074,8.303515613,8.336560781,8.180901859,8.919800372,8.998344981,7.141876952,7.031287732,6.914249814,7.186222677,10.96575651,10.76552491,13.25970781,9.348395911,9.644426208,8.976527138,11.69475316,8.80615,9.487980669,9.147713011,9.479197398,9.108434572,0.169990096241475,0.954204390885636,5.86239150112934
"GSM672607",7.704079926,13.06752156,13.4367223,12.72266468,12.52980595,12.31733383,9.70122342,10.61900669,7.58419145,8.595686989,7.445059851,7.993102602,11.1549132,9.443779926,14.05925799,8.214330483,8.684418216,13.16149219,13.48023494,9.482872862,10.46197286,10.58402416,11.06731171,10.54862454,0.442439518590665,0.14478701188097,4.98339795237996
"GSM672609",8.568848327,12.06073494,14.13440409,13.34303457,13.11887398,13.06050818,10.70654424,10.62261115,7.427298885,7.529364684,7.597465056,8.151339033,10.81843457,11.56554647,13.02507807,8.822447584,10.29585874,13.96540669,14.17513717,10.63955428,11.03469182,10.91574907,11.16841784,10.11346208,0.430868169677991,0.174164302315605,5.01530046576994
"GSM672610",8.034003346,12.4688316,12.1883777,10.72635353,10.92615725,10.89029628,9.741392937,9.861586245,8.545669888,8.378162082,8.637964684,9.235304461,9.986601859,11.48383494,12.62544387,8.897395539,9.645053532,11.9387881,13.02354647,9.225799628,10.20527881,10.19443086,10.47381227,9.464062082,0.00911955041973892,2.36072803836977,7.38981757866464
"GSM672611",7.736879182,12.37136022,11.8179803,10.67029442,10.67507658,10.74155985,9.428277695,9.830095911,8.465450186,8.288367658,8.594514498,9.246527881,9.790525651,11.4285632,12.48971413,8.508939033,9.692330112,11.88390743,13.08133792,8.854895539,10.1390197,10.00124461,10.39560743,9.517847955,0.0157116213688253,2.15167141887654,7.16279080036163
"GSM672618",9.457593309,10.13419145,15.38340149,14.53674944,14.58155874,14.39777584,11.93222788,12.23151078,13.76194498,13.14322714,13.79624275,14.46409554,11.81549405,11.6007684,12.35413755,11.1549132,13.61981078,15.52257435,15.24909405,10.75825539,12.52980595,12.37136022,12.63002937,11.8697881,0.00114470314465419,3.04986975169459,8.13819676584185
"GSM672619",10.14765651,9.956937546,15.86194312,14.53674944,14.6281855,14.55173829,11.99392119,12.1154171,13.84343978,13.39298996,13.64514461,14.46059071,11.98715093,11.60768401,12.32584796,12.06917695,13.73822305,15.76791375,15.24909405,10.95294498,12.5494855,12.44507026,12.56009368,11.78835316,0.000343695401385425,3.39455958483271,8.51251556292585
"GSM672620",8.618287732,11.95349405,16.42565242,15.22980632,15.30855836,15.35256022,11.35058922,11.70737026,12.52685316,12.17742788,12.43780892,13.04444907,11.6064513,11.47189517,11.84372045,8.595686989,12.988971,16.18018922,16.17015465,10.40029442,12.08414498,11.93155242,12.01652491,11.1493119,0.207171644666835,0.816274265910928,5.71260513234634
"GSM672621",9.577703346,12.03948625,16.340529,15.49940186,15.51421413,15.23706097,11.69607844,11.59151078,12.80310595,12.64499628,12.82026617,13.23499331,12.08145093,11.87881301,12.09641227,9.225799628,13.1633513,16.18697584,15.83757435,11.2352461,12.09898662,11.8064539,12.19250186,11.20569219,0.0720681902373239,1.46055945318898,6.4122720012102
"GSM672622",9.259670632,12.4547881,16.39776617,15.20407138,15.61343941,15.15962193,10.69497435,10.59812825,11.57879851,11.3750842,11.81046245,12.44358959,11.44532602,11.34829926,11.64349257,10.17371152,12.33017993,16.22890372,15.91022379,9.32547881,11.24358141,11.12166803,11.10075985,10.06807993,0.299044629899973,0.52715024115535,5.39862848798379
