"","yrkN","yrkP","yrkO","yrkQ","yrkR","pval","z","inv_cof_var"
"GSM672720",9.056543123,8.772980297,8.442299257,9.198179926,9.300388104,0.400622527544671,0.251736095472596,25.7217904122821
"GSM672721",9.266752045,8.946330112,8.755100372,9.354954647,9.324801487,0.0953559576434845,1.30847598352403,34.4122875814927
"GSM672722",9.582884758,8.862331599,8.573867658,8.974035688,9.008102974,0.460260079479862,0.0997785231897478,24.4721102717895
"GSM672724",9.801787361,8.819794796,9.032881413,9.012932342,9.09787026,0.470146325534258,0.0749020429725856,24.2675291981009
"GSM672726",9.50463829,8.873246097,8.536673606,9.030392193,9.119518959,0.411172351484155,0.2245302868229,25.4980532317994
"GSM672735",9.392488104,8.858484387,8.545669888,8.985678439,8.921110409,0.241383471757109,0.701859250967162,29.4235471575818
"GSM672737",9.907265799,9.07303197,9.158375465,9.157205948,9.220974721,0.331732656892401,0.435133795823346,27.2300302485552
"GSM672738",9.59959145,9.051007063,8.845825279,9.076839777,9.269001115,0.146450622921726,1.05177836833345,32.3012383787695
"GSM672739",9.805604833,9.107285874,8.924918587,9.35735539,9.333706691,0.292986136378102,0.544681962199233,28.1309407190943
"GSM672741",10.1260842,9.241455019,9.248775836,9.205351301,9.34537881,0.475994181425152,0.0602100231878582,24.1467038580216
"GSM672743",10.27670223,10.18349442,9.52794684,10.12191822,10.2294197,0.133714677835949,1.10900191544594,32.7718377001505
"GSM672744",10.29585874,9.768651673,9.305324535,9.735805576,9.941332342,0.327229261977922,0.44757697422986,27.3323613973464
"GSM672752",10.04221636,9.559210037,9.277469145,9.552804833,9.70122342,0.0921584972696869,1.3275796997067,34.56939416305
"GSM672753",9.918536803,9.503286989,9.120642751,9.546230855,9.678159108,0.132218520662297,1.11596517582158,32.8291026858553
"GSM672754",9.904658736,9.58977342,8.926239777,9.833729368,9.762339033,0.471454412318276,0.0716143438604988,24.2404915702515
"GSM672758",9.124426394,8.993447584,8.517363569,9.014144981,8.779644238,0.0536600749276623,1.61035604820446,36.8949116190731
"GSM672759",9.131537546,9.090420074,8.439837918,9.079373606,8.660651673,0.278933064389342,0.586013967307881,28.4708499791269
"GSM672760",9.39121487,9.006797026,8.560181041,9.144256877,8.840472491,0.269337647181551,0.614817434160606,28.7077261016026
"GSM672761",9.467154089,9.195828996,8.893053903,9.304019331,9.043852416,0.0166035123966273,2.12957127345457,41.1648729371486
"GSM672762",9.702426022,9.204732714,8.903206691,9.344704833,9.290828625,0.145302404712392,1.05679576085714,32.3425007897156
"GSM672763",9.603594796,9.120642751,8.748798513,9.158375465,8.873246097,0.311821890939567,0.490692740310621,27.6869400853565
"GSM672764",9.554050186,9.031537918,8.752569145,9.143151301,8.906881413,0.222983661616149,0.762155296351182,29.9194143219137
"GSM672765",9.383746097,9.166081041,8.80799777,9.106116729,8.853779182,0.0375710180911359,1.77959639771239,38.2867231660252
"GSM672767",9.248775836,8.748798513,8.434796283,8.757617844,8.667276208,0.237070214964532,0.715758583703042,29.5378535381405
"GSM672768",9.598244981,8.926939591,8.904501115,9.133810409,9.159348327,0.133305952232482,1.11089881769858,32.7874375879217
"GSM672769",9.813261338,9.2402171,8.80170855,9.136124535,9.078164312,0.446803160868724,0.133742342131799,24.7514244868664
"GSM672770",9.385126394,9.109746468,8.873246097,9.201721561,9.125550186,0.000824822831324557,3.14698297598162,49.5319400089111
"GSM672771",9.799172862,9.423149442,9.037702974,9.402522677,9.270202602,0.106857475948055,1.24341498291609,33.8772340191143
"GSM672772",9.900917844,9.533196654,9.047972119,9.58410632,9.336265056,0.218286967504829,0.777991651319607,30.0496505319592
"GSM672773",10.15257063,9.606279554,9.035304089,9.494378067,9.591734201,0.479248394285823,0.0520400409321757,24.0795149419333
"GSM672774",10.0693658,9.500127695,9.147713011,9.552804833,9.327350929,0.319493716439207,0.469115006923125,27.5094874945701
"GSM672776",9.964272119,9.186043866,8.94315316,9.346052788,9.35160855,0.44431228028182,0.140044842146117,24.8032554616906
"GSM672777",9.55144052,9.018973606,8.853779182,9.18200948,8.910728996,0.140478299076279,1.07817291179015,32.518303815389
"GSM672778",9.548204833,9.129148699,8.864891078,9.071826022,9.242672119,0.0592735345155553,1.56090117928022,36.4882009391324
"GSM672779",9.652842007,9.055988104,8.874475465,9.179131599,9.132736059,0.162672225391741,0.983534486519362,31.7400091979397
"GSM672780",9.472736431,8.91457658,8.822447584,9.174298141,8.896774721,0.10914307489134,1.23109817033153,33.7759420870976
"GSM672781",9.75594052,9.133810409,9.102701487,9.334962454,9.175440149,0.0941234458798267,1.31578298497114,34.4723794509391
"GSM672782",9.884420446,9.25350855,9.063291822,9.376255762,9.119518959,0.278854502346935,0.586247799072596,28.4727729824244
"GSM672784",10.05704498,9.338898513,9.195207993,9.364909294,9.188394796,0.379676072419277,0.306331648303208,26.1707774361379
"GSM672789",9.762339033,8.962276952,8.946330112,9.190962082,8.911299628,0.404830100839791,0.240864416654663,25.632383080298
"GSM672790",9.759736431,9.127955762,8.922488848,9.211330855,8.80037881,0.447484939375412,0.132018222097255,24.7372455385282
"GSM672791",9.919852788,9.185480669,9.02908513,9.224525279,9.255978439,0.340430202784066,0.411289312243026,27.0339361866208
