"","guaD","pucR","pucA","pucB","pucC","pucD","pucE","pucF","pucG","pucH","pucI","pval","z","inv_cof_var"
"GSM672710",8.854895539,10.74750632,7.760930855,7.813247212,7.854380669,8.064017472,8.002232714,9.081620818,9.153733829,8.069449814,7.928262825,0.118994768103028,1.18002684980892,15.0996191907301
"GSM672711",9.336265056,10.43198662,7.508754275,7.653642379,7.730965428,7.952664312,7.924209665,8.743839777,8.857243123,8.047924535,7.818343866,0.245483526659882,0.688771531687032,13.4653333165863
"GSM672713",7.520043494,7.72549145,7.287647584,7.271870446,7.413969517,7.99810855,7.859383271,7.779686989,9.098434572,7.841605948,7.262768773,0.197321563203444,0.851227253358101,14.0057836309277
"GSM672714",7.366461338,7.654683271,7.17327026,7.168733457,7.293344238,7.647627881,7.529364684,7.653642379,8.647168959,7.566876952,7.194324907,0.0361132032578896,1.79768836326706,17.154427452768
"GSM672715",7.496847212,7.841605948,7.251828625,7.295992007,7.308666914,7.895319331,7.839541636,7.793164312,8.896774721,7.800219703,7.387064312,0.0871861515840633,1.3582880420264,15.6926504264282
"GSM672719",8.248820818,7.950685502,7.288603717,7.316581784,7.377762825,7.815310781,7.679235688,8.512473234,8.864891078,7.944688476,7.131196654,0.237612723344146,0.714002802213138,13.5492715610926
"GSM672720",7.968440892,7.852455762,7.19202974,7.143272862,7.362719331,7.791298513,7.681131227,8.363724164,8.726693309,7.940559851,7.127989963,0.174452643409407,0.936714789099531,14.2901796810544
"GSM672721",8.135997026,8.142416357,7.365027881,7.326388104,7.487992565,7.993102602,7.859383271,8.601725651,8.839163941,7.958960223,7.246704089,0.157372601771512,1.00531498124422,14.5183956837111
"GSM672722",7.89425539,8.922488848,7.089604089,7.214778439,7.342362825,7.680215613,7.68679368,8.239889591,8.765206691,8.414241264,7.509195911,0.17586063512187,0.931255779838758,14.2720188970535
"GSM672724",7.817295911,8.917146097,7.151679554,7.190951301,7.393342379,7.748886989,7.890224164,8.309239405,8.944990335,8.529390335,7.649154647,0.242401847261874,0.698597359231471,13.4980214332647
