"","fabL","spoVT","yfhP","sspE","pval","z","inv_cof_var"
"GSM672669",11.98584164,11.00246134,10.18109182,13.60618996,0.471542961810169,0.0713918150660292,11.1681537021006
"GSM672670",11.83474164,10.76552491,10.160029,13.4302974,0.469000923331981,0.0777815201848848,11.1967759949216
"GSM672671",11.8064539,10.76186208,10.35404907,13.33925093,0.433356550569765,0.167834982051853,11.6001649631382
"GSM672672",11.67967361,10.495429,10.33848885,13.28452677,0.486554357078406,0.03370961188159,10.9993585803188
"GSM672673",11.6998658,10.62500372,10.20057955,13.19629331,0.419000883496719,0.204450120166447,11.7641802322788
"GSM672683",12.56328699,12.05551227,10.1390197,14.21067918,0.442861548973159,0.143718074549487,11.4921347527247
"GSM672684",12.62092416,11.95485762,10.03614498,14.02274981,0.28147474306994,0.578466088374051,13.4395618598579
"GSM672686",12.58323271,12.18706394,10.3635,14.18951673,0.417124283031541,0.209255785035283,11.785706913795
"GSM672687",12.97545799,12.18972751,10.34696877,14.16357621,0.11821794638916,1.18394232874185,16.1517556036416
"GSM672688",12.86331896,12.01920743,10.34696877,14.02274981,0.107725156350713,1.23871702177116,16.3971154870641
"GSM672696",11.90059108,11.44888067,10.52528401,13.49877379,0.46535937298993,0.0869405768122944,11.2378034282503
"GSM672704",12.6938881,11.69607844,10.45853197,13.97636729,0.19463518153623,0.860941319172262,14.7048923594979
"GSM672705",12.61541041,11.76177175,10.40780558,13.78966673,0.129693476410804,1.12784128834974,15.9004544284232
"GSM672706",12.65605019,11.81170372,10.86575855,14.21381301,0.381688440695322,0.301049326059693,12.1968904600476
"GSM672707",12.23579331,12.08812974,10.94269926,13.88999294,0.471577068190775,0.0713061051648549,11.1677697698465
"GSM672708",12.18422007,12.35933978,10.99077807,13.78122565,0.442456484214594,0.14474403741018,11.4967304905367
"GSM672709",12.35341599,12.42726766,11.05850781,14.02274981,0.471149766986246,0.0723799582282007,11.1725800288888
"GSM672710",11.78397379,10.69778662,10.63199814,13.01324461,0.222878235039344,0.762508670821876,14.263969338509
"GSM672711",11.71601041,10.53120149,10.75109331,13.07957993,0.326825942721527,0.448694731918791,12.8582590148669
"GSM672712",11.81923755,10.70047807,10.84047993,13.33340483,0.420575945387033,0.200420291923686,11.7461288634226
"GSM672713",12.11406171,12.81230186,12.54013457,13.35045167,0.203447469673455,0.829370234187907,14.5634716174932
"GSM672714",12.02449777,13.36832156,12.33911152,13.65160669,0.472419569566387,0.0691890499020312,11.1582865504297
"GSM672715",12.19107955,13.07957993,12.45414126,13.41130855,0.186661577588122,0.890265846929437,14.8362497859662
"GSM672716",12.33457361,11.22958513,10.31406059,13.75962305,0.319640557529675,0.468704157154346,12.9478900099784
"GSM672717",12.17875688,11.05850781,10.30923346,13.57540669,0.312403841270809,0.489048045332569,13.0390192113616
"GSM672718",12.35640037,11.16330167,10.43927658,13.90805539,0.401225303208278,0.250176825079209,11.969010206966
"GSM672719",11.82046914,12.2758855,11.62494535,13.33519294,0.420829621598215,0.199771562034462,11.7432229176073
"GSM672721",11.77321896,12.37062602,11.79360967,13.13193197,0.31857627537968,0.471683731723692,12.9612368318144
"GSM672722",13.06224758,11.81923755,10.60851896,14.53674944,0.297065012267182,0.532860681369748,13.2352752317242
"GSM672723",12.26726022,11.89082807,11.5727223,13.94646394,0.483070301464033,0.0424492060385319,11.0385070571959
