"","cwlO","walR","ftsA","ftsZ","mreBH","ykpC","ykvT","ykzS","pval","z","inv_cof_var"
"GSM672771",15.94142974,11.80381487,13.59032751,13.94646394,9.912310037,9.572453532,8.70936803,10.10015874,0.498975107506571,0.00256902732837139,4.22664489715787
"GSM672772",16.08663829,11.6998658,13.4450803,13.90030558,9.799172862,9.654058736,8.679409665,10.3481119,0.496642640524047,0.00841575153022641,4.23173473466812
"GSM672789",16.13048996,11.63990818,13.5255539,13.94912751,10.7748487,10.70654424,8.393543866,9.909817472,0.413345253104819,0.218948062476907,4.41501262094798
"GSM672790",16.27558253,11.64349257,13.81090595,14.17215799,10.47872528,10.19817918,8.431884758,10.18647974,0.498555599918401,0.00362058199453569,4.22756032299277
"GSM672791",16.24241784,11.84635353,13.59952639,13.98711561,10.58402416,10.54625725,8.558926394,9.971773978,0.430177788627633,0.175921547037999,4.37755609578008
"GSM672792",16.03633346,11.67574201,13.56877881,13.90030558,10.61900669,10.69553773,8.521008922,10.09716097,0.365363551971526,0.344158481774564,4.52401394661575
"GSM672793",16.26199628,11.78024257,13.4450803,13.96283048,10.27987156,10.2305684,8.620707063,10.06448922,0.458963703342518,0.103044810371772,4.31411360471968
"GSM672794",15.91765762,11.60389777,13.52764833,13.89516245,10.19692082,9.966738662,8.679409665,10.43819554,0.389372828096306,0.280954033569437,4.46899161955141
"GSM672797",16.11630929,11.72085651,13.6561342,13.90293309,10.96915539,10.86867993,8.530658364,9.950405576,0.357904519067986,0.364065580905268,4.54134397559911
"GSM672798",15.99737658,11.92414164,13.56651933,13.93848699,11.05279405,10.98734907,8.411830112,9.977751673,0.340398155651506,0.411376733955045,4.58253047134142
"GSM672799",16.20058401,11.84121078,13.43859219,14.0958948,11.05971004,10.75825539,8.659134201,10.01496245,0.346482466326138,0.394834634462557,4.56812982653787
"GSM672800",16.27558253,11.82700706,13.54539665,13.92820372,11.20453309,11.18032528,8.685659851,10.01073271,0.307418115581271,0.503182124798113,4.66245121085715
"GSM672801",16.27558253,11.90698848,13.64935428,13.83360706,11.22608885,10.79103494,8.543130112,9.907265799,0.372331529277435,0.325684518566746,4.50793152718704
"GSM672802",15.87744201,11.85151487,13.65388439,14.03459963,10.73581636,10.73702082,8.548211524,10.2065,0.323530090985632,0.457850040319433,4.62298758369915
"GSM672803",15.85358848,12.02192007,13.44939033,13.92297026,10.84047993,10.66433346,8.636723792,10.21655725,0.280890414081318,0.580198406423541,4.72949736278495
"GSM672804",15.91765762,11.84436245,13.38472454,13.76552007,10.02884981,9.934946097,8.495408178,10.13658327,0.450648387022492,0.124023366575078,4.33237638548172
"GSM672807",16.20750632,11.80575428,13.63389182,13.99478104,11.78707844,11.61378959,8.639073606,10.17553309,0.236690238531643,0.716989659548412,4.84858032739767
"GSM672808",16.340529,11.57506468,13.47410706,13.95421375,11.65836766,11.64111115,8.663332342,10.56992156,0.208307065567619,0.812309377309735,4.93156044723548
"GSM672809",16.35571933,11.7060368,13.30781115,13.91563829,11.72085651,11.92944684,8.783435688,10.24892193,0.200792243129409,0.838794769683334,4.9546171776238
"GSM672810",16.39776617,11.77196952,13.76680818,14.08764126,11.8141171,11.4682684,8.9752171,10.49189926,0.190649175195842,0.875506545364138,4.98657643659978
"GSM672811",16.29536729,11.82046914,13.57313309,13.97082379,11.97097658,12.05809554,8.61233197,10.08594108,0.236239119494461,0.718452640888513,4.8498539187361
"GSM672812",16.18697584,11.91770855,13.74295651,13.82848513,11.47432714,11.35999851,8.778329368,10.18579145,0.232075809516915,0.732027768630969,4.86167168061516
"GSM672813",16.08663829,12.05809554,13.52997026,13.82173457,11.15801487,10.98619703,8.673456134,9.980197026,0.290099422428978,0.553094292268409,4.70590200713857
"GSM672814",16.05140074,12.06361859,13.49333755,14.01692193,10.59240297,10.50263755,8.636723792,10.21518253,0.357748876502069,0.364482481769822,4.54170690663283
