"","citZ","ccpA","ccpC","icd","mdh","pval","z","inv_cof_var"
"GSM672717",15.45057695,12.53577732,11.51795558,15.96520669,15.56470372,0.236397554706123,0.717938659639083,57.9429181125038
"GSM672718",15.58130781,12.67265651,11.5471777,15.88525911,15.53897138,0.0538803811362876,1.60833987381188,82.9470978218457
"GSM672719",15.33721524,11.81923755,11.02147063,15.66552974,14.96705799,0.414454708291348,0.216100491527237,43.8503365428202
"GSM672720",15.28884089,11.74086617,11.18912454,15.53070669,14.94641301,0.30679323073512,0.504960668217376,51.9620862280927
"GSM672721",15.28884089,11.96415093,10.97927509,15.61343941,14.94641301,0.387367307833626,0.286187371300269,45.8185110120565
"GSM672723",16.0724342,13.04444907,11.77196952,16.38425465,15.98922119,0.0783943694749584,1.41595479925966,77.5445546750825
"GSM672728",16.37624089,12.9836684,12.84514201,16.39080818,16.13797361,0.00303557129894827,2.7439140793428,114.836206974473
"GSM672729",16.32825874,12.81725688,12.70631673,16.33439926,16.15247212,1.00679255455944e-05,4.26337905310002,157.505707713162
"GSM672730",16.32825874,12.77412974,12.73977435,16.40455576,16.02135874,0.0658117615614334,1.50773047255872,80.1217922075443
"GSM672732",16.12363346,13.12800297,11.77574349,16.26199628,15.82038253,0.117450125905654,1.18783035705134,71.1383813025883
"GSM672734",16.45100446,12.75841524,12.25706059,16.4320948,16.34839145,4.15549078872486e-21,9.3556212879138,300.50566990557
"GSM672735",16.44384015,12.88029071,12.2829855,16.34839145,16.10869665,0.0218856841990231,2.01627365285362,94.4026634234117
"GSM672736",16.4320948,12.74293383,12.72426729,16.340529,16.22890372,6.19929349060032e-06,4.3704585849424,160.512707046453
"GSM672740",14.60551747,12.59922416,11.14034721,15.24369703,14.64878104,0.446032931581907,0.135690620160544,41.5922726025933
"GSM672758",15.41281338,12.55874387,11.50417435,15.93357807,15.42020595,0.303639681446445,0.51396084969768,52.2148286452954
"GSM672759",15.49940186,12.53577732,11.64111115,15.99737658,15.46632379,0.298650265637438,0.528286455091789,52.6171192150047
"GSM672760",15.49114684,13.30973011,11.64227658,15.91765762,15.36026208,0.288000310830574,0.559236066596999,53.4862438699273
"GSM672768",15.79347546,12.79829665,11.92544981,16.13797361,15.45057695,0.385533639261433,0.29097913333832,45.9530729120368
"GSM672769",15.58130781,12.80470855,11.53395353,15.86955019,15.21045093,0.370362486112794,0.330893446645108,47.0739436465013
"GSM672770",15.64881152,13.25872286,11.67574201,15.98922119,15.4277855,0.264375710865531,0.629913130212353,55.4709918372902
"GSM672771",15.23706097,13.23109554,11.65346208,15.91022379,15.33721524,0.431030142724374,0.173752106214559,42.6611123819543
"GSM672777",14.82635502,12.46005688,11.48383494,15.50683643,14.8536461,0.481302024995136,0.046886045438,39.098469236167
"GSM672779",15.65681413,12.62842751,11.7543855,15.90234647,15.30855836,0.301841030274762,0.519112831893231,52.3595062205574
"GSM672780",15.56470372,13.39496283,11.70737026,15.94857249,15.37522491,0.287775796783122,0.559894216944546,53.504725998325
"GSM672781",15.37522491,13.42815502,11.65957844,15.78401747,14.99943048,0.479724449383713,0.0508451677169296,39.2096490092602
"GSM672784",15.30855836,13.7522145,11.89681338,15.86955019,15.3676855,0.327432770506861,0.447013183631602,50.3348093385019
"GSM672789",15.32970632,13.57092379,11.52282584,15.93357807,15.51421413,0.326760225809727,0.448876912644585,50.387146436013
"GSM672795",16.06489257,12.52395651,12.10844647,16.26199628,15.79347546,0.139471573537597,1.0826965247588,68.1860209572393
"GSM672797",15.63036543,13.74402658,11.53634684,16.13797361,15.4060026,0.441257067137412,0.147782862867146,41.931846049835
"GSM672798",15.56470372,13.77875762,11.61762454,16.04441561,15.53897138,0.267474748718693,0.620468331251001,55.2057637055342
"GSM672804",14.95131636,12.92910465,11.50004219,15.63961115,15.22313234,0.41166751784654,0.223257585894575,44.0513215267905
"GSM672807",15.53897138,13.65160669,11.54474833,16.00569294,15.36026208,0.372486364254865,0.32527529279538,46.9161750740226
"GSM672808",15.4277855,13.77875762,11.59762937,15.93357807,15.45858439,0.269411825934248,0.614592828220138,55.0407682727697
"GSM672817",15.28264684,12.29753643,11.4645171,15.63036543,14.89745725,0.445193755075449,0.137813885353979,41.65189797554
