"","comFA","comK","degU","scoC","comFB","comFC","csrA","flgK","flgL","flgM","fliW","yviE","yvyF","yvyG","pval","z","inv_cof_var"
"GSM672618",8.868964684,11.40160372,13.48236691,11.69926896,10.3481119,10.22716952,8.241036059,9.598244981,10.39436654,10.7487777,8.265997026,8.222346097,10.93927732,9.993965056,0.324378899407733,0.455488555996619,9.21434728774289
"GSM672619",8.641617844,11.3876119,13.7109197,11.73722937,9.83625948,9.884420446,8.18960632,9.456306691,10.35158587,10.67258401,8.143390706,8.205537918,10.53548253,9.806930483,0.230895997283628,0.735899281492097,9.70275840066338
"GSM672620",9.926298885,11.70109888,12.39153123,13.13193197,11.42134944,11.30483197,9.226846097,11.48629777,11.69607844,11.68854647,9.401242751,9.608845725,11.62372862,11.11823309,0.092956294793684,1.32276785689313,10.7249487378668
"GSM672621",9.615347955,11.76571784,12.55092639,13.09337732,11.39931487,11.25578067,8.91187026,11.34829926,11.41278104,11.39696357,9.312601859,9.326156134,11.44184461,10.8880052,0.157565365322198,1.00451440672746,10.1706242857206
"GSM672626",11.67574201,11.40524758,13.21777212,13.26346171,12.58011896,12.32020335,10.54498996,14.15506134,14.13993457,14.58155874,10.77595948,11.47251487,14.08209294,14.18104015,0.49268463980318,0.0183379164332004,8.45293122562255
"GSM672628",13.42184944,12.90368476,13.78122565,13.29444201,14.03726022,13.61520669,10.66550706,14.36693011,14.41200297,14.74027026,10.78641524,11.50065985,14.69077807,14.37716803,0.485878079639152,0.0354058007570797,8.482659562023
"GSM672633",12.97873309,12.86961896,13.42815502,12.6836,13.64276654,13.36243383,11.03527658,14.48155167,14.47455279,15.0412355,11.29045911,11.73118327,14.78475056,14.39460335,0.319434916123399,0.469279547762388,9.2383680295483
"GSM672634",11.30483197,11.93482268,13.14873532,12.76934647,12.18154349,12.04472491,11.02024349,14.36337323,14.49691561,14.56330743,11.34514888,11.97502342,14.2410829,14.13102342,0.411459905163196,0.223791158077048,8.81078360886176
"GSM672635",10.91509684,11.98584164,13.30973011,12.90673086,12.00776283,11.6620948,11.13001301,14.11029777,14.54011041,14.41200297,11.38209033,11.66456952,13.95421375,14.04280037,0.452377372012906,0.119657152166045,8.62940607549533
"GSM672636",11.92807175,12.48356283,13.23891599,13.1136368,12.71816097,12.50329219,11.12166803,14.48155167,14.75811599,14.66993086,11.40767807,12.01111041,14.5076632,14.30661041,0.328572829573373,0.443857436592604,9.19408854777284
"GSM672637",11.49220149,12.02055242,13.17780409,12.86480892,12.31027584,12.13914164,11.50890743,14.5149171,14.73557435,14.5931777,11.78955725,12.43612565,14.3837368,14.22852825,0.25019353606438,0.673880843332198,9.5947365182987
"GSM672640",10.75825539,11.70866914,13.17595502,13.0917539,12.08812974,11.81923755,11.00122007,14.29400892,14.5706171,14.22852825,11.45451375,11.72477063,13.87933941,13.97636729,0.453075702330209,0.117894306350972,8.62633560276314
"GSM672642",12.57880929,12.29315279,13.41578699,12.51732138,13.32523234,12.94794461,11.11236022,14.39460335,14.63204387,14.47629851,11.580029,11.87367249,14.03156208,14.21381301,0.125260186044744,1.14908636027903,10.4224354409696
"GSM672646",14.02572788,13.44724164,12.83584424,12.65458104,14.72779442,14.25115204,11.09271227,14.5149171,14.6741539,14.71898885,11.56918327,11.70048234,14.60551747,14.41200297,0.271334740799478,0.608781192265079,9.48134787037075
"GSM672647",13.36020558,13.32421004,12.92150372,12.93638178,13.86665948,13.61520669,10.53004981,14.15794052,14.51143346,14.51807323,10.82198364,11.31913494,14.45026283,14.11600446,0.465689227746159,0.0861106526485577,8.57097577424715
"GSM672649",13.68413234,13.19072825,12.74445799,13.04989703,14.07896877,14.06780892,11.35176059,14.60551747,14.90230818,14.64447732,11.76177175,12.18154349,14.56695242,14.54011041,0.099762046975769,1.28290861589529,10.6555230901084
