"","csgA","spoVT","gdh","gerAA","gerAB","gerAC","gerKA","gerKB","gerKC","glcU","gpr","spoIIP","tepA","ybxH","ykoS","ykoT","ylzJ","yqjB","yqjC","pval","z","inv_cof_var"
"GSM672728",7.778707063,10.61900669,7.429003346,7.212948141,7.472380669,7.609332714,7.222447955,7.882130855,7.369321561,7.135171747,7.958960223,8.185330483,8.617136803,7.670738662,7.362248141,7.602376952,8.490633829,7.621939777,7.592651673,0.47748779077815,0.0564597219337049,18.3733580225657
"GSM672729",7.437914498,10.64203271,7.337226766,7.289504089,7.491978439,7.598236431,7.255019703,8.163278439,7.61607658,7.152958364,8.013526394,8.040285502,8.316775093,7.237405204,7.455511152,7.712718216,8.067376208,7.539566543,7.72343197,0.268964462161702,0.615947872559103,21.7395192934484
"GSM672730",7.681627509,10.41887398,7.423486245,7.282736059,7.500260409,7.643193309,7.359909665,8.090775465,7.6393,7.132457993,7.979769517,7.996134572,8.438575465,7.448477695,7.475075093,7.784542379,8.134901115,7.516815242,7.675954461,0.216224637360877,0.78500732355556,22.756665725924
"GSM672731",7.439755019,12.12079071,7.668779182,7.465363941,7.520542007,7.771924164,7.78546171,8.421766914,8.103662082,7.185085502,8.015626766,8.121063569,8.649103346,7.122816543,7.62952881,7.801209294,8.272876208,7.957765056,7.905511896,0.418473512316182,0.205800149222773,19.2718649202643
"GSM672732",7.529364684,11.81669368,7.499016357,7.337719888,7.55006171,7.80720632,7.418300743,8.352986617,7.841605948,7.247768401,7.774867658,7.856371375,8.023792937,7.375808178,7.47327658,7.702029368,7.93085855,7.460065056,7.633748327,0.0618310486494541,1.53958273200182,27.2965697668463
"GSM672733",7.397816729,11.90698848,7.582311152,7.344720818,7.699220446,7.711727881,7.706005204,8.561458364,8.116738662,7.235277695,7.900626766,7.955817844,8.587512268,7.189788476,7.689591822,7.922072862,8.295108922,7.778707063,7.931394796,0.410310944037227,0.226745186832514,19.3978807694655
"GSM672734",7.72343197,10.33478216,7.454666543,7.308666914,7.417859294,7.664118587,7.260815056,7.978735688,7.693285502,7.227946097,7.983840149,8.039725279,8.352986617,7.439755019,7.419965056,7.699220446,8.18960632,7.567879926,7.332467658,0.212380680619515,0.798188066928238,22.8359676875705
"GSM672735",7.461993309,10.35981673,7.267692379,7.232099628,7.491115242,7.560428996,7.330054833,8.082105948,7.656668401,7.214778439,7.980317472,7.977637546,8.191898141,7.359909665,7.404819331,7.689591822,7.951738662,7.455511152,7.74493197,0.140305662389514,1.07894706799229,24.525154625269
"GSM672736",7.742886245,10.25133606,7.390745353,7.288603717,7.515874349,7.580478067,7.265292565,7.994171375,7.586930855,7.226811896,7.962027881,7.995139033,8.291892937,7.582311152,7.413969517,7.651796654,8.003266543,7.471027323,7.694331227,0.106599406908573,1.24481757640084,25.5231147800326
"GSM672741",7.951738662,11.83540297,7.687251859,7.220732156,7.504303346,7.582311152,7.61314684,8.309239405,8.027893309,7.223523048,7.742886245,7.878071747,8.392362082,7.45382974,8.145573978,8.21488829,8.161189963,7.431591822,7.403995539,0.320894963484476,0.465197642308023,20.8325303141812
"GSM672742",7.736879182,11.55055688,7.745915242,7.275465799,7.619773234,7.547315613,7.628094052,8.467777323,8.074649442,7.232099628,7.722443123,7.800219703,8.445764684,7.450236803,8.221126022,8.156835688,8.033560409,7.523875465,7.78546171,0.280358925723059,0.581775585034409,21.5339216759216
"GSM672758",7.88725316,10.95179145,7.515874349,7.206927881,7.166906691,7.517272677,7.548252045,7.991175093,7.884095539,7.203504833,8.014537175,7.893216357,8.409305576,7.464571004,7.636548699,7.895319331,8.225892565,7.956737175,8.076719703,0.278463247714046,0.587412805700552,21.5678380222474
