"","csgA","spoVT","gdh","gerAA","gerAB","gerAC","gerKA","gerKB","gerKC","glcU","gpr","spoIIP","tepA","ybxH","ykoS","ykoT","ylzJ","yqjB","yqjC","pval","z","inv_cof_var"
"GSM672709",7.823384758,12.42726766,7.586030483,7.295504833,7.54200855,7.647143123,7.574069517,8.077768773,7.885181041,7.323299257,7.795259851,8.092948327,8.955711524,7.251828625,7.636995353,7.651796654,8.467777323,7.573260223,7.861327881,0.4714173556954,0.0717074698467437,18.4650961200315
"GSM672716",7.560428996,11.22958513,7.578592565,7.252905576,7.669763569,7.562291078,7.645181784,8.079886245,7.869126394,7.373147584,7.891243123,8.080995167,8.42054461,7.344720818,7.665922677,7.874073978,8.158015613,7.777772862,7.74493197,0.105252477471693,1.25217815277582,25.5673996984838
"GSM672717",7.600991078,11.05850781,7.511424907,7.287647584,7.760930855,7.548252045,7.573260223,7.995139033,7.762834201,7.386630855,7.852019888,8.187467286,8.357856506,7.324245353,7.706005204,7.809776766,8.092948327,7.780598141,7.841605948,0.0774394376716181,1.4225078463174,26.5921885470771
"GSM672718",7.688649814,11.16330167,7.730020074,7.329580297,7.586930855,7.535639777,7.600063197,8.026884387,7.847688476,7.630018959,7.92877658,8.227065428,8.428322677,7.479533457,7.70978513,7.78546171,8.150184387,7.738784015,7.808284015,0.0470549699820431,1.67410512889919,28.1059239631703
"GSM672719",8.050930112,12.2758855,7.568715242,7.325943494,7.600063197,7.501630112,7.821365799,8.255571375,8.093958364,7.409369888,8.227065428,8.461734572,8.71195948,7.665011524,8.257919703,8.219970632,8.290675465,7.786410409,8.013526394,0.351225533543727,0.382013882953389,20.3320551052013
"GSM672720",8.366150929,12.34049442,7.737766543,7.340056877,7.585147955,7.602832714,7.741947584,8.402105204,8.202060967,7.671643494,8.283497026,8.565359108,8.71819145,7.939507435,8.479710781,8.223567658,8.425394052,7.740816729,8.075726022,0.364896827453204,0.345400029622292,20.1117678034539
"GSM672723",7.672643866,11.89082807,7.530228253,7.449774164,7.529364684,7.738784015,7.482289963,8.265416171,7.851584015,7.242649442,7.834514126,8.151339033,8.245984201,7.469724535,7.443756134,7.465363941,7.929290335,7.515012639,7.46099777,0.110104303498376,1.22597360771911,25.4097400150885
"GSM672725",7.358557621,11.98320223,7.630018959,7.275465799,7.575073978,7.696285502,7.76787026,8.474837918,8.089684015,7.20119777,7.971537918,7.995139033,8.661983643,7.187255019,7.741947584,7.875115242,8.491805204,7.86312974,7.88012342,0.488854850692805,0.0279403812986031,18.2017713682108
"GSM672726",7.625234944,12.03546171,7.359909665,7.499842751,7.805177323,7.855413383,7.665922677,8.447001487,8.135997026,7.139126022,7.719550558,7.54200855,8.721311896,7.357145725,7.48316171,7.600991078,8.231637918,7.865181413,7.703069517,0.413757185588893,0.217890574502395,19.3446069815202
"GSM672727",7.408428625,12.01111041,7.498145353,7.343718587,7.66687881,7.758813755,7.687710037,8.549405204,8.087730855,7.243707063,7.937469888,8.022753532,8.784646468,7.277718216,7.671643494,7.891243123,8.404481041,7.790382156,7.88364684,0.486502252021315,0.0338402944076638,18.237268204001
