"","amhX","codY","bacG","bcaP","bkdR","clpQ","clpY","codV","dppA","dppB","dppC","dppD","dppE","ilvA","ilvD","ispA","mpr","nupN","nupO","nupP","nupQ","trmFO","ybfJ","ybgE","ycgA","ykfA","ykfB","ykfC","ykfD","ylmA","ypmP","yuiC","ywaA","pval","z","inv_cof_var"
"GSM672631",13.81582714,12.31592825,13.28852007,12.23710446,9.359849442,11.97978401,12.70310595,12.34049442,15.11127918,15.0717881,14.21655688,14.87743532,14.86360112,12.40504387,12.07309777,13.03040297,14.33589145,13.72151636,11.64111115,11.02258996,11.1649145,10.12797993,14.02859517,13.62670483,9.960652788,12.87304684,13.10414349,13.23309777,13.09337732,10.74269703,12.89065985,10.65138476,12.91651264,0.243921355445896,0.693744089752755,8.40270623711854
"GSM672632",13.7497,12.21330186,13.36438513,12.35779405,9.499448699,12.06496617,12.73028625,12.69237249,15.44358327,15.22980632,14.49691561,15.07704164,14.90230818,12.67092974,12.20380818,13.17256729,14.41200297,13.88738959,11.90059108,11.39642212,11.55933717,10.51776357,14.05925799,13.7405171,10.21518253,13.20139963,13.31550074,13.49877379,13.3702461,10.49409517,12.80310595,10.82770632,12.95655428,0.218397090677445,0.777618110143605,8.56917142685792
"GSM672634",10.37321041,13.32523234,12.28434275,10.87208662,10.48817732,12.96154498,13.64935428,13.25970781,11.8077974,10.72635353,9.477271004,9.830688662,10.00747918,13.4511197,13.53224944,8.583566914,11.56434796,10.9565684,10.04656803,9.651572119,9.720425279,11.26665725,11.37927323,11.02368327,9.337545725,9.379951673,9.358621933,9.864209294,9.516484387,11.3224881,12.59350818,10.00012416,13.72151636,0.456022921487074,0.110458396148705,7.24505618999311
"GSM672635",10.52649517,13.23603439,12.33753643,11.12277175,10.78305911,13.04444907,13.47612974,13.28852007,11.97911264,10.89029628,9.48922119,9.900917844,9.88252026,13.44939033,13.68176245,8.628068773,11.61507807,11.00543048,10.09255093,9.914948327,9.88252026,11.16270446,11.60519591,11.30368922,9.515183271,9.400000372,9.462750186,9.864209294,9.556754275,11.48741822,12.67714424,10.25749294,13.78598662,0.420036276402488,0.20180067631365,7.42634367243439
"GSM672636",11.08792416,12.9331223,12.42003234,11.91107807,10.05217361,12.82718439,13.33619628,12.988971,12.59782974,11.79360967,10.60851896,11.18580558,11.16719814,13.45520892,13.83099145,8.53189368,11.752071,11.50648104,10.52138327,10.28401264,10.18235576,11.26426877,11.4682684,11.65346208,9.835013011,10.31281784,10.51419851,10.79286914,10.4894658,11.91238699,12.83418104,10.98619703,13.88212491,0.151890022940385,1.02836100184313,9.0668221040051
"GSM672637",11.4285632,13.04114164,12.41414164,12.27143792,10.21153717,12.91488662,13.52880929,13.10592714,12.75389331,12.13114796,11.05172937,11.545929,11.40767807,13.55356059,14.06186803,8.308172862,11.91645465,11.66514257,10.70714721,10.31892639,10.3261487,11.38151115,11.89411264,11.73973234,10.0087881,10.67743309,10.64806134,11.03646654,10.73115465,11.73237063,12.51518699,11.12166803,13.93093309,0.133282002696753,1.11101009189264,9.23085616834072
"GSM672638",11.35883048,13.08627212,12.44358959,12.05809554,10.11089517,12.90971413,13.24170669,13.03040297,12.90509033,12.11816134,11.09389405,11.752071,11.76691301,13.41777658,14.03156208,8.593413755,12.02192007,11.8179803,10.93698327,10.5733777,10.44871636,11.18790892,11.87618959,11.65592045,9.897079554,10.71840037,11.04821115,11.37077807,11.0330539,11.93752491,12.6482026,10.65251152,14.15506134,0.096651184683339,1.30087171476921,9.60767548532464
"GSM672639",12.00707993,13.50622305,11.85939182,12.86639294,10.55690632,12.97704498,13.58822193,13.40705576,12.3046145,11.31089517,10.26231375,10.74380595,11.08095762,13.71644461,14.18243662,8.514854647,11.90186766,10.3433171,9.428277695,9.369944238,9.425710781,10.95418476,11.77082305,12.10021896,11.18580558,10.10699257,10.1611948,10.58402416,10.43697138,12.18289145,12.95488401,11.25086022,14.18243662,0.369214774319197,0.333933753629642,7.68858885495642
"GSM672640",11.73846877,13.2139171,12.86331896,12.5327658,9.730959851,12.73350074,13.15227509,13.03840242,13.84343978,13.52142082,12.63741822,12.91651264,13.13574721,13.56203011,14.10461152,9.143151301,11.90698848,12.97704498,11.75807658,11.38451078,11.49040595,10.96242974,11.8387684,11.91645465,10.37568922,11.93608848,11.9427,12.3046145,11.96003271,11.88011524,13.02354647,11.04938625,13.73822305,0.0339038566011763,1.82628254425834,10.6504609988181
"GSM672641",11.62372862,12.90213346,12.67875353,12.03546171,10.01006208,12.71656803,13.40495093,13.29444201,13.42184944,12.96003271,11.86338253,12.33085353,12.24804182,13.39298996,13.95716766,9.314887361,12.02735651,12.46461859,11.39223755,10.95881636,10.86752045,11.0330539,11.78586766,11.80847361,10.20783569,11.31671078,11.53395353,11.78707844,11.5380632,11.98850669,12.71352639,10.82831543,14.05925799,0.0299556879064633,1.88144525402561,10.7599427060876
"GSM672642",11.03072193,13.66069851,12.15180074,10.66433346,10.58518067,12.80000632,13.91831896,12.95315316,11.75678996,10.40512788,9.721840149,10.24754089,10.53447063,13.40275985,13.80224126,8.684418216,11.40524758,11.64474981,10.5828145,10.228229,10.16372974,11.07385093,11.33162788,11.66775818,9.545039405,9.643798885,9.666511896,10.18235576,9.989074349,11.43817398,12.97704498,10.0693658,13.79859108,0.352377734463254,0.378908961928915,7.77785137686987
"GSM672643",10.99658662,13.54925019,12.64667732,11.44644647,10.27073271,13.2139171,13.73822305,13.06050818,12.28581264,11.11935985,9.733342007,10.15634833,10.27670223,13.28852007,13.59152323,8.821174721,11.62122007,11.46879238,10.2729855,9.985307807,9.82232974,10.88583123,11.86062565,11.7644632,9.818199628,9.25350855,9.557981784,10.03135093,9.628471004,11.69090818,12.90368476,10.98619703,13.65160669,0.37528517029911,0.317887413169713,7.65674160241222
"GSM672644",11.04578699,13.26519851,12.30886543,11.03072193,11.09506729,13.20315836,13.59952639,13.49233792,11.9588368,10.81364758,9.517847955,10.05097732,10.10585762,13.24788216,13.61745502,9.054672491,11.92279405,11.2654855,10.2305684,10.11590446,9.941936245,11.08324498,11.59954219,11.65592045,9.878593309,9.606279554,9.64251487,10.02762937,9.800424907,11.61937045,12.51217212,10.50878364,13.75962305,0.321461569440169,0.463615651274645,7.94596916886819
"GSM672645",11.88011524,13.13379517,11.7195487,12.48208364,10.69666506,13.0917539,13.64935428,13.51702342,12.26726022,11.3353487,10.42730372,10.90156766,10.96807138,13.50622305,14.12176357,8.71195948,11.96693457,10.27181115,9.579008178,9.471579554,9.464062082,11.10672639,11.57569219,12.0179461,10.93586171,10.24135167,10.32859814,10.69258996,10.37092045,12.13388587,13.02507807,11.11124164,14.14266803,0.304171335971038,0.512440615030051,8.04287231978056
"GSM672646",10.78305911,13.57750632,12.233029,11.46098476,8.75945316,12.70912007,13.54539665,12.73350074,13.8692948,13.60160558,12.87464238,13.41777658,13.52142082,13.41578699,13.19254647,9.912310037,13.89762082,12.73977435,10.95534349,10.34696877,10.68432825,11.29171004,13.98436729,11.5350052,8.651625279,12.52544535,12.46166171,12.59205613,12.25553011,11.2654855,12.94628513,11.37801599,13.28255242,0.22902968061789,0.742046172238909,8.49857162294833
"GSM672647",10.95294498,13.54925019,12.26005576,11.55055688,8.847083271,12.86877063,13.40705576,13.00295056,13.82289926,13.75689926,12.99944721,13.66069851,13.53224944,13.18693197,13.19436877,10.81242528,14.49691561,12.81874535,11.14142193,10.65589554,10.81609888,11.37323197,14.39777584,11.79984164,8.966280669,12.89381004,12.63451004,13.02354647,12.20908513,11.53286245,12.73823494,11.43453903,13.55558736,0.174658970250854,0.935913083104917,8.88334025513159
"GSM672648",12.59922416,13.20690632,13.17595502,11.97097658,8.241036059,12.84223494,13.45315651,13.02854461,15.00514164,14.87297918,14.21655688,14.6741539,14.66993086,13.70641859,13.65274554,9.086720446,14.39110335,13.07616431,11.35399554,10.89157584,11.09961338,11.23069257,14.03459963,12.48356283,10.29473086,13.49333755,13.4302974,13.84114201,13.42601599,11.752071,13.41359628,12.80153755,13.87665688,0.312674615047221,0.488283241551058,7.99492705924522
"GSM672649",11.79868662,13.35045167,12.43023309,12.04472491,8.554138662,12.58323271,13.28071041,12.71816097,14.7149948,14.5149171,13.85768625,14.3805052,14.33589145,13.56203011,13.42404535,10.26606654,13.94393941,12.76159257,11.27143494,10.83013309,10.88235985,11.16042491,14.07618625,11.9301619,9.560557621,13.16680669,13.06752156,13.32938104,12.93148625,11.39931487,13.23499331,12.23849145,13.4511197,0.217407396293632,0.78097909077388,8.57584198200386
"GSM672650",11.86596059,13.11699257,12.72122491,11.65346208,8.217745725,12.72795186,13.50188959,12.82796729,14.58946431,14.58155874,13.87172416,14.44658587,14.35627175,13.57750632,13.48916357,10.65031264,14.0958948,12.68047472,11.27490967,10.70275725,10.86115929,11.24358141,14.01120595,11.94133643,9.522955019,13.27297993,13.16149219,13.55558736,12.88678755,11.53634684,12.97704498,12.08955204,13.41777658,0.242444077778621,0.698462254051724,8.41207040151163
"GSM672651",12.50189554,13.36649851,11.6064513,12.64499628,9.800424907,12.5479145,13.44939033,12.63451004,13.69168178,13.2786855,12.88276766,13.48706506,13.45520892,13.19966617,13.90805539,9.456306691,12.48666022,12.22305651,11.41400037,11.19147212,11.21956524,10.89029628,12.14178848,12.25278848,10.98274721,12.09898662,12.5494855,12.94290967,12.76305799,11.11991989,12.84992788,10.30341896,13.91831896,0.0359543697916436,1.79969545231968,10.5976934638465
"GSM672652",12.36989182,13.54925019,11.63990818,12.77089368,9.951659108,12.22743866,13.48706506,12.71191784,13.79624275,13.58822193,12.85326877,13.45315651,13.55877193,13.31340074,14.18383309,9.176684015,12.38124796,12.32160558,11.36244796,11.28675688,11.41212007,10.82583178,11.68854647,12.39153123,11.04821115,12.50189554,12.41175539,12.89381004,12.90826059,11.24473197,12.84992788,10.1254855,13.88738959,0.0575847469437833,1.57537681015217,10.1524871275282
