"","cysK","spx","cymR","mccA","mccB","mtnN","yrhC","yrrT","pval","z","inv_cof_var"
"GSM672773",14.46059071,13.92820372,12.47253067,11.48512491,10.91574907,12.88983086,10.80641041,11.96838401,0.230586541456093,0.736916576297705,8.69346141454865
"GSM672774",14.21067918,13.91054387,12.38852714,10.81497212,10.37568922,12.9331223,10.28889442,10.88695465,0.408992983108797,0.230136161352676,7.20300835918174
"GSM672775",14.19545279,14.05645093,12.62237993,10.60737249,9.914948327,12.74293383,10.00124461,11.04701784,0.476723450862248,0.0583787992368225,6.69786593931316
"GSM672776",14.01692193,13.64061375,12.31318253,10.58764238,10.25613717,12.56771524,10.26107435,10.99658662,0.369350833961738,0.333573168683888,7.5072190174242
"GSM672782",14.25115204,13.9054052,12.2903119,10.8556171,10.54862454,12.48520074,10.75950632,10.96685353,0.306956516068082,0.504495772550749,8.00990639375516
"GSM672783",14.26946022,13.76680818,12.25278848,11.07857138,10.80887472,12.97208327,10.98499331,11.4562539,0.242214067114869,0.699198265801399,8.58253098104207
"GSM672784",14.64878104,14.37000297,12.5312223,10.94953011,10.68432825,12.7521803,10.45730818,10.94444796,0.416859343308175,0.209934638958422,7.14359520925004
"GSM672785",14.20152714,13.89249665,12.28434275,10.69941338,10.31281784,12.80614647,10.50141338,10.94269926,0.386631801946765,0.28810860767347,7.37350667994911
"GSM672786",13.82056989,13.60378104,12.44216766,11.03757584,10.06448922,12.55718141,9.70122342,11.25086022,0.388958661462731,0.282034152494194,7.35564156516834
"GSM672787",13.64061375,13.47612974,12.20908513,10.38045316,10.00627323,12.48356283,10.07252286,10.86401599,0.3634597785298,0.349226121588352,7.55325471808264
"GSM672790",15.03266691,14.03459963,12.19956989,11.50065985,10.58157807,12.86480892,10.4224948,11.31439294,0.453956627410428,0.115671045128896,6.86636377470787
"GSM672791",14.8357223,13.96283048,12.5312223,11.45741599,11.09151115,12.86480892,10.65846506,11.60144089,0.325267473173573,0.453019157971998,7.85851246609683
"GSM672792",14.43247509,14.00869331,12.38714758,10.77255948,10.40780558,12.66787807,10.47617472,10.94725613,0.407164110035192,0.234846055509119,7.21686026807345
"GSM672799",15.12307993,14.1456342,12.44963011,11.52222045,10.86981041,13.05512156,10.56871487,11.92544981,0.40723106340052,0.234673539342298,7.2163528939912
"GSM672800",14.79444089,13.95159331,12.40504387,11.34575651,11.02712677,12.71816097,10.6408119,11.56299777,0.32726083134501,0.447489506599289,7.84224963205566
"GSM672801",14.43977026,14.1456342,12.4632171,10.85192937,10.42133532,12.65748922,9.857714498,10.75493755,0.479331041842123,0.0518325946380827,6.6786133984542
"GSM672803",14.8030119,14.05925799,12.41861375,10.98619703,10.46871059,12.81874535,10.24754089,10.71478104,0.499588699842922,0.00103097678573111,6.52920465195828
"GSM672804",14.9356,14.01120595,12.44648699,11.32028439,10.61090149,13.09676506,10.25133606,11.9466974,0.451794835106993,0.121127976579486,6.88241273775697
"GSM672807",14.55602639,14.26946022,12.53577732,10.73702082,10.25863271,12.72122491,10.34576506,11.1778052,0.451796484297371,0.121123812235478,6.88240049032383
"GSM672808",14.5439829,14.29400892,12.55874387,10.73348922,10.11216691,12.74905093,10.41760929,11.19886617,0.459488052442422,0.101723555070753,6.82534388017601
"GSM672809",14.99943048,14.53674944,12.34049442,11.14142193,10.82358048,12.92314349,10.72067398,12.04352379,0.388544545697697,0.283114467833951,7.35881879785417
"GSM672810",14.95582342,14.05925799,12.39445725,11.70866914,11.11935985,13.24257695,10.79461747,11.58882602,0.337515001135345,0.419254696085204,7.75921039384242
"GSM672811",14.46736729,14.22564647,12.51518699,10.89382342,10.43389796,12.80153755,10.2696368,10.67985911,0.45042600558339,0.124585117422756,6.89258026984924
"GSM672813",14.74027026,14.10748848,12.52395651,10.90626022,10.46929405,12.82796729,10.22354126,11.28562714,0.465737100640715,0.0859902079950179,6.77907173837921
