"","azoR2","mhqR","mhqA","mhqD","mhqE","mhqN","mhqO","mhqP","pval","z","inv_cof_var"
"GSM672706",11.89411264,11.10190223,10.34221784,8.561458364,9.377654647,9.586639777,9.348395911,8.766517844,0.446673736459827,0.134069682641538,8.59624076448204
"GSM672710",10.46812714,11.35625651,8.476780297,8.886296654,10.09014535,8.020653532,8.045720074,8.331278067,0.370440839517685,0.33068599902378,8.99217536723734
"GSM672711",10.68536877,11.70353494,8.49786803,9.174869145,10.16625242,8.083214498,8.106679554,8.380965242,0.434674678055715,0.164484997557671,8.6574893721794
"GSM672712",10.79103494,11.92807175,8.593413755,9.02908513,10.15945743,8.037214126,8.101442751,8.34812974,0.482526909759933,0.0438125546641588,8.41448616359692
"GSM672716",12.62842751,10.99196914,10.12925874,9.014144981,9.696065428,9.826052045,9.709953532,9.250950186,0.494101777439386,0.0147851901011485,8.35603253030361
"GSM672718",12.57880929,10.8370197,10.01496245,9.119518959,9.629740892,9.684353532,9.580311896,9.130303346,0.499532580286496,0.00117164773805481,8.32861836353047
"GSM672722",10.28280446,12.33832398,10.04221636,8.008369145,8.720079182,8.150184387,8.196510409,8.990778439,0.253950103282371,0.662110812870008,9.659579550308
"GSM672724",10.09491599,12.61541041,9.663977323,8.054964684,8.823742007,8.106679554,8.218820074,8.9701171,0.0840164253486892,1.37855223971133,11.1023079919414
"GSM672725",10.71840037,11.50287249,9.975899257,8.502789963,9.068281041,8.402105204,8.500448327,9.166684572,0.132754212368439,1.11346580925545,10.5684922208519
"GSM672726",10.13658327,12.14881636,9.816794796,7.791298513,8.445764684,7.735995539,8.072568773,8.849630483,0.361290099801179,0.355012536256594,9.04116274546164
"GSM672727",10.6237948,11.48512491,9.888286245,8.313920074,9.101403346,8.560181041,8.538096654,8.953657807,0.0961224472440688,1.3039668231605,10.9521121800334
"GSM672731",10.56632751,11.00784294,9.897079554,8.198600743,8.932741636,8.385220818,8.554138662,8.791343494,0.147584360558517,1.04685009629319,10.4343453385672
"GSM672732",10.98499331,10.7487777,9.753242379,8.216581041,8.899360595,8.204286617,8.198600743,8.828901487,0.425934026084676,0.186735459829784,8.70229607033615
"GSM672733",10.60049368,11.42249628,9.908577323,8.324371375,8.998344981,8.557764684,8.422989219,8.910728996,0.114694558440715,1.20193395686087,10.7466442762009
"GSM672734",11.14998532,10.36235093,10.09834833,8.35060855,9.002004089,8.455178253,8.506366543,8.557764684,0.445988288498164,0.135803559580219,8.599732345901
"GSM672735",10.93447918,10.87672565,9.955614126,8.360233086,8.97135948,8.13439052,8.115733457,8.382762082,0.499613204318545,0.000969553143541283,8.32821139708704
"GSM672736",11.05172937,10.50502379,10.05844498,8.510673234,8.956904089,8.42776171,8.34812974,8.689369888,0.377688798646357,0.311556500547165,8.95365348604452
"GSM672737",10.11089517,11.93087695,9.70606803,8.019628996,8.764030483,8.20664052,8.253332714,8.887666543,0.0816514415231086,1.39404875262544,11.1335139762546
"GSM672738",10.03985799,12.21031896,9.458850929,7.817295911,8.624420074,8.343217472,8.269560223,8.787394052,0.0542174046306831,1.60526813180912,11.5588553849947
"GSM672739",10.05582602,12.15595799,9.461452788,7.848711896,8.606457249,8.057889591,8.075726022,8.830134572,0.119103015976934,1.17948267371125,10.7014331765386
"GSM672749",10.05959888,13.25773792,9.530714498,7.97460632,8.442299257,7.768869517,7.8193171,9.206534201,0.282078070515358,0.576679266560974,9.4875424275858
"GSM672750",9.961820446,12.83584424,9.713857993,7.981871747,8.487750929,7.882130855,7.907455762,8.988291822,0.205423798515151,0.82240295691064,9.98236662893549
"GSM672751",10.35404907,13.05331524,9.691046468,7.957765056,8.317332714,7.706005204,7.986448699,8.625594052,0.420634762054583,0.200269871697292,8.72955088867926
"GSM672755",10.09834833,12.82640149,9.434879926,7.719550558,8.363136059,7.932447212,7.960021933,8.847083271,0.238807242167821,0.710144579055332,9.75630717944562
