"","bpr","degU","capA","capB","capC","capE","levB","minJ","sacB","sacX","sacY","sipT","swrA","yueB","yueC","yueD","yukB","yukC","yukD","yukE","yveA","pval","z","inv_cof_var"
"GSM672592",11.84897658,11.11013494,8.313920074,8.441049442,7.884095539,8.740119703,7.412204089,9.466457621,7.823384758,7.504303346,7.677404833,9.856439033,11.63001524,10.03007658,10.11712491,10.00255502,10.17617398,9.779072862,10.36729665,15.94857249,12.92750911,0.268425307640359,0.617582451376396,4.65569803485584
"GSM672593",10.77255948,11.2654855,7.713698885,8.302290706,7.433513383,8.20314052,7.398698141,9.322251301,7.755745725,7.188427509,7.392457621,9.827327509,11.6998658,9.641845911,9.881884387,9.769912639,9.525447955,9.832570632,10.49302193,15.76791375,12.62693755,0.379404073415175,0.307046279083135,4.50969640383554
"GSM672594",11.41876506,11.2654855,7.847688476,8.725552788,7.519544981,8.242130112,7.516815242,8.654175465,7.665922677,7.246704089,7.48490632,9.38057974,11.8064539,9.279881413,9.228067658,9.421905204,8.6819829,9.508453903,9.749528253,15.91022379,12.67265651,0.473346925470491,0.066859128484388,4.39677005622662
"GSM672596",10.47442249,11.01195019,7.940559851,8.565359108,7.482289963,8.485988104,7.510571747,8.994675465,7.597465056,7.235277695,7.349563197,9.769912639,11.81292007,9.738382528,9.755274535,9.830095911,9.129148699,9.063291822,9.715221933,15.74199963,12.38563941,0.315938740720952,0.479085954381417,4.59058254669052
"GSM672597",10.77991506,9.519147584,7.707991078,8.548211524,7.401328996,8.452079554,8.363136059,8.015626766,9.710606691,7.255019703,7.841605948,10.17872528,12.42567472,8.61233197,8.683817472,8.434796283,7.602832714,8.338381041,8.851008178,15.00514164,13.37430892,0.457500976299005,0.106731549602104,4.41551646658173
"GSM672598",8.768963569,13.37237472,8.645266171,8.261951301,8.231637918,8.70175539,8.173664126,11.97239591,9.913620818,11.10672639,10.86401599,11.91889442,11.55183606,13.42404535,12.98810762,12.57565725,12.84992788,12.50036468,12.37289182,14.33589145,7.031287732,0.0835974785678468,1.38127325878675,5.01475476777589
"GSM672599",8.665937918,13.47196803,8.518662454,8.228271004,8.012508922,8.609356691,8.213257249,12.25278848,10.0326223,11.22958513,11.2785487,12.2903119,11.64474981,13.30781115,13.03748513,12.76007472,12.63002937,12.17875688,12.27950613,14.48155167,7.096736803,0.111381556477561,1.2192136485988,4.93856085054164
"GSM672600",8.519863197,13.32734535,9.485410037,9.192094796,9.108434572,9.392488104,8.96372119,11.82046914,10.97694387,10.75005539,10.45615651,11.39931487,11.41145911,13.6722223,13.1633513,12.48356283,13.07284758,12.80153755,12.84223494,15.04970037,6.965320818,0.0165007013469707,2.13206622533228,5.36774745415027
"GSM672601",8.636723792,13.2786855,8.851008178,8.605266543,8.584775836,8.720728996,9.708602974,11.75807658,11.44644647,10.97474461,10.53918104,11.74086617,11.46694833,13.95716766,13.3702461,12.69864721,13.28644796,12.83902974,12.76600149,15.11127918,7.562291078,0.0415965508954071,1.73245208178418,5.1798649401554
"GSM672602",8.425394052,13.41578699,9.568403717,9.412865428,9.219752416,9.502141264,8.864891078,11.51478885,10.86981041,10.99196914,10.588729,11.12047993,11.52222045,14.11328476,13.44939033,12.65605019,13.33142937,13.02507807,12.78364684,14.54011041,7.013033457,0.0152370343082675,2.16387337791084,5.38270189929682
