"","cccA","abrB","ccpA","yobO","yvnA","pval","z","inv_cof_var"
"GSM672729",14.75811599,11.3084513,12.81725688,12.2903119,11.72602565,0.402696021754162,0.246374888218964,8.01510569769295
"GSM672730",14.28826431,11.11351933,12.77412974,12.19250186,11.49097026,0.310893577186057,0.493319072190145,8.69671754486279
"GSM672731",11.5304,12.60212045,12.99944721,8.937742751,9.77656171,0.458828635923502,0.103385182413459,7.62042753223457
"GSM672733",10.2991948,12.59205613,12.91142379,8.248820818,10.34221784,0.397918407085323,0.258738756481082,8.04923227216327
"GSM672735",14.51143346,11.24960967,12.88029071,11.78707844,11.77574349,0.397536795910819,0.259728001223991,8.0519627715242
"GSM672736",14.21067918,11.37209145,12.74293383,11.37077807,11.3084513,0.488161828521988,0.0296782515316301,7.41698270312514
"GSM672737",10.65969257,14.04813494,13.32734535,8.225892565,9.996260595,0.454306334820178,0.11478861963852,7.65190313852771
"GSM672738",10.61326914,13.78374796,13.34708364,8.390028625,10.33593941,0.394672515590426,0.267161222605765,8.07247984414756
"GSM672768",10.44165911,13.97367398,12.79829665,8.126315242,10.24754089,0.479301898756851,0.0519057438542144,7.47833471334992
"GSM672798",11.08555204,14.39951896,13.77875762,8.430050186,9.94515539,0.49470039698819,0.013284525482494,7.37173297213471
"GSM672807",11.13599963,14.72779442,13.65160669,8.47370632,9.772573978,0.496841895201046,0.00791627746468147,7.35691560981159
"GSM672809",10.08529814,14.71898885,13.25369033,7.910605948,10.14274461,0.494783905912279,0.0130751814701742,7.37115514375002
"GSM672810",10.39695242,14.22852825,13.02196208,8.190704833,10.15888587,0.41705337627169,0.209437459660055,7.91315152932638
"GSM672811",9.946295911,14.5149171,12.94134015,7.832513011,10.00507361,0.478685430705292,0.0534531458836447,7.4826058305661
"GSM672812",9.814483271,14.70664796,12.85079387,7.76787026,10.03318327,0.495405289292913,0.0115174864042808,7.36685561584004
"GSM672813",9.885793309,14.3002197,12.92588699,7.832513011,9.908577323,0.443823216746278,0.141282930935715,7.72503236219423
