"","mta","ydfK","ymfD","ymfF","ymfH","pval","z","inv_cof_var"
"GSM672639",8.853779182,7.800219703,9.494378067,11.88757881,12.03001301,0.41750676600507,0.208275920531424,5.33486342092673
"GSM672640",8.601725651,7.727243123,9.313763941,11.81046245,11.82952268,0.453977389687106,0.115618652646374,5.24730859263275
"GSM672641",8.790155019,7.872061338,9.008102974,11.79491301,11.54940074,0.325004748900712,0.453748995687185,5.56681881348937
"GSM672645",8.882200743,7.970501487,9.389882528,11.81923755,11.73237063,0.262227002654988,0.636494744560164,5.73950114083662
"GSM672653",9.102701487,7.729094424,8.506366543,11.42249628,11.89681338,0.429384665204964,0.17794097564617,5.30619895723856
"GSM672666",8.717047212,7.762834201,9.386327138,11.78835316,11.40587082,0.290720930686954,0.551279832412247,5.65897883350447
"GSM672667",8.922488848,7.766921933,9.340096654,11.83742714,11.69346877,0.333928124198556,0.429092035126103,5.54351965954868
"GSM672668",8.954337175,7.830516357,9.131537546,11.9083223,11.64603123,0.342893014018365,0.404580318479688,5.52035775124776
"GSM672669",8.894226394,7.89222119,9.025208922,11.9588368,11.81170372,0.407864950269342,0.233040572647392,5.35826433607635
"GSM672670",8.748798513,7.885181041,8.837883643,11.92544981,11.68854647,0.436442140963884,0.159995927942048,5.28924210532263
"GSM672671",8.910728996,7.867135316,8.668460967,12.01652491,11.74823048,0.487288893686344,0.0318674113949795,5.16816935493937
"GSM672672",8.886296654,7.844722677,8.751308178,11.83742714,11.76055242,0.434401880874766,0.165178151330369,5.29413895463949
"GSM672674",10.160029,8.586149442,7.960021933,10.31892639,10.6414223,0.00103016064984672,3.08139644301301,8.04976727850502
"GSM672675",9.691046468,8.01508197,8.326605204,11.08555204,10.78305911,0.0323008232383217,1.8480048136511,6.88429591513625
"GSM672676",9.569909294,8.361323792,8.257919703,11.04224089,10.87084572,0.0124620384480723,2.24257743211827,7.25714025479731
"GSM672677",9.460184387,8.595686989,8.395967286,11.5304,11.18790892,0.0425335641344983,1.72201319492605,6.76524238813568
