"","acpK","codY","abrB","pksC","pksD","pksE","pksF","pksG","pksH","pksI","pksJ","pksL","pksM","pksN","pksR","pval","z","inv_cof_var"
"GSM672629",11.63750186,12.82796729,13.02025465,13.07797286,12.00912639,11.91645465,11.24960967,10.92505576,11.03410706,10.90858253,11.07978216,11.60768401,11.11582156,11.15552937,11.36371152,0.0425302230209917,1.72205008487598,19.0225907308608
"GSM672634",10.23546394,13.32523234,12.53718401,12.30338885,11.35503383,10.7748487,9.951659108,9.61657658,9.546230855,9.687145353,9.692330112,10.10077323,9.814483271,10.07542639,10.25749294,0.44201426880201,0.145864270832251,12.9233995372343
"GSM672635",10.41518587,13.23603439,12.80924201,12.28154684,11.43214164,10.70047807,10.07056989,9.571112639,9.576361338,9.707454275,9.675759108,10.00189981,9.748265056,9.909817472,10.1489197,0.460664396773081,0.0987600440844308,12.7411255423772
"GSM672636",10.37031283,12.9331223,13.36438513,12.18772082,11.21415576,10.71840037,9.980197026,9.579008178,9.55144052,9.670372119,9.606279554,9.982824907,9.636028996,9.963064312,10.22478587,0.415068374217637,0.214526186447403,13.1890929265074
"GSM672637",10.5060777,13.04114164,13.31143866,12.18154349,11.44184461,10.79800781,10.1039619,9.601017844,9.638676208,9.587906691,9.603594796,9.912310037,9.627257249,9.928841264,10.15011822,0.46535159445915,0.0869601485425393,12.6954647970935
"GSM672638",10.51293717,13.08627212,13.54736245,12.26996654,11.45190613,10.92675632,10.30923346,9.784247584,9.917216729,9.970596283,9.985307807,10.39436654,10.09603011,10.3433171,10.47263569,0.245336441545591,0.689238991830909,15.0260363479615
"GSM672639",9.438747212,13.50622305,14.27227695,11.38041859,10.14026543,9.654058736,9.2402171,8.895476208,8.886296654,8.908124535,8.935267286,9.293330483,9.151350929,9.606279554,9.900282528,0.367225739279757,0.339210076901803,13.6715683300232
"GSM672640",11.36494387,13.2139171,12.90971413,12.59049108,12.06224721,11.45741599,11.0609684,10.53548253,10.61440372,10.77076524,10.65251152,11.01554164,10.65138476,10.83366729,10.98734907,0.0664827036934498,1.50251015472094,18.1730614452141
"GSM672641",10.99658662,12.90213346,13.28071041,12.58472156,11.68967509,11.11460186,10.541771,10.10459219,9.977117472,10.16249219,10.18349442,10.59003234,10.19937509,10.42009851,10.63199814,0.294987813869563,0.538871349192821,14.4441753810545
"GSM672642",11.28562714,13.66069851,13.30781115,11.9083223,11.64603123,11.39341227,10.68777323,10.23892602,10.17127509,10.05462639,10.3865855,10.88912007,10.50820223,10.66670855,10.93586171,0.055506730779907,1.59365440588299,18.525752231468
