"","amyE","abrB","ccpA","glpD","rbsA","rbsB","rbsC","rbsD","rbsK","rbsR","pval","z","inv_cof_var"
"GSM672637",9.202943866,13.31143866,12.66205019,10.37931041,8.608751673,8.867563197,8.674690335,9.187238662,9.745832714,9.904658736,0.352325734099691,0.379049012248046,14.7288985405936
"GSM672638",9.177965799,13.54736245,12.55718141,9.224525279,8.360233086,8.425394052,8.267149814,8.981802602,9.577703346,9.743322305,0.269585350051255,0.614067535368803,15.8638436167978
"GSM672639",10.17246059,14.27227695,12.81725688,9.100802788,8.956904089,9.327350929,9.1231,9.798640892,10.1576368,10.30703643,0.175884038207707,0.931165276843733,17.3951634276091
"GSM672640",9.367478067,12.90971413,12.60212045,9.645053532,9.547546468,9.615347955,9.657711524,10.11712491,10.49665279,10.57741152,0.0365954364384,1.79163861801583,21.5505379436272
"GSM672641",9.392488104,13.28071041,12.71058885,9.59425316,9.42066803,9.75594052,9.487980669,9.889610409,10.45131152,10.59812825,0.0445764253025788,1.69988344959497,21.10743637345
"GSM672642",9.898328625,13.30781115,13.22356468,10.7252513,11.18467807,10.72997732,10.43819554,11.78586766,12.17169294,12.26726022,0.489331912075384,0.0267441185984317,13.0275573056102
"GSM672643",9.424471375,13.2749487,13.4302974,9.369944238,10.60108401,10.53672193,10.26368476,11.04117175,11.19699721,11.3258513,0.415454914645172,0.213534824638413,13.929601915906
"GSM672645",10.20304461,14.5076632,12.82640149,9.254644238,9.120642751,9.278698513,9.237713383,9.728449442,10.29861822,10.40512788,0.14643155591251,1.05186146966122,17.978026207682
"GSM672649",8.466633086,12.92150372,12.16173569,9.02775539,9.779072862,10.13419145,9.934946097,10.32126059,10.61782416,10.35518699,0.455649203447771,0.111400949829471,13.4363797783961
"GSM672654",9.550201487,14.05925799,12.34420836,9.187238662,9.940048699,10.1489197,9.791836059,10.47263569,11.00960112,10.89689591,0.270243228214728,0.612077540464924,15.8542335873931
"GSM672655",10.04283792,14.53294684,12.64033755,10.19560706,10.08225595,10.29473086,10.10699257,10.55690632,10.99780372,11.20329851,0.0143533525302276,2.18749092401045,23.4621771609404
"GSM672656",10.60397212,13.77175465,12.94628513,9.621913755,11.05060483,11.21065762,11.14255428,11.41876506,11.85551673,11.94606766,0.331373913754501,0.436122535575584,15.0045164511399
"GSM672657",8.941897026,11.81669368,13.05331524,9.777935316,8.562611152,8.795147584,8.606457249,8.901939033,9.668441264,10.00747918,0.254697186292435,0.659781008195326,16.0846018796433
"GSM672659",8.893053903,11.99250855,12.6482026,9.688352416,8.360233086,8.755100372,8.449340892,8.758811152,9.733342007,9.922989777,0.354826107797747,0.372323215593959,14.6964185058511
"GSM672666",8.864891078,13.37838364,12.30746208,8.737856134,8.131836431,8.405745725,8.262543494,8.29409368,9.11569145,9.374982156,0.0914722901684184,1.33174322432828,19.3296235846068
"GSM672667",8.778329368,13.34303457,12.39750149,9.074196283,8.262543494,8.685659851,8.397209294,8.444594424,9.338898513,9.462750186,0.0788546100456479,1.41281808236312,19.7211480896064
"GSM672668",8.822447584,12.49886208,12.3842197,8.994675465,8.488292565,8.702976208,8.447001487,8.910728996,9.437442007,9.666511896,0.051693395771269,1.62865161249416,20.7634455181207
