"","cggR","eno","gapA","pgk","pgm","tpi","pval","z","inv_cof_var"
"GSM672662",14.00300297,14.65106097,15.86194312,15.03851413,15.12307993,15.03266691,0.324116459521421,0.456218422615747,24.4983919481609
"GSM672664",14.5973803,15.27586766,16.30243048,15.6989948,15.99737658,15.89411301,0.276958009719315,0.591902291235421,25.6687099936787
"GSM672679",12.96507435,13.7109197,14.8536461,14.26004424,14.30661041,14.23797286,0.444059975182411,0.140683538192174,21.776799669079
"GSM672680",12.94970781,13.64726729,14.8030119,14.26634535,14.40126208,14.27227695,0.461801858159488,0.095895313996119,21.3904864872942
"GSM672683",14.15506134,15.19678141,16.13797361,15.35256022,15.62225242,15.68968439,0.395965519797691,0.263803886557221,22.8387532154209
"GSM672684",14.08497249,15.07704164,16.21444944,15.44358327,15.48368625,15.47494981,0.440024854535309,0.15090620068083,21.8649734992139
"GSM672685",14.22564647,14.94091933,16.22155539,15.0717881,15.1410658,15.26197249,0.36390564628411,0.34803846995772,23.5653042344414
"GSM672686",14.08497249,15.4277855,16.18018922,15.5469539,15.61343941,15.58130781,0.431136972095595,0.173480258312656,22.0596821795887
"GSM672687",14.49691561,15.3676855,16.10096283,15.85358848,15.90234647,16.20750632,0.320799802744684,0.465463449779067,24.578133351694
"GSM672688",14.25115204,15.4277855,16.28248513,15.74199963,15.73282862,15.62225242,0.395610800246091,0.264724632222251,22.8466949499696
"GSM672689",15.30855836,15.26837881,16.3629342,15.21679294,15.38340149,15.17796914,0.0565845159259823,1.58410849369007,34.2268152085454
"GSM672690",15.44358327,15.26837881,16.36637695,15.16584238,15.45858439,15.24909405,0.0478638042134535,1.66592874045542,34.9325417790828
"GSM672691",16.06489257,15.3676855,16.37624089,15.57326431,15.64881152,15.53070669,0.00798310806214542,2.40968689491371,41.3477007697463
"GSM672695",14.42564907,15.30855836,16.3698197,15.42399572,15.63036543,15.49940186,0.314771127238237,0.482371230741068,24.7239685299712
"GSM672696",14.87297918,14.89745725,16.13797361,15.11720743,15.31526691,15.25573643,0.0760002525704766,1.43250095449512,32.9191502608888
"GSM672704",14.16637026,15.1469052,16.13048996,15.62225242,15.6989948,15.61343941,0.402979909862612,0.245641424057396,22.6820959957321
"GSM672705",14.01120595,15.22313234,15.94857249,15.60525576,15.72398736,15.63961115,0.437617999751761,0.157011227608365,21.9176313667581
"GSM672706",14.11871338,15.23706097,16.30243048,15.72398736,15.48368625,15.6989948,0.476375114939908,0.0592534595012758,21.0744384266603
"GSM672707",14.6242052,15.34516989,16.33439926,15.63961115,15.61343941,15.66552974,0.194057086389977,0.86304236816168,28.0073824395487
"GSM672708",14.63629591,15.49114684,16.31574647,15.85358848,15.92557398,15.82038253,0.214831745703855,0.789767621802158,27.3753636239173
"GSM672709",14.4029803,15.4060026,16.26199628,15.84610186,15.48368625,15.68112788,0.308548593969608,0.499968599132047,24.8757516268942
"GSM672710",14.55987026,14.81200037,15.94857249,15.24909405,15.39060186,15.27586766,0.102350804671529,1.26826982421838,31.5026026833916
"GSM672711",13.98436729,14.76762156,16.11630929,15.22313234,15.32970632,15.07441487,0.455583245239333,0.111567313175211,21.5256626407693
"GSM672712",13.91054387,14.90230818,16.05834275,15.4277855,15.02109257,15.11127918,0.461605108825603,0.0963907760590294,21.3947600107351
"GSM672722",13.8692948,15.17796914,15.70693346,15.38340149,15.43592342,15.49114684,0.393912569964171,0.269135854721958,22.8847431965793
"GSM672724",13.98155204,15.25573643,15.84984517,15.59743048,15.68968439,15.63036543,0.424662025188641,0.189980960193329,22.2020061667444
"GSM672726",14.95582342,15.06617509,15.91022379,15.73282862,15.68112788,15.78401747,0.019392291191127,2.06646512233748,38.3872999634687
"GSM672727",14.72118643,15.50683643,16.39080818,15.96520669,16.21444944,16.10096283,0.273916765512379,0.601009691919091,25.7472643235065
"GSM672733",14.78927807,15.57326431,16.40455576,16.24241784,16.13048996,16.28856134,0.276083174412002,0.594517039797978,25.6912630610284
"GSM672737",14.56695242,15.32246357,16.00569294,15.51421413,15.60525576,15.53070669,0.0856127806455315,1.36827644396312,32.3651927093774
"GSM672738",13.93621227,14.96705799,15.68112788,15.38340149,15.46632379,15.49940186,0.36320732158942,0.34989880594408,23.5813502449047
"GSM672739",14.74027026,15.21045093,16.26199628,15.68112788,15.61343941,15.72398736,0.133340547073804,1.11073810762802,30.1438397549564
"GSM672744",13.76194498,14.72338401,15.68112788,15.32970632,15.30189331,15.19678141,0.431189429297649,0.173346775557314,22.05853084687
"GSM672749",14.60915242,15.27586766,15.88525911,15.6989948,15.51421413,15.67325911,0.0621434436227495,1.53702622584382,33.8207151448833
"GSM672750",14.46409554,15.26837881,16.03633346,15.64881152,15.86955019,15.6989948,0.217788044906265,0.779685374187126,27.288400918304
"GSM672751",14.74027026,15.45858439,15.94142974,15.85358848,15.67325911,15.77650855,0.0436185414965201,1.71015571143254,35.3140139670419
"GSM672755",14.28505874,15.39060186,16.09371152,15.76791375,15.6989948,15.85358848,0.341724123037948,0.407762229151662,24.0804413236318
"GSM672756",14.40126208,15.27586766,16.06489257,15.70693346,15.68112788,15.76791375,0.249996465252906,0.674500873610007,26.38114996514
"GSM672757",14.3392342,15.36026208,16.03633346,15.59743048,15.81157807,15.72398736,0.274325820902246,0.599781833652715,25.7366736416436
"GSM672770",13.98711561,15.03559052,16.16017398,15.52257435,15.58130781,15.57326431,0.493869341104131,0.0153678878198125,20.6959109200439
