"","glvR","ccpA","malA","malP","manR","pval","z","inv_cof_var"
"GSM672700",9.07303197,11.03410706,7.860385502,7.19202974,7.89425539,0.47876337941646,0.0532574791270493,10.2358679106074
"GSM672707",9.816794796,13.00110632,8.859812268,7.764849442,8.813281784,0.456087674362145,0.110295093021574,10.5133293597176
"GSM672708",9.819645353,12.77166283,8.993447584,7.752213569,8.947592565,0.46259917838117,0.0938877099342214,10.4335150761829
"GSM672709",9.808316357,12.63599665,8.771788476,7.68679368,8.96372119,0.4902431595887,0.0244592106264822,10.095777735643
"GSM672716",9.70606803,12.56473271,8.858484387,7.772373234,8.723092565,0.411251472118675,0.224326902716912,11.0680410491168
"GSM672717",9.565701487,12.53577732,8.790155019,7.740816729,8.634157249,0.369293992786038,0.333723803757025,11.6002060647658
"GSM672718",9.74521487,12.67265651,8.731679926,7.698256877,8.540665428,0.471642290642495,0.0711422015180767,10.3228687623738
"GSM672722",10.01006208,13.25369033,10.9565684,9.003201487,10.55114572,0.340146831449675,0.412062432987753,11.9812870410468
"GSM672723",11.56687732,13.04444907,11.71836989,10.71478104,11.02368327,0.00191202705873839,2.89232232017488,24.0465972018388
"GSM672725",9.83315,12.89724424,10.44045019,8.245420446,9.372447955,0.480926738644513,0.0478278042894615,10.2094550692248
"GSM672731",9.852501115,12.99944721,10.23424796,8.830134572,9.837497398,0.103325832993877,1.26282614650795,16.1198566039363
"GSM672732",11.66456952,13.12800297,11.7975223,10.98619703,10.76070037,0.00560773541338468,2.53591264109492,22.3128299685651
"GSM672741",10.11089517,12.6322829,10.46688848,9.481560223,11.20569219,0.184887357531472,0.896895437218998,14.3397739893128
"GSM672742",10.08164275,12.88436691,10.29585874,9.332309294,10.97314981,0.148581086438736,1.04253831133972,15.0482587969144
"GSM672743",9.987783271,13.2692461,10.29585874,9.03881487,10.99430186,0.30760387458807,0.502653725664554,12.421971523209
"GSM672744",9.507092565,13.07797286,9.739531599,7.911683643,9.336265056,0.411659316349068,0.223278662835949,11.062941849895
"GSM672759",9.87559145,12.53577732,9.324801487,8.098244981,8.601725651,0.380563766081397,0.304000471210614,11.4556158836975
"GSM672766",9.734589219,13.32734535,9.212445725,7.914273234,8.303515613,0.451269877344117,0.122453646106094,10.5724750624841
"GSM672767",9.480399628,13.10414349,8.455767286,7.588915242,8.484646468,0.416966975350576,0.209658842184636,10.9966877604178
"GSM672768",9.987783271,12.79829665,9.175440149,7.96097026,8.770366914,0.446208254807158,0.135247098908755,10.6347092569284
"GSM672770",9.923634944,13.25872286,9.169653903,7.89425539,8.606457249,0.469550824523933,0.0763990202609978,10.3484407392945
"GSM672778",9.943906691,12.54404182,8.940002974,7.798363941,8.715765799,0.4944556212384,0.0138981439800157,10.0444030610064
"GSM672780",9.775313755,13.39496283,9.098998885,7.770922305,8.458105948,0.480466967984283,0.048981629414275,10.2150678915239
"GSM672784",9.547546468,13.7522145,8.955711524,7.636548699,8.184210409,0.481862719961124,0.0454790918707352,10.1980296762824
"GSM672789",9.745832714,13.57092379,9.359849442,8.223567658,9.655317472,0.254901523824695,0.659144398167015,13.1832258219085
"GSM672795",10.05462639,12.52395651,9.02775539,7.999137918,8.77573197,0.451902358572652,0.120856475204289,10.5647055692912
"GSM672797",9.968082528,13.74402658,9.561814498,8.39470223,9.870642007,0.263429391288758,0.632808381759249,13.0551133575652
"GSM672798",9.934946097,13.77875762,9.487980669,8.338381041,9.768651673,0.26515333857437,0.627537936064323,13.0294750918643
"GSM672806",9.924944238,12.14111636,8.80799777,7.895319331,8.663332342,0.453596953475519,0.116578713376278,10.5438962486569
"GSM672807",10.00747918,13.65160669,9.661409665,8.53189368,10.01006208,0.225258556319934,0.754553201049369,13.6473452493895
"GSM672808",9.859710967,13.77875762,9.689711524,8.375895167,10.04345948,0.300468506439601,0.523053515064042,12.5212070055837
"GSM672816",9.943906691,12.18289145,8.924918587,7.88012342,8.649103346,0.46749900778876,0.0815582333207779,10.3735379099875
"GSM672817",9.772573978,12.29753643,8.972713011,7.775827509,8.561458364,0.45407886989828,0.115362577384582,10.5379803129869
