"","arfM","fnr","narG","narH","narI","narJ","pval","z","inv_cof_var"
"GSM672791",7.328675093,10.65717695,7.291884758,7.470616357,7.195415613,7.564085874,0.356194861773099,0.368648522096742,50.2398640861357
"GSM672792",7.32036171,10.54389442,7.257305576,7.454666543,7.304376952,7.580478067,0.280697829079999,0.580769730747152,55.7988185927124
"GSM672793",7.20119777,10.12925874,7.271315613,7.425346468,7.168089591,7.570474721,0.454572854004218,0.114116165137293,43.5694618109855
"GSM672795",7.388077695,8.715765799,7.297434572,7.375808178,7.098571004,7.575073978,0.468534911896448,0.0789532301698318,42.6479643471276
"GSM672796",7.158062082,9.476631227,7.111310409,7.330529368,6.978382528,7.341413569,0.407029901908958,0.235191885490855,46.7424327061575
"GSM672798",7.206927881,10.95058736,7.389022677,7.518624907,7.312733086,7.514108178,0.287244921663674,0.56145141352377,55.2925531076549
"GSM672799",7.411721747,11.30249071,7.337226766,7.470616357,7.215920818,7.526581784,0.217567064207049,0.780436265822592,61.0313796931888
"GSM672800",7.348572862,11.05279405,7.388077695,7.55949145,7.314204647,7.648633643,0.339478455969482,0.413886935814029,51.4254045863247
"GSM672801",7.287647584,10.93087398,7.294949814,7.486659108,7.256120446,7.591762082,0.359797108631507,0.359001165650011,49.9870406370459
"GSM672802",7.203504833,10.59812825,7.436165428,7.547315613,7.385176952,7.586030483,0.371782003410627,0.327137345441308,49.1520014249234
"GSM672804",7.293344238,11.04938625,7.404819331,7.61314684,7.423972305,7.689591822,0.415645284101111,0.213046660498238,46.1620838619514
"GSM672805",7.475986245,10.11830706,7.336424164,7.523875465,7.318360967,7.652643494,0.306161875405822,0.506759251570505,53.8592629519987
"GSM672806",7.283749814,8.7329829,7.183296468,7.369321561,7.116789405,7.444192193,0.295497892807456,0.537393567533995,54.6620811608172
"GSM672807",7.475986245,11.4657,7.373147584,7.617939777,7.337226766,7.72343197,0.419186421250207,0.203975246721695,45.9243538545892
"GSM672808",7.35901487,11.63251747,7.35522119,7.505216357,7.335327509,7.683043494,0.355539766908155,0.370406630987468,50.2859379672122
"GSM672809",7.545562825,11.84121078,7.362719331,7.591762082,7.395965799,7.715651301,0.333504929026725,0.430255411595114,51.8543650509005
"GSM672811",7.513250186,11.6089539,7.391549442,7.586930855,7.311718959,7.695330483,0.371672779407734,0.327426192130541,49.1595710857556
"GSM672813",7.470616357,11.28319888,7.479533457,7.695330483,7.416600743,7.710728625,0.293185958168391,0.54410108142474,54.8378616252418
"GSM672814",7.447595539,11.57750409,7.508754275,7.667759108,7.595456877,7.773863569,0.241242301209384,0.702312014222202,58.9840164744422
