"","yodF","tnrA","yoyD","yttA","yvgT","ywdI","ywdJ","ywdK","ywlF","ywlG","yycB","yycC","pval","z","inv_cof_var"
"GSM672759",13.04265836,10.69497435,12.95834721,11.3643277,9.833729368,12.10308439,10.46563457,10.43873606,13.3970368,12.41861375,12.34049442,12.56166506,0.18980792307597,0.878604332001773,9.93301023439309
"GSM672760",13.04265836,10.70593401,13.10592714,11.26294796,9.491711524,11.87752714,10.35757398,10.55690632,12.97032825,12.18289145,12.27877435,12.61945911,0.235288949633839,0.721539089884166,9.65813796966705
"GSM672761",13.38884164,10.39915502,13.6722223,11.32135353,9.707454275,11.60519591,10.31164684,10.45367881,13.08300781,12.51217212,12.40118662,12.53873903,0.371781896077786,0.327137629273352,8.96791509649836
"GSM672762",12.90971413,10.47263569,13.50188959,11.59458271,9.641176952,11.57750409,10.1353223,10.39915502,13.15597175,12.66787807,12.37832454,12.87048086,0.371744538003186,0.327236420942802,8.96808798700903
"GSM672763",13.17966803,10.50714535,13.43859219,11.50759814,9.61009368,11.6089539,10.10964312,10.3697052,13.04989703,12.25010112,12.21330186,12.63305613,0.353665678080664,0.375442561927829,9.05245121701211
"GSM672764",13.25369033,10.25613717,13.75453086,11.44242621,9.628471004,11.42471599,10.11830706,10.20170595,13.07957993,12.50408569,12.18563792,12.68944535,0.472998754436068,0.0677338423399689,8.51394510650211
"GSM672765",13.1395539,10.45007435,13.50188959,11.62253309,9.74697658,11.56554647,10.2773684,10.31406059,13.11192862,12.38124796,12.31592825,12.79829665,0.325947979380254,0.451129858716724,9.18490788532945
"GSM672766",12.74146729,10.53120149,12.76305799,12.12371933,10.15135502,12.02449777,10.30587918,10.41887398,13.23707546,12.35195651,12.26289851,12.33753643,0.0666626050242127,1.50111735770067,11.0224400973489
"GSM672767",12.70161301,10.09491599,13.14508736,12.2344052,9.432344238,11.53395353,10.29722862,10.24754089,12.90826059,12.25629535,12.24317175,12.50329219,0.25920378588888,0.645802032155373,9.52559421714151
"GSM672768",13.08894033,10.60271673,13.81090595,11.18912454,9.899647212,11.62494535,10.74269703,10.61555799,13.25572045,12.84223494,12.32742639,12.76305799,0.272357586539243,0.60569820969907,9.45541046194455
"GSM672769",12.66355688,10.79103494,13.35631375,11.56687732,9.290828625,11.57097435,10.46088141,10.33478216,13.41130855,12.30598216,11.36244796,12.09093494,0.344037884677437,0.401467761000823,9.09799665604555
"GSM672770",13.05163569,10.54862454,13.46987881,10.90279405,9.628471004,11.93482268,10.81962416,10.65251152,13.15971115,12.63150967,12.20240781,12.61394312,0.244803884206813,0.690932806458076,9.60457539702684
"GSM672771",13.10225725,10.68896989,13.24969777,10.97143346,9.846188848,11.90440112,10.68654312,11.06501636,13.22356468,12.69559926,12.28154684,12.44805874,0.131182599962836,1.12081833048623,10.3568972090932
"GSM672772",12.98548327,10.73581636,13.31550074,11.07273717,9.952976208,11.74586245,10.29861822,11.12221989,13.29238922,12.60530818,12.02192007,12.35933978,0.14754100541236,1.04703809026703,10.2277779880125
"GSM672773",12.72266468,10.47503271,13.12244907,11.40649405,9.931396283,11.51608104,10.29002602,10.81609888,13.30973011,12.43612565,12.06361859,12.49420967,0.119760417545161,1.17618530569588,10.4537922678708
"GSM672774",13.17780409,10.54986357,12.83257361,11.10549071,10.01256431,11.54533866,10.31645688,10.43461636,12.89544572,12.63741822,12.07722007,12.37568327,0.139302411716234,1.0834588116072,10.2915161265258
"GSM672775",13.06578587,10.44395465,12.79665613,11.5471777,10.08529814,12.40656468,10.18579145,10.3503487,13.0950171,12.32512918,12.0407881,12.52395651,0.134501277131673,1.10536248097574,10.329848676261
"GSM672776",12.89897175,9.963064312,13.48706506,11.98850669,9.800424907,11.62494535,10.21655725,10.27428959,12.90749572,12.45414126,12.30886543,12.47901264,0.247479763024637,0.682441967938917,9.58971599222335
"GSM672777",11.09843086,10.31709591,11.51118996,11.44184461,9.005653532,12.54013457,10.87328067,11.9466974,13.08473941,12.50635242,12.12079071,12.60364461,0.129547138836027,1.12853444676658,10.3704008100699
"GSM672778",12.92673643,10.68536877,13.34118773,11.58566431,9.57370223,11.52343123,10.36854833,10.24754089,12.95315316,12.28742007,12.32371208,12.80753569,0.297118784930658,0.532705338827887,9.32766917778319
"GSM672779",12.74445799,10.83579108,13.03394164,11.73466357,9.494378067,11.48383494,10.40910855,10.31343922,12.92314349,12.46005688,12.32742639,12.75389331,0.233231719604368,0.728245301489493,9.66987418543851
"GSM672780",12.84514201,10.42730372,13.37237472,11.58120632,9.425710781,11.66706952,10.36471933,10.27928476,13.00624349,12.56927323,12.43023309,12.80924201,0.350249007165284,0.384648286041431,9.06856170843232
"GSM672781",12.9007197,10.42834387,13.23109554,11.54655335,9.467850558,11.61378959,10.35757398,10.25613717,12.93810186,12.51518699,12.51075985,12.76934647,0.321463187539235,0.463611135127329,9.20675076200541
"GSM672782",12.76007472,10.60271673,13.19793569,11.61993123,9.538414498,11.56050372,9.980197026,10.15378364,13.03040297,12.2829855,12.23010929,12.7859487,0.36208994078906,0.352878030775859,9.01296212511246
"GSM672783",12.72266468,10.80762305,12.61808885,11.69607844,9.743322305,11.64603123,10.13296468,10.3697052,12.97873309,12.40504387,12.43780892,12.58323271,0.155280812032974,1.01404427949696,10.1700371195298
"GSM672784",12.81402342,10.71119851,12.33317249,11.97618699,9.749528253,12.1703171,10.19937509,10.35404907,13.12422305,12.3842197,12.51664089,12.92828178,0.184020214331478,0.90015000346529,9.97071626935266
"GSM672785",12.64107007,10.76070037,12.33601004,11.66395874,9.954214126,11.83344498,10.17617398,10.29861822,12.92828178,12.33753643,12.32875093,12.47040149,0.0750583084104805,1.43911968076687,10.9139409689817
"GSM672786",12.47040149,10.55114572,13.08807955,12.12371933,9.265559851,11.48022454,10.07806877,10.01882751,12.9736632,12.09641227,11.43636822,12.63599665,0.372391509337016,0.325525985992021,8.96509463773424
"GSM672787",12.71656803,9.916043494,12.80614647,12.43925799,9.689711524,12.02930911,9.993965056,10.28659294,12.53718401,12.1154171,12.21330186,12.60530818,0.175495978731354,0.932666943660429,10.0276225897638
"GSM672788",12.34049442,10.52022342,13.1136368,12.33601004,8.813281784,11.35399554,10.2696368,10.24892193,13.18693197,12.12968401,11.58383606,12.64979145,0.472997640194128,0.0677366417448837,8.51395000560492
"GSM672789",13.05331524,10.47872528,13.38265911,10.79103494,9.805604833,12.07172602,11.16042491,10.96359368,13.35631375,12.64979145,11.82570149,12.17742788,0.135152360757936,1.10236108746723,10.3245960830081
"GSM672790",13.0185829,10.72286952,13.39496283,11.36307974,9.942540149,12.20653755,10.32988178,10.97927509,13.56203011,12.61541041,12.07855874,12.30598216,0.182480311897594,0.905953200332682,9.98087216281505
"GSM672791",12.77328086,10.26606654,13.41130855,11.08792416,9.744597026,11.65836766,10.3503487,10.79103494,13.39100595,12.69635725,12.16591599,12.59637175,0.253453895896846,0.663660240941191,9.55684700246007
"GSM672792",12.41256617,10.24950316,13.05860929,11.21893048,9.898328625,11.59898848,10.30341896,10.61555799,13.01324461,12.50189554,12.17600892,12.56927323,0.102439964844728,1.26777047258367,10.6140710278202
"GSM672793",12.80310595,10.31281784,13.30210743,11.31787472,9.660145725,11.63374164,10.33973569,10.56290074,13.12063532,12.47473234,12.22305651,12.43471264,0.212816894220275,0.796685360184292,9.78964781375874
"GSM672794",13.03394164,10.24892193,13.41777658,11.48512491,9.790525651,11.5435829,10.25613717,10.78880818,13.59734461,12.22607175,11.89547138,12.04601524,0.248428873895788,0.679442154433419,9.58446616405707
"GSM672795",13.09419721,9.789263569,13.27671636,12.71272212,9.691046468,12.11406171,10.61725,10.32256357,13.12422305,13.22549963,12.56626989,12.79829665,0.295633473846192,0.537000964691291,9.33518674432796
"GSM672796",11.87752714,10.47734089,12.50487918,12.50924944,8.60055539,11.5375197,10.33111822,10.07056989,13.0917539,12.12215242,11.82298996,12.78678773,0.481063144047673,0.0474854981526605,8.4785094611061
"GSM672797",13.17423792,10.37568922,13.23891599,10.89479591,9.927572862,12.27877435,11.27912249,11.00363941,13.2139171,12.79665613,11.92018364,12.30338885,0.0799529750863528,1.40538794264214,10.854908689615
"GSM672798",13.23891599,10.36110929,13.69645948,10.76070037,10.02391561,12.2344052,11.35503383,11.07273717,13.51044907,12.90509033,12.18972751,12.65748922,0.166861116874001,0.966643593997975,10.0870834781193
"GSM672799",13.15146599,10.49302193,13.18883978,10.88007955,9.916043494,12.04223755,10.58636245,10.88115093,13.5191461,13.05163569,12.28023792,12.51518699,0.230110105166829,0.738484289931791,9.68779294266126
"GSM672800",12.93638178,10.228229,13.52764833,11.09029926,9.893404089,11.84500446,10.54498996,10.75712379,13.50188959,12.88597286,12.22607175,12.51368253,0.24290166079244,0.696999156662743,9.61519182238548
"GSM672801",12.52685316,10.41518587,13.25773792,11.18137621,9.577703346,11.50542677,10.52767361,10.79915911,13.51480558,12.49265874,11.61378959,12.50189554,0.221828432577642,0.766032666884588,9.73600402144896
