"","cadA","czrA","czcD","czcO","pval","z","inv_cof_var"
"GSM672774",9.020110409,11.50065985,9.017775465,8.748798513,0.43803776378718,0.155946074217897,57.2466607632596
"GSM672776",9.120642751,11.37801599,8.926239777,8.857243123,0.392123870280319,0.273787746846515,65.6591579984316
"GSM672778",8.758811152,11.17905353,8.7329829,8.669790335,0.0216248612773354,2.02129030135167,190.410106286145
"GSM672779",8.786026394,11.16154387,8.774426022,8.710594424,0.00879692039274179,2.37405686248295,215.593453178467
"GSM672780",8.779644238,11.32135353,8.732331413,8.502789963,0.430809167486225,0.174314461026441,58.5579456406259
"GSM672781",8.912573606,11.36244796,8.774426022,8.689369888,0.327315346170794,0.447338473219507,78.0486206834707
"GSM672782",9.026469888,11.30964275,8.894851301,8.790155019,0.341879533417634,0.407338939581494,75.1931285758661
"GSM672783",9.041450186,11.6522461,9.078164312,8.908124535,0.222296118410768,0.764461558037395,100.687446276581
"GSM672784",8.94377881,12.02317361,8.702976208,8.67227658,0.428353464737679,0.180567676141139,59.0043510054675
"GSM672785",8.952978439,11.56165688,8.950156134,8.710594424,0.402377701827163,0.24719746942252,63.7609276837891
"GSM672786",8.594514498,10.92615725,8.790155019,8.659134201,0.282983589719536,0.574000918924539,87.0908164578959
"GSM672788",8.735318587,11.08210335,8.833879926,8.642186617,0.264087567295996,0.630794141349218,91.1451786878842
"GSM672791",9.295815242,10.92375167,9.042649442,8.946330112,0.476153203963837,0.0598106944003842,50.3837352898086
"GSM672792",8.974035688,11.03873829,8.852436803,8.765206691,0.29533702906815,0.53785948911951,84.5107471875949
"GSM672793",8.862331599,11.19638364,8.777056877,8.729233829,0.118957377170627,1.1802149000935,130.367301989279
"GSM672794",8.935267286,11.00122007,8.71195948,8.947592565,0.385779118020076,0.290337260596032,66.8405969202976
"GSM672797",9.403698141,11.88872416,9.344704833,9.086720446,0.450252796629584,0.125022682410816,55.0390974940327
"GSM672801",8.959613011,11.02599331,9.147713011,8.938842007,0.325791923974025,0.451562975087156,78.3501999931397
"GSM672802",9.018973606,11.14584424,8.845825279,8.951537918,0.21513815256456,0.788718923616037,102.419134365446
"GSM672804",9.377654647,11.37447026,9.210145725,9.109746468,0.378445489818462,0.309566046528065,68.2133040864521
"GSM672807",9.61657658,11.55308104,9.474102974,9.446973978,0.20706026974565,0.816663877994329,104.414072541393
"GSM672808",9.559210037,11.85551673,9.567028625,9.455064684,0.0682366083964645,1.48905374462714,152.414731118539
"GSM672809",9.794347955,11.42728327,9.897079554,9.61657658,0.375113959438776,0.318338848631603,68.8395780674173
"GSM672811",9.157205948,11.1493119,9.26206171,9.091635688,0.198123329547769,0.848343570642715,106.675626717186
"GSM672813",9.429528625,11.20453309,9.548863197,9.304019331,0.332635454832981,0.432647453300905,76.9998561701174
"GSM672815",9.441220446,11.1661171,9.524164684,9.310286617,0.281491385568145,0.578416774999424,87.4060561875454
"GSM672816",10.33848885,11.50542677,10.2729855,10.01006208,0.429905409462476,0.176614989930102,58.72217610859
"GSM672817",9.799172862,11.57041264,9.646335316,9.39121487,0.497073714516748,0.00733517570937863,46.637605876884
