"","kipR","tnrA","pucR","pxpA","pxpB","pxpC","ycsG","ycsI","yfiR","yfiS","pval","z","inv_cof_var"
"GSM672675",8.9057171,12.89897175,8.679409665,8.572614126,9.398832714,9.216812082,9.096666171,9.555390335,10.63889424,8.179828996,0.407630197221952,0.233645251263789,12.915572667489
"GSM672698",8.487209294,11.30368922,7.941649071,9.1897829,8.467777323,8.34812974,8.615913383,8.560181041,10.00393271,8.200952045,0.297212841270418,0.532433652653059,14.147853862557
"GSM672699",8.159125279,11.1661171,7.930322305,8.865524721,8.260122677,7.896279926,8.110748699,8.191898141,9.83625948,7.969496654,0.365797348031673,0.343005003428356,13.3666007712008
"GSM672700",8.090775465,10.94614238,7.986987732,9.042649442,8.268950558,8.018659851,8.169930112,8.260122677,9.794347955,7.951738662,0.346472768635437,0.394860913687495,13.5804680524217
"GSM672722",9.870642007,9.632133457,8.922488848,10.0326223,10.17371152,9.868152788,9.874990335,10.07917026,10.38173197,9.129148699,0.0197245590366106,2.05947123257857,20.4457546015242
"GSM672724",9.793719145,9.735805576,8.917146097,9.604932714,9.860341264,9.546230855,9.437442007,9.697269517,10.61900669,9.123763197,0.0270404033800864,1.9261887761991,19.8960630342973
"GSM672725",9.74697658,9.986601859,8.814584758,9.917216729,10.1033316,9.713857993,9.652842007,10.01761338,10.98734907,9.037702974,0.188184427761144,0.884606581919308,15.6003067560728
"GSM672726",10.03614498,9.890813011,8.844527881,10.27670223,10.19937509,9.852501115,10.02391561,10.26107435,10.36471933,9.270202602,0.0390741962520764,1.76153205486606,19.2169758261031
"GSM672727",9.975315242,10.1897539,8.871863197,10.13419145,10.07806877,9.788014126,10.00068439,10.10699257,11.00363941,9.017775465,0.187647345686345,0.886599261946233,15.6085250875527
"GSM672728",10.43258309,10.71478104,8.687437732,10.32731338,10.69023643,10.39627993,10.32256357,10.76070037,11.49942454,9.727094424,0.364835880109826,0.345562196741251,13.3771473025152
"GSM672729",10.08788327,11.12277175,8.581058364,10.0742026,10.27073271,9.952976208,10.15506803,10.22599703,11.16154387,9.525447955,0.25973319579962,0.64416816577515,14.6086760990301
"GSM672730",10.41638848,11.08324498,8.837883643,10.72286952,10.80887472,10.41393086,10.85440372,10.91329926,11.25685576,9.630351487,0.318146974565251,0.472886791178039,13.9022670951999
"GSM672731",9.638676208,9.34135316,8.675730855,9.830095911,10.04345948,9.740756506,9.815632714,10.05959888,10.85080967,8.921799628,0.21136036274715,0.801710007613571,15.2584196909205
"GSM672733",9.89214461,10.25863271,8.672866357,10.01376952,9.989074349,9.471579554,9.876702974,9.964272119,11.07624796,8.932741636,0.306488215675529,0.50582938031995,14.0381309136335
"GSM672734",10.49665279,10.34576506,8.737856134,10.3081487,10.75057435,10.43819554,10.49189926,10.83819963,11.27385204,9.730959851,0.298762989576477,0.527961613437353,14.1294100079645
"GSM672735",9.928207063,10.66206617,8.647807807,10.31040186,10.45007435,10.09834833,10.19755,10.45615651,11.13121933,9.7712,0.226576020683052,0.750170470257433,15.0458572139596
"GSM672736",10.24398885,10.52824498,8.871863197,10.57109665,10.61201561,10.33233123,10.49189926,10.6261316,11.0006961,9.693599628,0.150512110681335,1.03423948071614,16.2174318067558
"GSM672737",9.860341264,9.591734201,9.048547212,9.586639777,9.923634944,9.651572119,9.627257249,9.738382528,10.41887398,9.279881413,0.000867110271933176,3.13233469488458,24.870522977164
"GSM672738",9.853855762,9.778504089,8.864891078,9.815057993,10.05217361,9.752057249,9.788014126,9.865482528,10.3503487,9.385126394,0.00292804318700634,2.75573252478433,23.3173175311744
"GSM672739",10.20170595,9.930198141,8.942527509,10.02391561,10.47153086,10.25133606,9.911007435,10.27670223,10.53447063,9.278698513,0.0564262523912753,1.58550119871494,18.4909787232097
"GSM672740",10.16996877,9.475285502,8.853779182,10.05462639,10.36471933,10.160029,9.980197026,10.15257063,10.59470558,9.034102602,0.11629839029114,1.19369631987409,16.8750733464061
"GSM672741",9.638676208,9.890813011,8.640388476,9.311478439,9.674375465,9.434879926,9.333706691,9.396359108,10.44687732,8.735318587,0.082205237037978,1.39039002422483,17.6862894174875
"GSM672742",9.520383643,9.750860223,8.729819703,9.232905204,9.414117472,9.290828625,9.004359108,9.227456877,10.3979829,8.780972862,0.0489816037043476,1.65480919899255,18.7768229695484
"GSM672743",9.226846097,8.9676171,8.34082119,8.787394052,9.173247955,8.979176952,8.493020818,8.631756506,9.880541264,7.913758364,0.203014009359633,0.830903725794531,15.3788221890136
"GSM672744",8.691113383,9.617849071,8.437373606,8.764030483,8.884842007,8.640388476,8.438575465,8.631756506,9.730392007,8.269560223,0.017480179187002,2.10881725789016,20.6492704634522
"GSM672745",8.825094796,9.623286617,8.484646468,10.09716097,9.264464312,8.856034201,9.381207807,8.988936989,10.6097052,8.836514498,0.350341844489867,0.384397721567304,13.537315122689
"GSM672746",9.074196283,9.293330483,8.321933829,8.686794052,9.057098141,8.986883643,8.659134201,8.946330112,9.876702974,7.558524535,0.309936551445145,0.496030201512783,13.9977165477644
"GSM672747",8.946330112,8.998344981,8.12430632,8.481003346,9.017198327,8.823742007,8.477389963,8.622026766,9.883156134,7.787331599,0.262774679775907,0.634814570048691,14.5700994338503
"GSM672748",9.035899628,9.378848327,8.142903532,8.112798513,8.873246097,8.646530112,8.094953903,8.281063941,9.808316357,7.683043494,0.377456914621845,0.312166711505183,13.2394156226199
"GSM672749",9.580311896,10.04591561,8.579858364,9.06572974,9.484755948,9.232905204,8.949533271,9.469037546,10.10699257,8.339630112,0.107820102441845,1.2382046039298,17.0586371032708
"GSM672750",9.485410037,9.898328625,8.476170632,9.081620818,9.579008178,9.348395911,9.10020223,9.231700743,9.921168401,8.665937918,0.0180971310374635,2.09473830563373,20.5912051970924
"GSM672751",9.210145725,9.841120818,8.639073606,8.974035688,9.108434572,9.212445725,9.134895911,9.137415985,9.723099628,8.548211524,0.00022378584719099,3.51031763708578,26.4294230869583
"GSM672752",9.316182528,9.61009368,8.760095167,9.112163197,9.25350855,9.219752416,9.257236803,9.166081041,9.74697658,8.788727138,1.3213657876802e-06,4.69679677198346,31.3227720907241
"GSM672753",9.281081041,9.866851301,8.566478067,9.003201487,9.376255762,9.162560223,9.079373606,9.25350855,9.90340855,8.790155019,0.00145819502693939,2.97641595626864,24.2274734857454
"GSM672754",9.272632342,9.636028996,8.792524907,9.030392193,9.241455019,9.06572974,8.908124535,9.127955762,9.932549814,8.874475465,0.000135957018736651,3.64068462964836,26.9670905219908
"GSM672755",10.02328048,10.17684572,8.62690223,9.890813011,10.17489219,9.900917844,9.648879926,10.19997732,10.0087881,8.550012825,0.212632411435609,0.79732066289217,15.2403168899627
"GSM672756",9.917216729,9.83625948,8.629306691,9.733342007,9.981542379,9.775937732,9.552804833,9.961820446,10.05462639,8.768963569,0.0703885347358042,1.47290345817608,18.0265963120183
"GSM672757",9.846188848,10.0326223,8.70175539,9.651572119,10.01624201,9.696065428,9.59425316,9.927572862,10.05097732,8.84304052,0.0336162140939273,1.83011711517599,19.4998384797053
"GSM672777",9.1231,10.31709591,8.334871375,9.02908513,9.409023792,9.183775093,9.06446803,9.389882528,10.32496394,8.579858364,0.144314046408383,1.06113601464349,16.3283601186215
"GSM672816",9.968082528,10.09491599,8.521008922,10.11462639,10.36410967,9.833729368,10.07056989,10.39915502,10.49665279,8.374791822,0.461546307179716,0.0965388573091358,12.3501101856513
