"","cheA","swrA","codY","degU","spo0A","cheB","cheC","cheD","cheW","cheY","flgB","flgC","flgD","flgE","flhA","flhB","flhF","flhG","fliE","fliF","fliG","fliH","fliI","fliJ","fliK","fliL","fliM","fliP","fliQ","fliR","fliY","fliZ","swrB","swrD","ylxF","pval","z","inv_cof_var"
"GSM672652",13.85909405,13.59734461,13.54925019,12.89221561,12.57725279,13.01324461,13.64726729,13.58394275,13.9974171,14.41536729,13.39879777,13.47410706,14.24448885,14.1621303,12.89897175,13.11699257,13.18357249,13.1468632,13.87799814,13.81818216,14.12469963,14.34591822,13.93093309,14.43247509,14.18951673,14.75366506,14.27576691,14.03156208,13.23891599,13.28548736,14.13993457,14.13440409,14.02572788,14.71080558,13.57540669,0.133991767577765,1.10771820370305,27.4105745472505
"GSM672653",13.61981078,14.11328476,13.59952639,12.84824535,12.83418104,13.04444907,13.33519294,13.56203011,13.72863755,14.26317249,13.47612974,13.40275985,14.01692193,13.9789632,12.75389331,13.06405353,13.1395539,12.82796729,13.99217212,13.75453086,13.77175465,14.16068439,13.55136803,14.38725613,14.03156208,14.55173829,14.22852825,13.87172416,12.94794461,13.00110632,14.02859517,13.90929963,13.92297026,14.42564907,13.53453569,0.126343188389436,1.14384872966748,27.659836914193
"GSM672654",13.14049257,13.38884164,12.90673086,13.14508736,13.16865353,13.10047026,12.50487918,12.92503755,13.08980112,14.16357621,13.65274554,13.59271896,14.28505874,13.98711561,12.69237249,12.9736632,12.98548327,12.74293383,14.17215799,13.98971487,13.81311004,14.03726022,13.64726729,14.78475056,14.1456342,14.5149171,13.85627844,13.76919963,12.80310595,12.82326543,13.62670483,13.78598662,13.41884833,14.3392342,13.70401115,0.341454889829993,0.408495709736355,22.5866798152136
"GSM672655",13.28255242,13.46569219,12.97704498,13.25970781,13.18357249,13.13379517,12.72266468,13.0743855,13.15065688,14.15158996,13.61520669,13.79859108,14.31970743,14.07896877,12.83418104,13.14508736,13.04813494,13.03570706,14.20612584,14.13440409,13.75962305,14.30661041,13.78374796,14.76762156,14.3805052,14.46736729,13.99478104,13.97082379,13.04989703,13.09676506,13.64514461,13.96540669,13.48236691,14.54011041,13.81311004,0.260300020108268,0.642420734969476,24.2005147628167
"GSM672656",13.02196208,13.32734535,12.90673086,13.25572045,13.38685874,13.02854461,12.57880929,12.75695279,12.77884796,13.87415316,13.56877881,13.63389182,14.04280037,13.90805539,12.988971,12.68798067,12.91056896,12.69559926,13.88212491,13.98155204,13.96283048,13.90293309,13.80583271,14.00014721,14.10461152,14.00590855,14.09040223,13.53679182,12.76600149,12.76756729,13.93337732,13.75962305,13.33719963,13.83859442,13.76680818,0.210948939047938,0.80313297868898,25.3092590502814
"GSM672657",12.41414164,12.80753569,13.55989331,13.24606989,12.35341599,12.3790316,11.85276729,12.4280842,12.35006059,13.3702461,12.61945911,12.28154684,13.33719963,13.06405353,11.909021,12.10581004,12.2163461,12.24467361,12.86961896,12.73823494,12.72717732,12.88830204,12.56927323,13.77427435,13.4450803,13.67681933,13.0950171,12.99767955,12.39750149,12.52835316,13.08133792,13.24788216,12.67092974,13.29824572,12.81725688,0.204483909631306,0.825711408162793,25.4650263031031
"GSM672658",12.59350818,13.00986097,13.25572045,13.44939033,12.71507175,12.49129033,12.22607175,12.48971413,12.63741822,13.46987881,13.15227509,12.82026617,13.44724164,13.41130855,12.13914164,12.2903119,12.47327881,12.45691115,13.24969777,12.98724424,13.0917539,13.09848885,12.59637175,13.80104535,13.34118773,13.85909405,13.29824572,13.24083643,12.60530818,12.70161301,13.25168253,13.26739145,12.98028141,13.79092788,12.84668736,0.137153041333003,1.09319980496404,27.3104129709297
"GSM672659",12.86331896,13.99478104,13.3702461,13.27106394,12.59782974,12.75841524,12.41861375,12.87633978,12.89065985,13.64726729,13.12800297,12.99247212,13.68668848,13.40275985,12.40194684,12.54480855,12.65458104,12.66638996,13.24788216,13.36832156,13.25572045,13.27297993,13.00295056,13.99217212,13.58822193,13.91831896,13.51044907,13.30210743,12.55561822,12.75389331,13.4367223,13.5255539,12.92992751,13.7730145,13.18357249,0.0742025045905287,1.44518827394628,29.7387606512634
"GSM672660",11.91107807,13.43237621,13.78840558,12.98548327,12.3683684,11.92807175,11.27143494,11.70353494,11.83344498,13.03394164,12.74905093,12.54480855,13.16149219,12.88900186,11.68967509,12.00166803,11.95618216,11.96003271,13.01151115,13.17966803,13.0419,13.10802045,12.74756208,13.88738959,13.16865353,13.49977695,12.93810186,12.85326877,12.08541747,12.20520706,12.64499628,12.99432751,12.09093494,13.20863941,12.88436691,0.489342805818976,0.026716802275473,19.9528096574393
"GSM672661",12.04992751,14.31970743,13.64935428,13.4450803,12.80310595,12.05809554,11.53860669,12.12597342,11.97097658,13.10414349,13.13379517,13.04114164,13.25168253,13.08807955,11.84240669,12.18015093,12.17309703,12.03291822,13.25970781,13.28852007,13.32130186,13.25773792,12.97032825,13.77427435,13.24969777,13.47612974,13.06578587,12.97208327,12.30054126,12.37973866,12.84362528,13.20315836,12.1883777,13.38884164,13.01608216,0.405894895755385,0.238117719847955,21.4112521152048
"GSM672666",12.94290967,12.60212045,12.25148216,13.55136803,13.00295056,12.90826059,12.45691115,12.95655428,12.94882621,13.76919963,13.56877881,13.31550074,14.04813494,13.81582714,12.52980595,12.74445799,12.86480892,12.78437825,13.79624275,13.83859442,13.94393941,13.88999294,13.4593829,14.58155874,14.01254758,14.30661041,13.78122565,13.40705576,12.86008625,12.90509033,13.54925019,13.86400483,13.1633513,14.13691599,13.67681933,0.266930404031497,0.622123280305882,24.060483820634
"GSM672667",12.84362528,12.77709554,12.43328327,13.50399368,12.87794796,12.79503234,12.35640037,12.75841524,12.70469665,13.6940316,13.23309777,13.01324461,13.93337732,13.61520669,12.37973866,12.61107732,12.77884796,12.58011896,13.46569219,13.47812268,13.40705576,13.66754238,13.29824572,14.43607286,13.79092788,14.12469963,13.49777063,13.3970368,12.78510967,12.82172268,13.36438513,13.63389182,13.03570706,13.94912751,13.49133829,0.221828432201499,0.766032668148937,25.0533061967686
"GSM672668",12.48971413,12.5479145,12.38563941,13.57313309,12.91651264,12.33601004,12.01111041,12.48132082,12.48132082,13.49977695,13.04265836,13.02196208,13.55989331,13.34708364,11.97618699,12.2163461,12.32160558,12.3046145,13.31923978,13.24969777,13.32734535,13.34118773,12.97032825,13.9789632,13.45520892,13.7497,13.19436877,13.22730074,12.46166171,12.41698625,13.09848885,13.35250967,12.60816022,13.66527955,13.21581859,0.290836062775947,0.550943909820108,23.5694215432062
"GSM672669",12.61667063,12.65458104,12.55260149,13.72863755,12.98724424,12.51368253,12.13522082,12.54480855,12.70469665,13.72260762,13.1395539,12.88436691,13.61520669,13.48023494,12.12079071,12.34349182,12.48208364,12.25706059,13.36020558,13.33925093,13.28644796,13.47612974,13.08807955,14.10461152,13.4593829,13.85909405,13.30108123,13.16865353,12.30598216,12.36369665,13.18883978,13.42922621,12.81155353,13.58394275,13.2904829,0.279881814712446,0.58319263379155,23.7919035872238
"GSM672670",12.22743866,12.51217212,12.21777212,13.81582714,12.9331223,12.09156468,11.93357212,12.39912119,12.34201004,13.33340483,13.1395539,12.95128178,13.46367286,13.28644796,11.80186599,12.02192007,12.05809554,11.93608848,13.33719963,13.17966803,13.24606989,13.51256134,12.98202045,13.94646394,13.30389257,13.77427435,13.12513755,12.74146729,12.19816729,12.09768922,12.94970781,13.05163569,12.60967212,13.54736245,13.00624349,0.435323750189597,0.162836079076403,20.8918885171076
"GSM672671",12.3463026,12.46005688,12.36989182,13.6081974,12.81874535,12.03426766,11.98183086,12.37973866,12.52544535,13.27671636,13.17256729,12.90673086,13.54336506,13.45721859,11.93222788,12.10308439,12.13241078,11.92217807,13.37838364,13.30973011,13.46152045,13.51044907,13.01521004,14.10146097,13.41469164,13.84591078,13.18357249,12.95834721,12.16733941,12.18563792,12.98028141,12.99247212,12.65748922,13.38685874,13.10592714,0.442397276741543,0.144894013004609,20.7681072618528
"GSM672673",12.35933978,12.58745911,12.32875093,13.6106,12.97704498,12.25424572,11.98045539,12.41567323,12.42288327,13.37237472,13.16865353,12.98724424,13.59271896,13.41359628,11.88511933,12.16591599,12.14592454,11.99779554,13.2291658,13.35045167,13.33340483,13.50943309,13.06315056,14.09866691,13.40184461,14.05076654,13.30781115,12.88678755,12.21173457,12.19392119,13.11699257,13.0917539,12.61245019,13.6561342,13.18522751,0.455825060132903,0.110957409682541,20.5339806377795
