"","acpA","comA","fapR","fabD","fabG","plsX","pval","z","inv_cof_var"
"GSM672719",15.17796914,11.42792323,14.07336952,13.57750632,13.6246145,13.75453086,0.402948275309921,0.245723149746889,21.1444154565497
"GSM672720",14.86847249,11.30964275,13.78122565,13.10802045,13.36020558,13.43859219,0.481529878283144,0.0463142814587132,19.8656089757644
"GSM672721",14.98879926,11.46338662,13.89762082,13.33142937,13.36649851,13.65160669,0.447792442749378,0.131240718884551,20.4102411152599
"GSM672724",15.56470372,12.35640037,13.99217212,13.96540669,13.94112825,14.12176357,0.446860796380947,0.133596574876852,20.4253491891215
"GSM672726",16.0724342,12.33152714,14.27227695,14.43977026,14.52939071,14.6242052,0.456996076032698,0.10800446286675,20.2612273073995
"GSM672729",15.00514164,12.97545799,13.7497,13.45621375,13.53453569,13.7086368,0.358641282001831,0.362092960428445,21.8906935400915
"GSM672730",15.05480706,12.87304684,13.81582714,13.45520892,13.60378104,13.65857993,0.384237731551482,0.29436964045948,21.4563847692727
"GSM672731",15.35256022,12.45247361,13.78374796,14.07618625,14.04280037,14.02274981,0.304743042223327,0.510807175135595,22.8443958662968
"GSM672734",14.75811599,12.55260149,13.31737249,13.42404535,13.43859219,13.37626729,0.337980988413482,0.417979676144873,22.249094321669
"GSM672735",14.8169052,13.03570706,13.56877881,13.27106394,13.49568401,13.52142082,0.334623509867744,0.427181658193508,22.3081065129566
"GSM672737",15.75092528,12.18972751,14.07067323,14.16637026,14.03726022,14.23157435,0.486754203232147,0.0332083913759377,19.7815610729896
"GSM672740",15.89411301,11.8064539,14.9261052,14.89277844,14.78927807,14.97813903,0.0152616110785382,2.16323353547678,33.4413846399904
"GSM672741",16.11630929,11.77836766,14.81200037,14.97281599,14.92148885,15.00514164,0.0874927284376886,1.35635747428115,28.266898945822
"GSM672742",15.83757435,11.68854647,15.11127918,15.00514164,14.87743532,15.24909405,0.000476421672845228,3.30409265620036,40.757699354419
"GSM672746",16.16017398,10.80995428,14.89277844,14.70484052,14.71080558,14.78927807,0.239579513837955,0.707655806804761,24.1067835829176
"GSM672747",15.92557398,10.91637751,15.02109257,14.73161599,14.73557435,14.87297918,0.0497373274623532,1.64740584421317,30.133388359689
"GSM672748",15.91765762,10.83366729,15.01087881,14.82635502,14.8169052,14.9261052,0.0216245305875319,2.02129669418609,32.5311455214252
"GSM672750",15.49114684,11.76959033,14.02572788,13.98436729,13.82289926,14.05076654,0.422607930195722,0.195226211036174,20.8205792448635
"GSM672751",15.22313234,11.83742714,14.23481264,14.21067918,14.19217844,14.27227695,0.0233257877442551,1.98944981836602,32.3269119206777
"GSM672755",15.79347546,12.233029,14.54011041,14.47120892,14.43977026,14.47804424,0.194341837022167,0.862006985068027,25.0966356831494
"GSM672756",15.73282862,12.16308104,14.37000297,14.32986134,14.34210483,14.27893866,0.282400053868088,0.575726430119238,23.2607222048068
"GSM672757",15.68112788,12.00305651,14.27576691,14.34210483,14.39110335,14.41869665,0.216936730133605,0.782580561157301,24.5872750588473
"GSM672759",15.53897138,12.51664089,14.34210483,13.94912751,14.04813494,13.88738959,0.41539213605967,0.213695818833216,20.9390245996322
"GSM672760",15.91022379,12.68944535,14.90230818,14.22564647,14.36693011,14.62074498,0.345577126749702,0.3972891418184,22.1164061939305
"GSM672761",15.72398736,12.49575204,14.6970013,14.04813494,14.16357621,14.09313569,0.441000419836159,0.148433277023953,20.5204967671709
"GSM672766",15.6989948,12.23010929,14.87297918,14.34591822,14.50030743,14.42564907,0.140772400724554,1.07685555518848,26.4744567711285
"GSM672767",16.04441561,11.97911264,14.60551747,14.50030743,14.52588253,14.55987026,0.343878390904982,0.401901142593574,22.1459828949635
"GSM672768",15.50683643,12.42150967,13.98711561,13.9254487,13.93980762,14.01388922,0.430263911953112,0.175702305565159,20.6953726928134
"GSM672770",15.58944684,12.60212045,14.70104777,14.20152714,14.17513717,14.29121375,0.222813994080773,0.762724043815587,24.4599354711931
"GSM672771",15.66552974,12.56771524,14.31640743,14.2077948,14.22564647,14.05076654,0.359019555469116,0.361080712829405,21.8842020093941
"GSM672776",15.4060026,12.11942565,14.52209926,14.41869665,14.54790446,14.36693011,0.0110150053675487,2.28985004837938,34.2533746917081
"GSM672777",15.83757435,12.39295911,14.77223197,14.30992379,14.30353717,14.57414535,0.280991596313284,0.579898314225625,23.2874764433626
"GSM672778",15.28264684,12.233029,13.91563829,13.64935428,13.74509665,13.79092788,0.431591026007217,0.172324973500111,20.6737139061725
"GSM672779",15.30189331,12.34349182,13.85341561,13.73590855,13.84343978,13.83099145,0.400511657088094,0.252022963606673,21.1848160809592
"GSM672780",15.45057695,12.52257955,14.5931777,14.09040223,14.09313569,14.22852825,0.188399611352207,0.883809193502208,25.2364529624931
"GSM672781",15.73282862,12.51664089,14.62074498,14.3392342,14.45737881,14.40469851,0.184270788907365,0.899208567311162,25.3352089465975
"GSM672782",15.73282862,12.35933978,14.6242052,14.13691599,14.22263903,14.177971,0.373741775677361,0.321959269172306,21.6333166996492
"GSM672787",15.10096468,12.06073494,14.31325613,14.09040223,14.40846283,14.16637026,0.00565303636919736,2.53309369596953,35.8132930424738
"GSM672788",15.82913494,11.99971729,14.35627175,14.32280074,14.41200297,14.47120892,0.311108721537571,0.492710095835667,22.7283395319386
"GSM672795",15.94857249,12.31733383,14.66993086,14.25402268,14.41869665,14.3805052,0.400208808040386,0.252806666248914,21.1898419558188
"GSM672796",15.55620743,12.26005576,14.63629591,14.41536729,14.50400372,14.5931777,0.0282516352061034,1.90713374522562,31.7990200134201
"GSM672806",15.73282862,12.13241078,14.3002197,14.11029777,14.1456342,14.33275836,0.394378505487754,0.267925050389883,21.2867959568341
"GSM672813",15.41281338,12.33753643,14.00590855,13.74743383,13.81818216,13.78374796,0.478862733181566,0.0530080843857258,19.9085362469417
