"","nadA","nadR","nadB","nadC","niaP","nifS","pval","z","inv_cof_var"
"GSM672784",14.58543234,13.51702342,14.5973803,14.67824238,11.66456952,13.3970368,0.377262928604036,0.312677281826664,11.7776568173135
"GSM672785",14.49293792,13.32318773,14.63204387,14.71898885,11.50417435,13.07284758,0.450133153233187,0.12532494266058,10.8675377694516
"GSM672787",11.93482268,11.42471599,11.61880967,11.8217948,9.833729368,10.1452829,0.338091093114122,0.417678510373381,12.2877311434449
"GSM672788",13.72369888,12.39295911,13.85909405,14.04552862,11.09843086,12.49886208,0.416052461244835,0.212002706942644,11.2886004828948
"GSM672789",14.26004424,12.80753569,14.49691561,14.65334089,11.82700706,12.88760223,0.376983980848771,0.313411613996589,11.7812240516394
"GSM672790",14.31325613,13.08807955,14.57414535,14.65737807,11.71712751,13.18788587,0.369959783618424,0.331959862302237,11.8713276188678
"GSM672791",14.17215799,12.89065985,14.43977026,14.54790446,11.93357212,12.97873309,0.298195465489001,0.529597640000557,12.8314112071537
"GSM672792",14.19849442,12.89381004,14.21655688,14.48754907,11.99907435,12.82172268,0.259413258105276,0.645155352514476,13.3927667565661
"GSM672793",13.94112825,12.6482026,13.82056989,14.04552862,11.5435829,12.34049442,0.310081879773597,0.495618270911378,12.666346435718
"GSM672794",12.45543494,11.93752491,13.06405353,13.17062045,11.15301375,11.77196952,0.135083537348612,1.10267788316479,15.6153169089914
"GSM672795",13.17780409,13.21777212,13.80827249,13.66069851,10.98036283,12.76461152,0.315655460669696,0.479882534021998,12.5899054692539
"GSM672797",14.28199294,13.07797286,14.46736729,14.64045799,11.68098401,12.95834721,0.380026682122839,0.305410712064101,11.7423573191436
"GSM672798",14.30507379,12.94134015,14.56695242,14.61673569,12.07855874,12.90213346,0.3067013060359,0.505222438419852,12.7130015019276
"GSM672799",14.2572026,13.23707546,14.57775836,14.62074498,11.77082305,13.0950171,0.341360086370107,0.408754038121082,12.2443778966955
"GSM672800",14.18951673,12.92992751,14.39110335,14.46736729,11.92944684,12.78364684,0.298335624610354,0.52919346549788,12.8294478107254
"GSM672801",14.24448885,12.65458104,14.33275836,14.26004424,11.70220223,12.85326877,0.349340448538823,0.387101729780397,12.139195445605
"GSM672802",13.93621227,12.41094461,14.01692193,14.21381301,11.51852045,12.57407212,0.364842372877082,0.345544920521213,11.9373210316345
"GSM672803",13.64276654,12.50036468,13.95159331,13.88738959,11.65530799,12.41175539,0.239524556368102,0.707832771302357,13.6972407383886
"GSM672804",14.45389294,13.18357249,14.6741539,14.90736059,12.15180074,13.00465167,0.328749027095177,0.443370106949593,12.4125356242326
"GSM672805",14.37361413,13.15779442,14.54011041,14.7149948,12.14811431,13.10414349,0.262088505357796,0.6369199138675,13.3527606930524
"GSM672806",13.94393941,12.90213346,14.30661041,14.35627175,11.13061617,12.70845056,0.468709062077,0.078515345257442,10.6401463933473
"GSM672807",14.22852825,12.91991375,14.44320929,14.56330743,11.85025242,12.8679223,0.337297467932839,0.419850136994151,12.2982804579675
"GSM672808",14.16357621,13.00465167,14.31640743,14.40126208,11.47546394,12.92673643,0.381031878662955,0.302771824025644,11.7295381449627
"GSM672809",14.02572788,13.21777212,14.07067323,14.22263903,11.48142862,12.89065985,0.30368620140797,0.513827781239619,12.7548044836705
"GSM672810",14.21381301,13.20139963,14.37361413,14.53674944,11.55433086,12.81230186,0.3884129870973,0.283457737531508,11.6357142936641
"GSM672811",14.04023532,12.88597286,14.15794052,14.30353717,11.91770855,12.74062082,0.233296775121688,0.728032731187702,13.7953679800315
"GSM672812",13.68413234,12.24467361,13.73822305,13.93848699,11.34937286,12.20653755,0.35666646783309,0.367383556111324,12.0434086220983
"GSM672813",14.06484089,12.87304684,14.26946022,14.34949888,11.78084387,12.80753569,0.291448129912571,0.549159114652313,12.9264368191321
"GSM672814",14.70484052,13.61981078,14.90736059,15.01087881,12.25424572,13.45721859,0.289091325916991,0.556041256018067,12.9598688433861
"GSM672815",14.33589145,12.78829182,14.45026283,14.53674944,11.71356952,12.9007197,0.390875733180226,0.27703729867667,11.604525125045
"GSM672817",14.28505874,13.02196208,14.46059071,14.43607286,11.35290967,13.26519851,0.427592125150654,0.182507778774243,11.1453202011493
