"","yclH","yclJ","yclI","yfjR","yngA","yngB","yngC","pval","z","inv_cof_var"
"GSM672766",8.102525651,10.47985502,7.693285502,10.78990446,7.604586617,8.633024164,11.43697807,0.438760766230121,0.154111865847114,5.45810353425094
"GSM672769",7.782479554,10.59128327,7.59084052,9.750860223,7.929290335,8.913276952,11.37447026,0.180426963690735,0.913739149586967,6.0626185520415
"GSM672771",7.745915242,10.47734089,7.497289219,10.26606654,8.123189219,8.934030483,11.69346877,0.411378707086887,0.223999857425101,5.5137207314955
"GSM672772",7.690520446,10.52265576,7.470616357,10.34454164,8.204286617,9.036495167,11.7060368,0.434940928309717,0.163808555154281,5.46582020587991
"GSM672773",7.773342937,10.50502379,7.564085874,9.938826022,8.092948327,9.132736059,11.71712751,0.333316711064363,0.430773015585157,5.678271797603
"GSM672777",7.617939777,11.73973234,7.667759108,10.50016952,9.620627138,10.1353223,11.51739071,0.187341447697085,0.887735778634543,6.04192494533411
"GSM672782",7.629038662,10.33848885,7.435354647,10.35757398,7.829994238,8.755100372,11.3149829,0.4002044438508,0.25281796088665,5.53665431576723
"GSM672783",7.693285502,10.41393086,7.501630112,10.32126059,7.859383271,8.779644238,11.21893048,0.294813573851078,0.539376420482818,5.7646989055402
"GSM672784",7.739739777,10.40392714,7.652643494,10.4475026,7.66687881,8.476170632,10.82065651,0.189122600315255,0.881134177360724,6.03667135953366
"GSM672785",7.541598513,10.28889442,7.544337732,10.4894658,7.619773234,8.530658364,11.26113309,0.483573761479612,0.0411861149329957,5.36823668272505
"GSM672786",7.685833086,10.53672193,7.388077695,10.07917026,7.87060948,8.886296654,10.9565684,0.164703042980328,0.975310858319121,6.11161761170714
"GSM672787",7.72343197,10.33973569,7.295504833,10.65969257,7.65925316,8.64275539,11.15677881,0.496729957140579,0.00819687367935448,5.34198368709124
"GSM672788",7.634766543,10.25501375,7.536569888,10.56290074,7.813247212,8.727344796,11.1778052,0.366607373795314,0.340852337401002,5.60671249274943
"GSM672789",7.560428996,10.160029,7.352536803,10.03374424,7.891243123,8.415459851,11.34829926,0.408594329307628,0.231162375260586,5.51942069737275
"GSM672790",7.585147955,10.42009851,7.391147398,9.93691487,7.976651301,8.748798513,11.37447026,0.327758345039143,0.446111522340184,5.69047825448308
"GSM672791",7.660233829,10.39560743,7.47696803,10.09834833,8.092948327,8.915866543,11.47787249,0.31722810634073,0.475464104139354,5.71383717916672
"GSM672792",7.602832714,10.24568606,7.333413755,10.00255502,7.904584015,8.840472491,11.56165688,0.460043449401082,0.100324258936732,5.4152990999654
"GSM672794",7.589801115,10.4894658,7.495428625,10.11771599,7.625234944,8.620707063,11.36724349,0.428387787405191,0.180480228609202,5.47908760318242
"GSM672796",7.662205576,10.41393086,7.520542007,9.910412454,7.949688476,8.788727138,11.11124164,0.147170375158986,1.04864670763793,6.16997863059707
"GSM672797",7.621493309,10.43317955,7.474165056,10.15011822,8.101442751,8.536673606,11.35176059,0.311960544478109,0.490300760489287,5.7256442610993
"GSM672798",7.619773234,10.3503487,7.412204089,10.21397621,7.942710037,8.753835688,11.46931636,0.420140502482195,0.201534053285236,5.4958423373409
"GSM672799",7.691536431,10.35404907,7.413969517,10.42308606,8.200952045,8.683216729,11.57041264,0.439980164830405,0.151019504920244,5.45564261866676
"GSM672800",7.681131227,10.46812714,7.413969517,10.29357361,8.239889591,8.937742751,11.47313457,0.338133412725582,0.41756276500957,5.66775901714783
"GSM672801",7.734865799,10.58034275,7.469724535,9.694850186,8.182026394,9.070645725,11.50759814,0.22705678202482,0.748574736085935,5.93117992351518
"GSM672802",7.702029368,10.54444219,7.445860967,10.13296468,7.973584015,8.941266543,11.66456952,0.440044174579193,0.150857218122678,5.45551347005873
"GSM672807",7.8041171,10.49189926,7.512286617,10.12320297,8.282275836,8.940002974,11.35399554,0.174982703241964,0.934656393321704,6.07926459443506
"GSM672808",7.667759108,10.52022342,7.485827881,10.22769926,8.176603717,9.002004089,11.39223755,0.275350850432149,0.596708972838725,5.81032442432986
"GSM672809",7.749934201,10.54498996,7.396921933,10.41393086,8.383890706,8.890312639,11.49097026,0.33306307094653,0.431470714729413,5.67882702991184
"GSM672810",7.893216357,10.56761375,7.720615985,10.24892193,8.579858364,9.38873197,11.34097472,0.071341285616587,1.46587416559383,6.50201023289441
"GSM672811",7.680215613,10.60049368,7.499842751,10.04591561,8.408137918,9.200495539,11.6064513,0.279819230946421,0.583378598237545,5.79971604860182
"GSM672812",7.719550558,10.59812825,7.530228253,10.19937509,8.14140223,9.041450186,11.67839033,0.37704666592776,0.313246580322171,5.5847436995151
"GSM672813",7.852455762,10.54747175,7.629038662,10.38305279,8.199758736,9.06572974,11.56434796,0.26966084515328,0.613839049209292,5.82395662086041
"GSM672814",7.904584015,10.57679554,7.660233829,10.36235093,8.310448699,9.075482156,11.74211264,0.294577035546007,0.540062296721531,5.76524472912438
"GSM672815",7.681131227,10.42599777,7.537504833,10.24135167,7.849203346,8.854895539,11.5727223,0.429637756846241,0.177296482364621,5.47655396272626
"GSM672817",7.624310781,10.19320037,7.448477695,9.87559145,7.824440149,8.928771375,11.4102803,0.331206175005789,0.436584990247492,5.68289699477747
