"","aprX","lexA","bstG","corA","cwlD","dnaE","hbs","ligA","parC","parE","pcrA","pcrB","polY2","ruvA","ruvB","sbcE","sipV","tagC","uvrA","uvrB","uvrC","uvrX","xkdA","ybaK","ydgG","ydgH","ydiO","ydiP","yerH","yhaM","yhaO","yhaZ","yhjD","yhjE","ykvR","yneA","yneB","ynzC","yorB","yorC","yozL","ypuD","yqhB","yqjX","yqjY","yqjZ","yqkA","yqkB","yqkC","yqzH","ytsJ","pval","z","inv_cof_var"
"GSM672662",7.482289963,12.72872639,10.3481119,7.460065056,10.7252513,10.246271,15.82038253,11.7975223,11.85551673,11.50287249,10.95765093,10.92505576,7.829472119,11.54228885,11.23465706,10.15634833,10.25133606,8.284689219,11.00480892,10.90858253,10.04722045,8.037214126,7.981871747,11.39588067,8.242130112,8.508939033,11.24112156,11.44184461,11.75619089,12.25424572,9.395199628,9.778504089,7.503384387,10.53548253,7.906473978,9.742029368,9.533196654,12.03546171,10.89479591,9.685733457,8.335963569,10.89157584,7.21709368,7.71755316,11.05850781,10.78641524,10.73056599,12.66046617,12.719671,8.618287732,13.58394275,0.0674828060663971,1.49480396160088,5.67244472429608
"GSM672663",7.889139777,12.35640037,10.46318996,7.510571747,11.29526506,10.09014535,15.89411301,11.70866914,11.87245242,11.66706952,10.86517584,10.95418476,7.772822305,11.4682684,10.75950632,10.2294197,10.16372974,8.15352119,10.79974312,10.42834387,9.554050186,8.084459108,8.009399628,12.14450074,8.817110037,8.923778439,11.42134944,11.53286245,11.70990037,11.84372045,9.216207063,9.619959665,7.515874349,10.3433171,7.731850929,9.472736431,9.405123048,12.78829182,10.55341784,10.04472379,8.191898141,11.14697993,7.261334201,7.718559851,11.05060483,10.38428922,10.51542156,12.25424572,12.2344052,8.094953903,13.42922621,0.0615314647632907,1.54204388564199,5.68064721586996
"GSM672664",7.527495539,12.72717732,10.40272268,7.765909294,9.467154089,10.67258401,15.79347546,12.10981524,12.03546171,11.75077844,11.30014833,11.18032528,7.466259108,11.6834855,11.47064201,10.37321041,10.45966691,8.31790539,11.35503383,11.13061617,10.35578234,7.969496654,8.122149442,9.991480297,8.934030483,9.187238662,11.43328625,12.03818364,11.83474164,12.2344052,9.781756506,9.853855762,7.34665948,10.71661134,7.776724164,9.756601673,9.697269517,12.21330186,10.74380595,9.968082528,8.361323792,11.66706952,7.445059851,7.395085502,11.48984164,11.00017212,10.96359368,12.79327175,12.61667063,9.1231,13.75689926,0.0927477425616232,1.32402276243095,5.64279117646335
"GSM672665",7.456380669,12.63887881,10.2433342,7.638374721,10.90858253,10.40642565,15.91765762,12.02317361,12.05809554,11.38041859,11.13479888,10.76898067,7.881148327,11.54997881,11.29765019,10.19081859,10.59128327,8.140407807,11.22137844,10.81609888,10.32377435,8.245420446,7.923060595,11.60144089,8.505152788,8.831322305,10.97143346,11.75807658,12.07438996,12.41175539,9.434879926,9.533196654,7.413121933,10.82642677,7.88012342,9.442413011,9.27505948,12.15595799,10.58577156,9.359849442,8.725552788,11.27260967,7.255019703,7.744419145,10.86286431,10.62734349,10.62500372,12.49420967,12.82326543,8.586149442,13.57750632,0.0956113565538087,1.30697055146956,5.63983032037465
"GSM672667",7.861327881,12.79665613,10.91080595,7.429003346,8.393543866,10.16502825,15.97278996,12.25148216,11.62863903,11.25631822,11.47898253,11.41994833,7.6393,11.76177175,11.47313457,10.03135093,9.942540149,9.582884758,11.32364052,10.99896283,10.15506803,8.061049071,8.628068773,8.343217472,8.764030483,9.226846097,11.82445613,11.83088699,12.14881636,12.35485911,9.699892193,9.650143866,8.001172491,10.28889442,8.38036803,10.68777323,10.4224948,12.66787807,11.55183606,9.938826022,7.813247212,10.27428959,7.291402602,7.608877695,12.62092416,12.28742007,12.34786914,13.36649851,13.10802045,9.432344238,13.61745502,0.395442191082282,0.265162369744486,5.45893623543162
"GSM672668",7.945201115,12.46536784,10.76314907,7.475075093,8.139266914,10.16502825,16.20750632,12.1154171,11.53860669,11.19393717,11.38512714,11.37323197,7.547315613,11.65469554,11.38151115,10.05097732,10.02137472,8.835132714,11.2202,11.07735651,10.13052454,8.05945316,8.734165056,8.205537918,8.935267286,9.177965799,11.94402528,11.89799851,12.03546171,12.03818364,9.790525651,9.870642007,8.320828996,10.32496394,8.372318216,10.3697052,10.09368364,12.86639294,11.60144089,10.01140335,7.560884387,10.68896989,7.514108178,7.602832714,12.66502602,12.1883777,12.28434275,13.30585762,13.10047026,9.782928996,13.46987881,0.400487520598054,0.252085417526107,5.45666562233136
"GSM672673",7.860385502,12.24164052,10.43461636,7.610263941,7.854380669,10.1323658,16.1452197,12.5077974,11.35625651,10.98158476,11.21293494,10.94614238,7.626144981,11.35290967,11.09506729,10.04722045,10.72067398,8.187467286,11.52813271,11.23069257,11.0149539,7.912741264,8.80037881,8.012508922,8.657939777,9.031537918,11.83088699,11.73466357,12.29538383,12.13979294,9.656692193,10.32316896,8.214330483,11.12277175,8.034003346,10.30092751,9.873116357,12.43925799,11.57506468,9.805604833,7.550943123,11.54474833,7.775827509,7.589801115,12.34201004,11.89014201,11.9151855,13.27297993,13.03570706,9.827327509,13.41992007,0.479432654104582,0.0515775497747007,5.42185049235156
"GSM672674",7.922072862,11.96415093,11.32028439,8.514854647,7.8193171,10.61841543,14.96705799,12.61107732,9.580311896,9.655317472,10.8015829,10.79227621,7.818343866,10.45007435,10.26731784,9.606279554,11.57879851,8.326605204,11.42984089,11.28217807,11.4039948,7.816307063,9.437442007,7.717062082,7.55949145,7.989135316,10.93927732,10.88235985,12.51518699,12.22241729,8.94377881,10.37568922,8.53189368,11.80914981,7.435354647,10.8462368,9.914948327,11.97097658,12.62922844,9.082944981,7.411239405,11.4102803,8.868964684,7.554816729,11.40649405,10.541771,10.28526989,11.91770855,12.87633978,10.97028662,12.63741822,0.0427906878966003,1.71918123925053,5.71140441287832
"GSM672675",7.907455762,11.95349405,10.49189926,7.809278067,7.684879182,10.44045019,15.45858439,12.75551227,10.72286952,10.61555799,11.02258996,10.95881636,7.679235688,10.78529777,10.54045279,9.955614126,11.36063717,8.714569888,11.4039948,11.01674572,11.10905242,7.958960223,9.047397026,7.82857658,7.643193309,8.110748699,10.87543271,10.86401599,12.78364684,12.13914164,9.712572491,9.932549814,8.075726022,11.46694833,7.574069517,10.51776357,9.938826022,12.05938885,12.48438178,9.613957249,7.681627509,11.26294796,8.279827881,7.525672491,11.66514257,11.14255428,11.09626803,12.44648699,12.83584424,10.19443086,12.9007197,0.126523793677585,1.14297833243496,5.61135557529161
"GSM672676",7.796198141,12.05292342,10.64325093,7.834514126,7.729094424,10.34221784,15.10605167,12.56473271,10.66912045,10.70047807,10.92375167,10.85317881,7.546432714,10.7252513,10.21271413,9.683063941,11.33044126,8.730405576,11.18137621,10.92735539,10.99430186,8.037214126,8.644084015,7.914788104,7.690520446,8.154679926,10.99838327,10.95179145,12.82026617,11.91889442,9.498850372,10.26107435,8.213257249,11.39465613,7.900626766,10.78767732,9.862908178,12.09093494,12.75695279,9.601017844,7.816307063,11.33825799,8.14140223,7.454666543,11.74947844,10.96575651,10.93087398,12.4661171,12.8811052,10.71228216,13.10047026,0.0702743023515043,1.47375115241609,5.66878922540505
"GSM672677",8.102525651,12.56626989,10.83943569,7.881148327,7.912741264,10.33973569,15.17796914,12.32020335,10.95294498,10.98036283,10.96242974,11.03873829,7.423010223,10.92093271,10.38305279,9.790525651,10.91700595,8.604154275,11.04224089,10.82065651,10.93087398,8.04244052,8.292440892,7.899507435,7.756682156,8.383890706,10.97260186,11.20686022,12.73977435,12.03426766,9.581556877,10.33111822,7.943223606,11.18912454,8.091320074,10.66082342,10.07917026,12.22607175,12.44805874,9.537186989,7.658812268,11.02024349,7.981871747,7.55573197,11.94797546,11.82298996,11.54819108,13.25168253,13.22356468,9.989074349,13.49133829,0.23842591508934,0.71137509129492,5.53641426197308
"GSM672678",8.008369145,12.58011896,10.73115465,7.603278625,9.164875465,10.26550855,15.21679294,12.31027584,11.17657509,11.02948476,10.84505911,10.98965576,7.311718959,10.91509684,10.4475026,9.77656171,10.81962416,8.281063941,11.09389405,10.88470892,10.73932156,7.866197398,8.211057249,7.787331599,7.937469888,8.268340892,11.32936877,11.30602491,12.53577732,11.92414164,9.629740892,10.22478587,7.900626766,11.22723903,7.910605948,10.541771,9.904658736,12.19956989,12.20240781,9.496931227,7.789927323,11.11351933,7.783582528,7.529364684,12.1644855,11.7543855,11.68608067,13.47812268,13.1633513,9.952976208,13.39496283,0.319637120515653,0.46871377274356,5.49427982883997
"GSM672679",7.949688476,12.87794796,10.65413829,7.675475093,9.974054275,10.0742026,15.28264684,12.05551227,11.12871487,11.11991989,10.86459591,11.08153048,7.413121933,11.19393717,10.28045836,9.713857993,10.68322677,8.191898141,11.04339219,10.86867993,10.67088532,7.94874052,8.132902602,7.788498141,7.900626766,8.214330483,11.22723903,11.28929814,12.24317175,12.10452751,9.407636059,9.902143123,7.793164312,11.02368327,8.247687361,10.60108401,9.871239777,12.54170929,12.31945409,9.519147584,7.702029368,11.21065762,7.641281413,7.407572119,12.19392119,11.50178625,11.5435829,13.41130855,13.23499331,9.643798885,13.67681933,0.416696444396112,0.210352082160942,5.44941926580918
"GSM672683",7.617057249,13.19254647,11.80381487,7.937469888,8.140407807,10.5558368,16.39080818,12.5479145,12.15595799,11.8077974,11.87752714,11.54228885,7.838514126,12.09369554,11.75743327,10.70406654,10.12423866,9.685733457,11.58755948,11.11013494,10.2294197,8.538096654,9.29868197,8.155705948,9.293330483,9.529263569,12.20520706,12.29833736,12.64979145,12.68798067,10.18235576,9.897079554,8.883541264,10.12797993,8.954337175,10.21655725,10.160029,13.4511197,12.1154171,10.31223234,7.97259145,9.810822305,7.662205576,7.841605948,12.09768922,11.44300781,11.68854647,13.02854461,12.83584424,10.30703643,13.62222788,0.0726234611867922,1.45652724954564,5.66579855763765
"GSM672684",7.66687881,13.43859219,11.86726952,8.014537175,8.175404461,10.65969257,16.45100446,12.43328327,12.11117286,11.84240669,11.91889442,11.37569814,7.898386617,12.31592825,11.8697881,10.77360446,10.16184349,9.898328625,11.5304,11.04578699,10.28593141,8.369905204,9.190962082,8.207724907,9.126830483,9.568403717,12.08145093,12.24164052,12.87304684,12.76159257,10.17489219,9.911007435,9.158375465,10.24398885,9.166684572,10.55341784,10.39498699,14.00869331,12.5327658,10.64203271,7.97460632,9.893404089,7.811251301,7.861327881,11.92944684,11.1493119,11.57879851,13.26519851,13.1376223,10.34696877,13.77875762,0.108122352906666,1.23657553878872,5.62760730117896
"GSM672685",7.677404833,13.76680818,11.98454572,7.621493309,8.263677323,10.65969257,16.45100446,12.19886859,12.1574803,11.77964126,11.61025167,11.14480149,7.92363513,12.29098903,11.56918327,10.67258401,10.25985874,10.2401855,11.51118996,10.96463569,10.30703643,8.562611152,9.045071375,8.30718513,9.121938662,9.35735539,12.12968401,12.07589257,12.61107732,12.8365881,9.919852788,9.805014312,9.071826022,9.952976208,9.255978439,10.79346208,10.5722368,14.42564907,12.79665613,11.17175985,7.822368401,10.10897416,7.398257435,7.746419517,11.83344498,11.07273717,11.31089517,12.91488662,12.83257361,10.6508487,13.64061375,0.163532644249784,0.980042199727612,5.5830642034755
"GSM672686",7.72343197,13.37430892,11.65105948,9.541005576,8.044633086,10.75363569,16.39080818,12.62693755,12.26584201,11.94935167,11.96415093,11.27260967,7.865181413,12.31870483,11.89547138,10.90156766,10.12423866,9.569909294,11.92544981,11.24592528,10.4644316,8.303515613,9.182578067,8.126315242,9.063291822,9.473419703,12.31733383,12.3842197,12.87134275,12.75141933,10.19937509,9.960652788,8.894226394,10.15135502,9.008102974,10.48109219,10.47985502,13.85909405,12.43612565,10.60851896,7.764849442,10.28889442,9.533196654,7.909552788,11.55055688,11.29894126,11.49942454,13.02854461,12.59710074,10.0326223,13.83360706,0.00672262866349631,2.47175247689733,5.84207691840918
"GSM672687",7.687710037,13.48916357,11.68483494,7.729094424,8.140407807,11.03527658,16.32825874,12.87134275,12.39518309,12.11406171,12.17600892,11.66571561,7.978735688,12.57565725,12.28023792,11.06334126,10.4357777,9.55144052,12.01920743,11.30724907,10.48335762,8.298687732,9.024053532,8.34082119,8.994675465,9.651572119,12.31169033,12.3463026,12.98028141,12.88436691,10.50383271,10.04472379,8.968894424,10.52022342,8.879577695,10.50263755,10.56183123,13.31340074,12.10151896,10.66082342,7.769860967,9.271420074,7.580478067,8.084459108,11.57750409,11.35399554,11.64603123,12.89143773,12.36217918,10.07252286,13.80343717,0.166325243405375,0.968788978387484,5.58111025339842
"GSM672688",7.656668401,13.44724164,11.50122305,7.631891822,8.190704833,11.00017212,16.46627323,12.6836,12.34492491,11.99392119,12.25148216,11.50417435,7.803133086,12.47040149,12.22879703,10.93698327,10.46812714,9.401242751,11.8646974,11.08324498,10.40577677,8.216581041,8.952978439,8.363136059,9.018973606,9.70122342,12.31733383,12.37705167,13.00624349,12.89221561,10.40780558,9.972934944,8.985678439,10.47046803,9.048547212,10.4894658,10.47153086,13.43859219,12.09369554,10.68654312,7.758813755,9.35735539,7.477835316,7.818343866,11.55567323,11.26426877,11.49468773,12.63887881,12.52395651,10.20170595,13.77875762,0.263484539475186,0.632639511252161,5.52274303059466
