"","spoIIID","cotF","cotJA","cotJB","cotJC","cwlJ","gerE","gerR","spoIVCA","spoVK","spoVM","yesJ","yesK","yheC","yheD","yknT","pval","z","inv_cof_var"
"GSM672648",14.89277844,13.04265836,14.60551747,14.29703011,14.35301933,13.23891599,11.86338253,14.33130985,12.27506227,11.88260409,14.2410829,13.81311004,8.083214498,12.76600149,12.53408699,13.6722223,0.302337199683985,0.517690253756106,7.88156323407918
"GSM672649",14.36693011,14.18383309,14.22564647,14.04813494,14.08764126,13.25168253,14.57775836,13.18883978,11.66456952,11.67839033,14.09866691,13.38884164,8.063550743,12.72426729,12.54249219,12.42288327,0.298085304834491,0.529915369156549,7.89783901603873
"GSM672650",14.25402268,14.31970743,14.04552862,13.89249665,13.9054052,13.2786855,14.42564907,13.2692461,11.64288457,11.75807658,14.03459963,13.49568401,7.87060948,12.68798067,12.41698625,12.45414126,0.3223189091033,0.461224120393894,7.80638762676595
"GSM672651",8.031022305,9.585373606,8.502789963,8.308172862,8.343217472,8.9057171,11.02488141,8.908124535,8.932741636,8.056952788,10.62021264,11.05797546,8.147725651,7.904584015,7.925744052,8.073602602,0.257428274476621,0.65129426625926,8.05943556535747
"GSM672652",8.43369145,9.559210037,8.922488848,8.786026394,8.875758736,8.890312639,11.37323197,8.741252416,8.964366543,8.112271375,10.51356784,11.19509517,8.139266914,8.084459108,8.034003346,7.846815613,0.259198790677866,0.645817456595959,8.05214407100392
"GSM672653",8.05646487,8.694099628,8.236467658,8.052826022,8.027893309,8.530658364,11.59151078,8.80170855,8.942527509,7.958960223,10.00747918,10.94269926,8.291892937,7.571387732,7.653142937,7.696285502,0.485121311706326,0.0373039909233794,7.24200591178611
"GSM672654",11.78463792,11.87817007,11.60519591,11.30602491,11.41876506,10.90965465,12.19107955,11.02599331,10.0693658,9.034102602,11.90374572,11.34699628,7.40575539,9.928207063,9.364909294,10.06448922,0.245862550894506,0.687567624668449,8.10772772891344
"GSM672655",11.18790892,11.7543855,11.05744312,10.76552491,10.96807138,10.75546933,12.41414164,10.46088141,9.777935316,8.981802602,11.78955725,11.30724907,7.384224535,9.587906691,9.226846097,9.812004461,0.266363588134973,0.623848360519111,8.02289574034339
"GSM672657",9.036495167,11.55800706,9.082944981,8.676886989,8.577357993,9.608845725,11.19026506,9.054672491,9.685733457,8.96094052,11.26785613,10.54986357,7.667759108,8.255571375,8.555434201,7.843720446,0.40835184573225,0.23178669507269,7.50092846457643
"GSM672658",8.013526394,9.843672491,8.560181041,8.474837918,8.447001487,8.573867658,10.19081859,8.79387881,9.675759108,8.400856506,10.90512491,10.37205093,7.509637546,7.756213941,8.270647955,7.765909294,0.151859051849861,1.02849274096976,8.56161488463346
"GSM672659",8.979176952,11.38389442,9.103892193,8.739067286,8.686794052,9.287444981,10.61900669,9.031537918,9.462750186,9.035304089,11.12166803,10.55341784,7.701094424,8.245420446,8.534192193,7.811251301,0.244150019906695,0.693015156703955,8.11498024479761
"GSM672660",13.7497,13.73822305,14.00014721,13.52354052,13.40275985,12.35485911,12.64338773,11.64227658,11.12404238,11.51608104,13.92820372,12.60530818,8.028971747,12.87304684,12.54170929,11.20329851,0.255717412311749,0.656605168613786,8.06650618071769
"GSM672661",11.71836989,11.00480892,11.69219926,11.55933717,11.48629777,10.02137472,9.795699628,9.946295911,10.03374424,9.585373606,12.03615911,11.34699628,7.815808922,10.8015829,10.46688848,9.415497026,0.0492863788525012,1.65181260783172,9.39146539416211
"GSM672662",13.6744539,11.72477063,13.86400483,13.16680669,13.23707546,11.33658364,9.986601859,11.46931636,11.12277175,10.75825539,13.00986097,12.35640037,7.934310781,12.61945911,12.12529108,10.97694387,0.318862467091055,0.470882096034134,7.81924567354444
"GSM672663",13.76078401,13.73361487,13.5084171,13.28255242,12.98457584,11.87881301,12.48208364,11.74211264,11.39810297,11.87367249,14.00869331,12.50329219,7.913758364,12.76934647,12.158871,11.77574349,0.163119998533624,0.981715561001283,8.49933856601301
"GSM672664",11.48142862,10.74269703,11.89799851,11.51608104,11.35999851,9.884420446,10.18716803,9.976483271,9.959482156,9.572453532,12.00166803,11.09626803,7.930322305,10.81242528,10.36235093,9.338898513,0.0312341737470907,1.8629567780579,9.67257001886838
"GSM672665",13.44308773,10.35981673,13.7680039,13.10414349,13.24697602,11.30308996,9.798108922,11.50648104,11.09626803,10.47985502,13.41992007,12.2758855,8.076719703,12.24164052,12.07309777,10.91817807,0.407903572549758,0.232941097262953,7.50246536608835
"GSM672666",11.72854535,7.806252045,11.56050372,11.25086022,11.14142193,9.832570632,9.654058736,10.2203197,10.29002602,9.031537918,11.32135353,10.89029628,7.564085874,10.56517138,10.04722045,10.0742026,0.176230872160524,0.92982491451889,8.43025448621306
"GSM672667",10.90736766,7.691536431,10.82065651,10.45131152,10.37321041,9.455064684,9.843672491,9.545039405,9.87559145,8.717047212,10.92320428,10.76898067,7.603724535,9.976483271,9.777935316,9.239005576,0.0464173782359148,1.68063024927379,9.42983146542903
"GSM672668",9.740756506,7.609332714,9.917216729,9.49563197,9.403698141,8.79387881,9.799172862,8.919800372,9.805604833,8.337157993,10.68432825,10.44045019,7.89425539,9.472736431,9.279881413,8.774426022,0.00484327523749691,2.58682239995648,10.6362810877727
"GSM672669",8.93649368,7.487576952,9.271420074,8.921110409,8.661983643,8.392362082,9.869347584,8.665937918,9.992781041,8.218820074,10.29002602,10.25008439,7.712718216,8.839163941,8.923778439,8.468954647,0.00899415068231822,2.36585884407182,10.3421035247162
"GSM672670",8.004321933,7.390745353,8.465450186,8.246547955,8.12430632,8.209816357,9.733342007,8.458105948,9.960652788,7.978735688,10.03135093,10.25613717,7.586930855,8.247687361,8.815912639,8.281063941,0.0404746386612012,1.74520450513706,9.51580173844527
"GSM672671",7.832513011,7.333413755,8.222346097,8.114304647,8.013526394,8.051954647,9.847455762,8.406797398,9.894642379,7.956277509,9.908577323,10.18469814,7.700126394,8.243223048,9.020110409,8.112798513,0.053812850423898,1.60895719907741,9.33441028541055
