"","fabF","fapR","fabHA","fabHB","fabI","plsC","yhdN","pval","z","inv_cof_var"
"GSM672772",13.73822305,14.10146097,13.53224944,9.630962082,13.94646394,12.52980595,10.82770632,0.334976348701666,0.426212928860387,6.99848324062854
"GSM672773",13.26165428,13.51702342,13.1136368,9.014144981,13.11002677,12.05809554,11.07857138,0.291492703054896,0.549029207209294,7.18410013562284
"GSM672774",13.60160558,13.66292007,13.51256134,9.143151301,13.77427435,12.36989182,11.03873829,0.419320392467164,0.203632383528661,6.66208882886139
"GSM672775",13.58822193,13.82567398,13.49333755,9.145479182,13.53887881,12.2163461,10.69834424,0.440013533560025,0.150934903181909,6.5824451300986
"GSM672776",14.13440409,14.52209926,13.9789632,10.45853197,14.18664647,12.6418026,9.984120446,0.439067124162246,0.153334813187141,6.58607220502243
"GSM672777",14.10461152,14.77223197,14.32280074,11.03990446,14.46736729,12.81402342,10.2214171,0.322057722970769,0.461952413597503,7.05249767808571
"GSM672778",13.40184461,13.91563829,13.25773792,9.317263941,13.38884164,12.10844647,11.26177993,0.228564647725906,0.743582166474608,7.47813539459875
"GSM672779",13.59271896,13.85341561,13.49333755,9.338898513,13.64276654,12.0542368,11.2995448,0.302552518377645,0.517073234824847,7.13580386374206
"GSM672780",13.97082379,14.5931777,14.12791078,9.865482528,14.26634535,12.73028625,11.82298996,0.239448725166371,0.708076986166827,7.42447507030346
"GSM672781",14.34591822,14.62074498,14.41869665,10.70775019,14.56878476,12.68502305,11.33044126,0.193993985913554,0.863271933339181,7.65902707432283
"GSM672782",14.03156208,14.6242052,14.01974312,10.59470558,14.22564647,12.70161301,10.90279405,0.176283185941871,0.929622889480439,7.75930578838592
"GSM672783",13.84229089,14.38725613,13.84229089,9.90340855,14.10146097,12.60065019,10.89029628,0.307338494567625,0.503408653058621,7.11515206356589
"GSM672784",14.0958948,14.07067323,13.92068736,9.895909665,14.22852825,12.73823494,11.13711487,0.318963911065074,0.47059801960949,7.06556411003482
