"","phrI","comA","rapI","ycxA","ywhH","pval","z","inv_cof_var"
"GSM672633",12.91305019,11.93752491,10.3503487,10.68654312,10.83995781,0.0631636717217608,1.52874632434036,9.63761951674406
"GSM672634",12.76159257,12.22038662,10.15826134,10.87889517,11.11460186,0.0304800593726463,1.87378460789419,10.2062023862905
"GSM672635",13.16149219,12.14178848,9.801787361,10.9752671,10.96463569,0.296130903085585,0.535561263844652,8.00096631446472
"GSM672636",13.05331524,12.33911152,10.14026543,10.87889517,11.00848364,0.123580950002962,1.15727040716865,9.02547050887911
"GSM672637",12.86639294,12.31733383,9.813872305,11.01917918,10.99196914,0.145358230403889,1.05655120294481,8.85949700134195
"GSM672638",12.76600149,12.34942305,9.949760223,10.84973011,11.18580558,0.0719821379522137,1.46118646695469,9.52628874734987
"GSM672639",12.45830409,12.63599665,9.484101859,10.15442584,11.29645688,0.238270954843433,0.711875443572243,8.29151152938608
"GSM672640",12.84223494,12.40349591,10.588729,11.03873829,11.33044126,0.00261732292353783,2.79222799059166,11.7196900163339
"GSM672641",13.16680669,12.40940483,10.25371375,10.52649517,11.12466952,0.191699229189015,0.871651624519621,8.55480405018274
"GSM672642",12.70778104,12.14741227,9.373756506,11.12166803,10.80522639,0.287429315594186,0.560910383411465,8.04273870851712
"GSM672643",12.9504948,12.68502305,9.738382528,10.52265576,11.30785019,0.273848359612841,0.601215113768388,8.10915620574844
"GSM672644",12.88760223,12.45543494,9.61009368,10.41887398,10.89814201,0.327534726246175,0.446730783601688,7.85458403815752
"GSM672645",12.64667732,12.62544387,9.486692565,10.10585762,10.99543978,0.323561960215006,0.457761330329943,7.87276109331447
"GSM672647",13.41578699,12.29753643,9.794347955,10.54747175,11.16270446,0.4815497733059,0.0462643585758763,7.19466205282608
"GSM672654",12.9836684,12.58894312,10.1266829,10.07365818,10.86981041,0.279509066240101,0.584300534732172,8.08128295126049
"GSM672656",12.78678773,12.86164312,9.526674721,10.95765093,11.45190613,0.235930590844961,0.719454086883222,8.30400025010612
"GSM672657",12.32742639,12.06917695,9.847455762,11.21668625,10.01436599,0.0855795713462066,1.36848874471932,9.37353370705075
"GSM672658",12.71656803,11.98850669,10.3503487,11.60389777,10.46088141,0.0327082622020502,1.84240094003821,10.154485760116
"GSM672659",12.45247361,12.06978903,9.978329368,11.41876506,9.934946097,0.128547248055403,1.13328522085921,8.98594571783864
"GSM672661",12.67265651,12.72426729,9.785500743,11.21184758,10.30923346,0.169054292284846,0.957909125296566,8.6969463562669
"GSM672662",12.80614647,12.60967212,9.880541264,10.75245725,9.559210037,0.442018636008196,0.14585320680113,7.35877286544525
"GSM672664",12.66787807,12.52685316,9.772573978,11.12871487,10.31526468,0.168554744912644,0.959892165104488,8.70021417470374
"GSM672666",12.98724424,12.29315279,10.36854833,10.71478104,10.06448922,0.236410968077218,0.717895153897137,8.30143131027275
