"","dnaJ","hrcA","dnaK","groEL","groES","grpE","yqeT","yqeU","yqeV","pval","z","inv_cof_var"
"GSM672775",13.07797286,13.44939033,14.64878104,14.83115242,15.26197249,14.74947249,13.25369033,13.03748513,12.9632026,0.424624310475923,0.190077219372551,14.9671626693106
"GSM672776",13.28255242,13.21968216,14.69906245,14.64045799,14.99943048,14.58155874,13.63154052,13.15971115,13.14143123,0.213309793892045,0.794989538201777,17.8108539501692
"GSM672781",12.98548327,13.29628699,14.50400372,14.74487584,15.08293978,14.3837368,13.34303457,12.92992751,12.80470855,0.372626769236988,0.324904252305198,15.6009842101195
"GSM672782",12.99247212,13.07877639,14.21381301,14.40846283,15.190129,14.26317249,13.1468632,12.92150372,12.6482026,0.378914605564606,0.308332667357495,15.5230812311936
"GSM672783",13.02672268,13.05860929,14.22263903,14.29400892,14.84428699,14.36693011,13.03222825,12.86008625,12.91488662,0.246202116546911,0.686489896964473,17.3007974111323
"GSM672786",12.88436691,13.42503067,14.65334089,14.76273346,15.20407138,14.66372342,13.08627212,13.01151115,12.77243197,0.484728835645172,0.0382884855066109,14.2536042153143
"GSM672787",13.07116617,13.25773792,14.68655279,14.67824238,14.95131636,14.42209108,13.56203011,12.97208327,13.24606989,0.241037592650889,0.702968812948867,17.3782647534961
"GSM672789",13.48348773,13.00465167,14.58946431,14.75366506,15.36026208,14.65737807,13.45721859,13.17256729,12.89724424,0.394761318847771,0.26693054557004,15.3284499613859
"GSM672790",13.35250967,12.94970781,14.5076632,14.6741539,15.190129,14.60551747,13.00295056,12.94794461,12.68201636,0.477150310855294,0.0573070283899117,14.3430103373066
"GSM672791",13.42815502,13.35250967,14.66993086,14.73161599,15.08894944,14.5439829,13.45721859,13.11887398,12.82172268,0.293664778444586,0.542709899911761,16.6248880086391
"GSM672792",13.26519851,13.41578699,14.69906245,14.68655279,15.27586766,14.74027026,13.4345881,13.0950171,12.83902974,0.380821637302442,0.30332358432228,15.4995335445141
"GSM672793",13.35045167,13.56426171,14.8030119,14.70303309,15.27586766,14.72338401,13.66069851,13.34708364,13.10802045,0.237835728790486,0.713281702540292,17.4267456213818
"GSM672794",13.49568401,13.48706506,14.8357223,14.49293792,15.36397379,14.94641301,13.24788216,13.01521004,12.76159257,0.451659966035434,0.121468539412164,14.6446334383435
"GSM672796",13.0743855,13.15971115,14.4894368,14.37000297,15.08894944,14.58155874,13.08300781,13.05163569,12.65605019,0.387725745639658,0.28525146859725,15.4145765741991
