"","guaB","codY","metN","metP","metQ","pval","z","inv_cof_var"
"GSM672757",14.88755316,14.31325613,13.19072825,13.14049257,13.88999294,0.49456063282791,0.0136348940158306,16.894880349475
"GSM672758",14.23797286,13.07116617,13.39100595,13.04989703,14.61673569,0.42335814152253,0.193309887788636,19.0093893985436
"GSM672759",14.32280074,13.01324461,13.45520892,12.96858699,14.72338401,0.479344410426545,0.0517990395509259,17.3440159213731
"GSM672760",14.2077948,12.98548327,13.01324461,12.79137658,14.12176357,0.443569537273439,0.141925218394892,18.4046678057667
"GSM672761",14.58543234,13.14322714,13.79092788,13.48916357,14.84911041,0.325824765066426,0.451471820843017,22.0475736895575
"GSM672762",14.5149171,13.08980112,13.98155204,13.83360706,15.06041338,0.222827269098738,0.76267953534757,25.7100284065001
"GSM672763",14.3392342,13.2139171,13.61981078,13.34507323,14.7149948,0.322803145631287,0.459874518529922,22.1464610189652
"GSM672764",14.5149171,13.01151115,13.66292007,13.61981078,14.60165465,0.201876545188311,0.834937160700003,26.5603938327826
"GSM672765",14.69906245,13.20863941,13.70521487,13.4367223,14.8357223,0.384359937715098,0.294049766290635,20.1949488368476
"GSM672766",14.62074498,12.98548327,13.87172416,13.53453569,14.90736059,0.318489771848171,0.471926091599642,22.28829021721
"GSM672767",14.61295725,12.99076729,13.24697602,13.13286357,14.5973803,0.491661910637763,0.0209020124464506,16.9804035898522
"GSM672768",14.42564907,13.11539071,13.59952639,13.62222788,14.69077807,0.234452503420501,0.724261828335133,25.2579087908735
"GSM672769",14.2410829,12.75065836,13.49777063,13.52142082,14.57414535,0.214610506204439,0.790525369218943,26.0377327044856
"GSM672770",14.28199294,12.97704498,13.35817584,13.23499331,14.30992379,0.273676769362076,0.601730508297431,23.8158963016917
"GSM672771",14.6741539,13.2291658,13.77175465,13.62222788,14.75811599,0.269190063863857,0.615264394150904,23.975170129982
"GSM672772",14.64878104,13.33340483,13.7086368,13.56426171,14.79444089,0.314142823664223,0.484141222857222,22.432044253525
