"","yqaF","sknR","yqaG","yqaH","yqaI","yqaJ","yqaK","yqaL","yqaM","yqaN","yqdA","yqzO","pval","z","inv_cof_var"
"GSM672678",7.395965799,11.77836766,6.956875093,6.997829368,7.306538662,7.141876952,7.342844981,7.237405204,7.267130483,7.310266543,7.001856877,7.252905576,0.309622207543619,0.496921491917607,47.1118860217242
"GSM672679",7.35901487,11.86062565,7.096736803,7.042702602,7.226811896,7.31324684,7.311718959,7.147453903,7.190951301,7.133884387,7.253958364,7.154222305,0.0170604373752091,2.11864032892562,72.4449479825867
"GSM672680",7.496405204,11.7060368,6.978382528,6.948236803,7.317484015,7.203504833,7.163301115,7.140640149,7.210253903,7.11902119,7.183296468,7.332467658,0.331093368697498,0.436896049040478,46.1742214716595
"GSM672681",7.477835316,11.60389777,6.914249814,6.972086245,7.108245353,7.140640149,7.198264126,7.061997398,7.141876952,7.233686803,7.100415613,7.182719331,0.277233772744936,0.591078916839757,48.5827303044661
"GSM672682",7.517730112,11.32477955,7.015959108,7.044994424,7.335327509,7.111310409,7.200011152,7.093293309,7.245731599,7.170605948,7.229985874,7.329580297,0.267934657471418,0.619071412725437,49.0200043969466
"GSM672686",7.603724535,11.51608104,7.053049071,7.044994424,7.280977695,7.365978625,7.371690706,7.283749814,7.383236059,7.436165428,7.352536803,7.55290223,0.430031652902198,0.176293579566204,42.10331944124
"GSM672687",7.506061338,11.18467807,7.05993829,7.025510037,7.459166171,7.382328253,7.418300743,7.229985874,7.351365799,7.421697026,7.190369888,7.565977695,0.455322125187854,0.112225954588206,41.1025114859921
"GSM672696",7.332467658,11.76116208,7.075526766,7.095104089,7.20119777,7.274337546,7.425346468,7.381439405,7.514108178,7.572286989,7.236266543,7.575073978,0.445539863851286,0.136938094113552,41.4885427433808
"GSM672698",7.354395539,12.09369554,6.914249814,6.939026766,7.038592937,7.013033457,7.053049071,7.050248699,7.031287732,7.066749814,6.988712639,7.055417844,0.0735036500105859,1.45018369723878,62.0029077952046
"GSM672699",7.302495911,12.01111041,6.8905,6.939026766,7.025510037,7.064322677,7.05993829,7.042702602,7.047502974,7.075526766,6.993476952,7.070077323,0.0321342832880677,1.85031219097745,68.2533623702342
"GSM672700",7.319405948,11.76571784,6.914249814,6.978382528,7.001856877,6.988712639,7.05993829,6.983714126,7.025510037,7.044994424,7.028367658,7.075526766,0.0330146631763322,1.83822453173241,68.064539614015
"GSM672701",7.106628996,11.84500446,6.8905,6.948236803,7.091472119,7.05796171,7.170605948,7.101133271,7.154222305,7.247768401,6.972086245,7.252905576,0.0877195621380071,1.35493231031422,60.5149746025003
"GSM672702",7.196527138,11.89925465,6.914249814,6.939026766,7.044994424,7.083947212,7.085886989,7.073488104,7.091472119,7.279125651,7.013033457,7.298382528,0.123269167099755,1.15879848745712,57.4511449338344
"GSM672703",7.250825651,11.82445613,6.948236803,6.842628253,7.098571004,7.113688662,7.116044981,7.068984758,7.141876952,7.297434572,7.050248699,7.221266543,0.169089951643059,0.957767713331717,54.3108194096178
"GSM672704",7.423486245,11.34699628,7.015959108,6.914249814,7.262255019,7.322290706,7.324245353,7.303552045,7.414878439,7.299471375,7.053049071,7.430656506,0.457260619680866,0.107337495359135,41.0261482855919
"GSM672705",7.622386245,11.29404387,7.047502974,7.068984758,7.132457993,7.309753903,7.298926952,7.312733086,7.393342379,7.416600743,7.205772862,7.437914498,0.428469049982641,0.18027319274766,42.165485449925
"GSM672710",7.752718959,12.42288327,7.083947212,7.143272862,7.186222677,7.385176952,7.353031784,7.196527138,7.290928625,7.302495911,7.140640149,7.272425279,0.485418069685205,0.0365596214942766,39.9205187380037
"GSM672711",7.605941636,12.80614647,7.10982342,7.083947212,7.179726766,7.444192193,7.392457621,7.129661338,7.308159108,7.21709368,7.431591822,7.284242007,0.379275615111965,0.307383835766288,44.1510958541409
"GSM672712",7.728157621,13.0185829,7.137790335,7.165705948,7.371171004,7.438816357,7.392457621,7.281887361,7.318360967,7.385176952,7.537504833,7.309753903,0.365385332981991,0.344100554426456,44.7246520635105
"GSM672716",7.300564684,11.63750186,6.939026766,6.993476952,7.095104089,7.148817472,7.22019777,7.159424535,7.250825651,7.215920818,7.194324907,7.437914498,0.209158662162096,0.80934396447459,51.9922744556737
"GSM672717",7.296479182,11.6089539,6.8905,6.948236803,7.093293309,7.117533829,7.171866543,7.169377323,7.227946097,7.221266543,7.055417844,7.233129368,0.130704006431897,1.12306941900957,56.8930169253717
"GSM672718",7.22019777,11.79360967,6.914249814,6.956875093,6.983714126,7.101850929,7.168089591,7.123569888,7.197662082,7.154222305,7.143272862,7.204681041,0.039223894466439,1.75976423814916,66.838902078424
"GSM672719",7.275465799,10.63199814,6.842628253,7.013033457,7.103652416,7.179195167,7.187255019,7.169377323,7.21709368,7.314204647,7.126487361,7.307651301,0.210189758283869,0.805762998947834,51.9363357692018
"GSM672720",7.304376952,10.64862714,6.965320818,6.914249814,7.044994424,7.147453903,7.140640149,7.16059777,7.226811896,7.272425279,7.170605948,7.279125651,0.14264833126719,1.0684963797876,56.0405250183569
"GSM672721",7.279125651,10.61201561,6.914249814,6.978382528,7.025510037,7.188427509,7.253958364,7.225149071,7.294394796,7.413121933,7.106628996,7.505216357,0.488809538425035,0.0280540068338004,39.7876515243462
"GSM672722",7.504303346,11.25685576,7.05993829,7.096736803,7.326832714,7.308666914,7.413969517,7.383236059,7.567378439,7.423486245,7.327780297,7.45293829,0.309106228084311,0.498385356252461,47.1347532198173
"GSM672724",7.389022677,11.05744312,7.122063197,7.093293309,7.098571004,7.467951301,7.456380669,7.389852788,7.521367658,7.384224535,7.189788476,7.524751673,0.410185240228308,0.227068496410998,42.8964804289115
"GSM672729",7.694331227,11.50890743,6.988712639,7.169377323,7.258240892,7.278232342,7.356145725,7.300564684,7.383236059,7.332467658,7.144603717,7.404819331,0.459298248966522,0.102201801401484,40.9459230022245
"GSM672730",7.556651301,11.34097472,7.025510037,7.129661338,7.17327026,7.280977695,7.409369888,7.345710781,7.35522119,7.284734201,7.340056877,7.417417844,0.262036377249221,0.637079970437021,49.301318209133
"GSM672735",7.575073978,11.30368922,7.073488104,7.042702602,7.193237918,7.294394796,7.393342379,7.314648699,7.395965799,7.27630855,7.250825651,7.419965056,0.309598754573666,0.496988006265486,47.1129250502276
"GSM672736",7.524751673,11.22497212,6.993476952,7.015959108,7.154222305,7.238387361,7.389852788,7.374932714,7.406658364,7.301544238,7.269249814,7.431591822,0.413406399489633,0.218791075756441,42.7671778608382
"GSM672737",7.695330483,11.29171004,7.294394796,7.187841264,7.238387361,7.522989591,7.573260223,7.400432342,7.562291078,7.487992565,7.316581784,7.520542007,0.323397557499886,0.4582189942118,46.5073097227708
"GSM672740",7.490282156,11.24112156,7.068984758,7.053049071,7.415719331,7.431591822,7.430656506,7.357145725,7.438816357,7.437914498,7.338213011,7.479533457,0.292374028993224,0.546462500276739,47.8857719788491
"GSM672742",7.376822677,10.77255948,6.928560223,6.8905,7.190951301,7.158062082,7.236266543,7.148817472,7.202439033,7.251828625,6.939026766,7.266283271,0.349648128438995,0.386270620231436,45.3833956542935
"GSM672745",7.491115242,12.08812974,7.075526766,7.100415613,7.323299257,7.331414498,7.465363941,7.349563197,7.425346468,7.341880669,7.403995539,7.599091078,0.306514872696229,0.505753443356611,47.2498509808366
"GSM672747",7.098571004,10.04106729,7.001856877,6.983714126,7.070077323,7.124948327,7.300564684,7.168089591,7.236266543,7.174337918,6.939026766,7.288603717,0.108437989886166,1.23487781881753,58.6395891766416
"GSM672748",7.186222677,10.21271413,7.015959108,6.993476952,7.047502974,7.075526766,7.225685502,7.109034387,7.206927881,7.412204089,7.022507807,7.232099628,0.139108858839586,1.08433178386327,56.2878917403002
"GSM672749",7.03734461,10.73466766,6.988712639,6.8905,7.148817472,7.154222305,7.229985874,7.16059777,7.1453,7.564085874,6.997829368,7.233129368,0.474509110950957,0.0639397238688129,40.3482265589405
"GSM672750",7.295504833,10.86867993,6.997829368,6.8905,7.123569888,7.198264126,7.282736059,7.210253903,7.259303717,7.350038662,7.074507435,7.339055019,0.272819647704771,0.604307387929137,48.7893738175753
"GSM672751",7.154222305,10.588729,7.116044981,7.077814498,7.166906691,7.281887361,7.416600743,7.288603717,7.156690706,7.290454647,7.112858736,7.310779182,0.0351329893585431,1.81019225205268,67.6266440541774
"GSM672752",7.275465799,10.63444684,6.983714126,7.03734461,7.117533829,7.085886989,7.229471375,7.19202974,7.21919368,7.292366914,7.185085502,7.258240892,0.0221579946073318,2.01108964049417,70.764885944833
"GSM672753",7.145996283,10.54986357,6.978382528,6.993476952,7.055417844,7.188427509,7.235277695,7.190951301,7.319405948,7.320828439,7.085886989,7.304877138,0.12609703612298,1.14503641694467,57.2361660009603
"GSM672757",7.259303717,11.06212491,7.03734461,6.8905,7.120526022,7.180258364,7.231006691,7.254489033,7.330529368,7.364559851,7.136520074,7.354808364,0.250650244725345,0.672444927120577,49.8537583846203
"GSM672758",7.467078439,11.7060368,7.053049071,7.224612639,7.264314126,7.162046097,7.210253903,7.150183271,7.140640149,7.442474721,6.978382528,7.169377323,0.262265454248684,0.636376723403884,49.2903327039655
"GSM672759",7.515012639,11.40274498,7.176684387,7.460065056,7.343718587,7.407572119,7.330529368,7.454666543,7.310779182,7.48490632,7.150183271,7.32036171,0.078940764797982,1.4122324469374,61.4100668209018
"GSM672760",7.490282156,11.92944684,7.043848513,7.043848513,7.117533829,7.327780297,7.260295911,7.207469331,7.226811896,7.342844981,7.007748885,7.317484015,0.295742435607238,0.53668550343618,47.7330443536278
"GSM672761",7.209154275,11.61880967,7.005772862,7.05993829,7.260295911,7.244748699,7.266283271,7.183873606,7.182719331,7.445860967,7.031287732,7.444192193,0.264241807091851,0.630322485805215,49.1957587416282
"GSM672762",7.18144684,11.70737026,6.8905,6.948236803,7.103652416,7.169377323,7.212406691,7.158062082,7.309210409,7.417417844,7.093293309,7.340946468,0.349594415257942,0.386415691841014,45.3856618350829
"GSM672763",7.430656506,11.74700781,7.21709368,7.071169888,7.124948327,7.11902119,7.273359108,7.238387361,7.18144684,7.458304089,7.066749814,7.420795167,0.244178320920554,0.692924964777551,50.1736794776515
"GSM672764",7.269249814,11.81046245,7.042702602,7.098571004,7.100415613,7.131196654,7.227946097,7.171866543,7.215920818,7.322290706,7.022507807,7.241677695,0.0125769449736863,2.23903114189162,74.3255871259372
"GSM672765",7.117533829,11.42728327,7.028367658,7.096736803,7.177962454,7.17327026,7.296479182,7.218219331,7.269249814,7.400432342,7.019252045,7.386197398,0.155085892157862,1.01486164348643,55.202690452361
"GSM672766",7.342844981,11.58623978,7.55006171,7.395965799,7.400432342,7.341880669,7.429003346,7.431591822,7.358100372,7.533066543,7.196527138,7.243707063,0.0275223850737976,1.91852267205255,69.31888637108
"GSM672769",7.365495911,11.87618959,7.068984758,7.21919368,7.300564684,7.354395539,7.335327509,7.364559851,7.377762825,7.457784015,7.34665948,7.512286617,0.0657027365194099,1.50858264098753,62.915164609811
"GSM672770",7.22019777,11.78330967,6.928560223,6.997829368,7.295504833,7.150183271,7.238387361,7.204681041,7.264314126,7.456380669,6.993476952,7.311718959,0.350712588569569,0.383397337534755,45.3385117650983
"GSM672771",7.117533829,11.56434796,6.939026766,6.983714126,7.068984758,7.116044981,7.222447955,7.223523048,7.244748699,7.259303717,7.05993829,7.359909665,0.147271655163391,1.04820686065729,55.7235800377876
"GSM672772",7.225149071,11.8678974,6.972086245,6.948236803,7.095104089,7.284242007,7.280977695,7.272425279,7.287647584,7.324245353,7.171866543,7.297434572,0.177966880922356,0.923140940206629,53.7699104868967
"GSM672773",7.215920818,12.00570595,7.028367658,7.039841264,7.096736803,7.195415613,7.285741264,7.255019703,7.323299257,7.413545725,7.101133271,7.464571004,0.257605848937407,0.65074408843465,49.5147670141756
"GSM672774",7.128825651,11.72477063,7.061997398,7.079829368,7.064322677,7.229985874,7.215349628,7.187255019,7.290454647,7.324245353,7.096736803,7.318360967,0.021953610622411,2.01497545203819,70.8255866670336
"GSM672776",7.438816357,11.82298996,6.983714126,7.120526022,7.241677695,7.330529368,7.388077695,7.342844981,7.456380669,7.518624907,7.353961152,7.531243866,0.384921844909336,0.292579362934743,43.9198334312221
"GSM672778",7.389852788,11.752071,7.03734461,7.013033457,7.297434572,7.21919368,7.225685502,7.174337918,7.273359108,7.421697026,7.223523048,7.339055019,0.14419714740359,1.06165068510151,55.9335876111502
"GSM672779",7.45382974,11.78084387,6.965320818,7.071169888,7.116044981,7.21919368,7.22019777,7.211828067,7.262255019,7.292366914,7.091472119,7.356145725,0.209768288819533,0.807225498657553,51.959181650324
"GSM672780",7.291402602,11.81046245,7.005772862,6.988712639,7.195415613,7.253958364,7.129661338,7.164477323,7.287647584,7.305377323,6.948236803,7.319405948,0.202322971054685,0.833352523557965,52.3673149996759
"GSM672781",7.533066543,11.74086617,7.066749814,7.264314126,7.327780297,7.383236059,7.182083086,7.169377323,7.188427509,7.075526766,7.095104089,7.152958364,0.245356794988251,0.689174296340277,50.1150898419219
"GSM672782",7.343718587,11.93357212,6.988712639,7.039841264,7.224612639,7.244748699,7.238387361,7.205772862,7.209154275,7.48490632,6.983714126,7.415719331,0.378402375100685,0.309679425514756,44.1869555333945
"GSM672784",7.368476952,11.53395353,7.087793309,7.227946097,7.474620074,7.229985874,7.313760595,7.208010781,7.308666914,7.482289963,7.262255019,7.472380669,0.122609093434661,1.16204253706217,57.5018206168032
"GSM672787",7.551989219,12.03546171,7.122063197,7.318360967,7.400880669,7.419142751,7.455511152,7.269249814,7.494581413,7.569546468,7.462371933,7.640334201,0.242668782141332,0.697743587141093,50.2489517481068
"GSM672792",7.433513383,11.88011524,7.044994424,7.001856877,7.05796171,7.21709368,7.221857249,7.204681041,7.298382528,7.410212639,7.274337546,7.409369888,0.294822829342158,0.539349588038502,47.7746603346224
