"","ytrA","ytrB","ytrC","ytrD","ytrE","ytrF","ywoB","ywoC","ywoD","pval","z","inv_cof_var"
"GSM672728",9.1976171,9.606279554,9.362375836,9.070645725,10.05336431,10.83366729,8.117831227,9.377654647,8.371118216,0.339460080194911,0.413937116655697,11.4252354736779
"GSM672729",9.170989591,9.300388104,9.336265056,9.09434684,10.01140335,10.64676803,8.220548327,9.358621933,8.755100372,0.125367396129222,1.14856646369866,13.4519509222797
"GSM672730",9.031537918,9.224525279,9.286335316,9.187238662,10.05097732,10.65589554,8.297544238,9.430920818,8.697910409,0.130125462005836,1.12579825253184,13.3891373612715
"GSM672731",9.913620818,10.83237323,10.78186134,10.27073271,11.2284513,11.61993123,8.873246097,10.40780558,9.373756506,0.286498670860155,0.563642669137817,11.8382472287599
"GSM672732",9.712572491,10.2433342,10.23955576,9.637282528,10.40392714,11.12754535,8.472410781,10.2065,9.364909294,0.1421622793337,1.07065505522729,13.2370068068467
"GSM672733",10.25985874,10.56290074,10.71943829,10.23297993,10.80762305,11.28091301,8.79387881,10.0633171,9.396359108,0.11921068107328,1.17894177355268,13.5357511543082
"GSM672734",9.114499628,9.747620818,9.721840149,9.260887361,10.37092045,10.85192937,8.431318959,9.45124052,8.579858364,0.249208253994039,0.67698336649059,12.150934631196
"GSM672735",8.97785948,9.41349145,9.405123048,9.000723048,10.03135093,10.56517138,8.213257249,9.230539033,8.656604089,0.144693550049627,1.05946711062722,13.2061412006055
"GSM672736",9.018973606,9.440052788,9.394066171,9.07303197,10.05217361,10.57562602,8.400856506,9.490528996,8.831322305,0.0674662843537621,1.49493054837324,14.4075095915275
"GSM672737",10.53548253,11.06673011,11.2363461,10.77360446,11.37569814,11.7599316,9.753242379,10.42730372,9.615347955,0.0489816080792191,1.65480915587145,14.8485870478282
"GSM672738",10.41887398,11.06557435,11.24836134,10.74508104,11.173071,11.67839033,9.669020446,10.11953383,9.491711524,0.0800232067578826,1.40491547769458,14.159173563181
"GSM672739",10.83472677,11.13121933,11.05514201,10.54986357,11.26665725,11.60205929,9.448824164,10.28401264,9.347269517,0.126216846658781,1.1444581281928,13.4406167344048
"GSM672740",9.143151301,9.2174171,9.416856134,9.219752416,9.899647212,10.47985502,9.265559851,10.87084572,9.987192565,0.0288418427378328,1.89809411345942,15.519768214141
"GSM672741",9.216207063,9.316182528,9.300992937,9.063291822,9.603594796,10.10077323,8.730405576,11.22259814,10.3081487,0.204489438415206,0.825691920179502,12.5611958388563
"GSM672742",9.386327138,9.508453903,9.545039405,9.219752416,9.838756506,10.09834833,8.833879926,11.12637026,10.19817918,0.05964436636291,1.55776598233274,14.5808616979168
"GSM672745",10.25863271,10.15257063,9.966738662,9.281081041,9.475958364,9.843672491,9.230539033,11.99907435,11.284429,0.404792703319675,0.24096091852457,10.9480240276557
"GSM672747",9.352210781,9.596961338,9.720425279,9.26206171,9.813261338,10.15011822,8.910728996,11.64050967,10.80887472,0.301832298888288,0.519137875242001,11.7154661913721
"GSM672748",9.620627138,9.699892193,9.500806691,9.095472862,9.725816729,10.15634833,8.746243494,11.88872416,10.79800781,0.466405012963229,0.0843099194210486,10.5158509852909
"GSM672749",11.10075985,11.23069257,11.31913494,10.77818476,11.2080881,11.34097472,9.678159108,10.25863271,9.709953532,0.0233759635626119,1.98854065694099,15.7692946014064
"GSM672750",10.96004981,11.2654855,11.35883048,10.71840037,11.21293494,11.48922082,9.630351487,10.45853197,9.711259851,0.029660299247336,1.88580973588815,15.48587773876
"GSM672751",11.34998104,11.3353487,11.18631914,10.90858253,11.04454907,11.83214907,9.470373234,10.22599703,9.790525651,0.110137988854948,1.22579460559472,13.6650100232774
"GSM672752",10.86752045,10.84047993,10.69497435,10.39292119,10.45256691,10.85929926,9.442413011,11.26665725,10.88470892,8.84260453635031e-05,3.74997515637576,20.6287880671578
"GSM672753",10.72878178,10.88115093,10.89029628,10.49246059,10.58764238,10.85811264,9.638676208,11.45253383,10.81962416,7.58881336082403e-06,4.32609459037303,22.2182020509877
"GSM672754",10.54287175,10.65717695,10.61667584,9.941332342,10.33848885,10.50936506,9.624618587,11.75559182,10.82410781,0.00337355813556547,2.70907462174362,17.7571233256274
"GSM672755",11.61762454,11.71235911,11.48629777,11.00848364,11.61880967,12.07438996,9.696065428,10.37321041,9.462750186,0.307992053147793,0.501549988472484,11.6669442503858
"GSM672756",11.36849442,11.50648104,11.33291115,10.7701803,11.44763792,11.7445632,9.578355762,10.43461636,9.386327138,0.211989629907668,0.799536726373286,12.4890381779058
"GSM672757",11.29526506,11.65045,11.58755948,11.18467807,11.580029,11.90309033,9.838756506,10.40642565,9.679448327,0.136924863303436,1.09424001330496,13.3020736314747
"GSM672758",10.6237948,10.62734349,10.62021264,10.06210632,11.03646654,11.48922082,9.068281041,9.436229368,8.819794796,0.376261951661612,0.315313147764423,11.1531489824985
"GSM672759",10.8155355,10.60049368,10.36854833,9.986601859,11.27025613,11.4622,9.134895911,9.580311896,8.864891078,0.36610352328905,0.342191147829887,11.227300741041
"GSM672761",10.59240297,10.76373123,10.70047807,10.09014535,11.06212491,11.39101301,9.03881487,9.496931227,8.84304052,0.360059684372495,0.358299264124651,11.2717402509434
"GSM672768",10.18469814,10.59704647,10.83366729,10.09775465,10.94614238,11.58755948,9.137415985,9.206534201,8.674690335,0.46879819405461,0.0782912367732323,10.4992464796968
"GSM672770",10.53120149,10.81364758,10.76552491,10.16372974,11.09961338,11.59011673,9.108434572,9.358621933,8.866158364,0.424320736804764,0.190852094018931,10.8097824380083
"GSM672771",10.6097052,10.629771,10.54625725,10.14402862,11.12936394,11.51118996,9.092923048,9.545039405,8.871863197,0.34573092530012,0.396872003167895,11.3781557738577
"GSM672772",10.74269703,10.53004981,10.42009851,9.908577323,10.94953011,11.39810297,9.102701487,9.42066803,8.791343494,0.338973476948988,0.415266319913615,11.4289025158237
"GSM672773",10.62793773,10.51542156,10.629771,10.1260842,10.99780372,11.4108697,8.934030483,9.362375836,8.689369888,0.433921704358712,0.166398430879802,10.7423190061995
"GSM672774",10.83237323,11.02948476,10.76431338,10.26231375,11.09680465,11.86726952,9.2522,9.681794424,8.903206691,0.427096174096473,0.183771967592275,10.7902495924111
"GSM672778",10.48817732,10.36235093,10.48689405,10.11089517,10.79915911,11.41994833,9.059653903,9.125550186,8.524420446,0.44409326492996,0.140599263803807,10.6711435614879
"GSM672779",10.28593141,10.45966691,10.45730818,9.905337361,10.8927461,11.33162788,8.96372119,9.086720446,8.530658364,0.458688118742833,0.103739300654268,10.5694532913526
"GSM672780",10.48689405,10.78641524,10.61201561,9.943906691,11.0313039,11.32697918,8.887666543,9.241455019,8.64100316,0.489119656400757,0.0272763587934838,10.3585052450507
"GSM672781",10.27181115,10.70047807,10.63199814,10.01376952,10.94614238,11.46338662,9.070645725,9.323555762,8.768348327,0.385423734739709,0.291266548232197,11.0868085688539
"GSM672782",10.58636245,10.59704647,10.41760929,9.83315,10.81670056,11.35825762,9.005653532,9.278698513,8.62690223,0.407837603920271,0.233111007184453,10.9263674784759
"GSM672783",10.48220409,10.62500372,10.35158587,9.873116357,10.66206617,11.53162528,8.975872119,9.304019331,8.528750929,0.460579640148067,0.098973538306787,10.5563053764036
"GSM672784",10.97143346,10.95058736,10.21655725,9.864209294,11.03873829,11.56687732,9.156086245,9.443779926,8.878179926,0.432373628396741,0.170334275964478,10.753177322803
"GSM672785",10.69834424,10.94154387,10.60519108,10.05217361,10.74750632,11.69219926,9.27505948,9.56301487,8.768963569,0.378111275792331,0.310445035071987,11.1397187006305
"GSM672795",10.4224948,10.73702082,10.45792007,9.791836059,10.8462368,11.61633606,9.175440149,9.362375836,8.637964684,0.436953178631897,0.158698579660284,10.7210764469669
"GSM672805",10.93087398,11.25395297,11.10436394,10.52138327,11.49827212,11.8469671,9.201721561,9.805604833,9.090420074,0.458743602331632,0.10359947455748,10.569067535309
"GSM672806",10.34922342,10.57917807,10.5733777,9.975315242,10.98396803,11.42599665,8.998344981,9.24590948,8.491805204,0.492326839777502,0.0192349464047182,10.3363203775628
"GSM672816",10.43873606,10.64018309,10.7218171,10.12073346,10.93189145,11.61993123,9.148971747,9.437442007,8.70936803,0.410286746415959,0.226807421152324,10.9089769736664
"GSM672817",10.42954089,10.50555074,10.51419851,10.03985799,10.9214461,11.53101264,9.052309665,9.207777695,8.56395316,0.472954199981681,0.0678457807039431,10.4704292710343
