"","folD","purR","glyA","ispE","nusB","pbuG","pbuO","pbuX","purA","purB","purC","purD","purE","purF","purH","purK","purL","purM","purN","purQ","purS","xpt","yabJ","pval","z","inv_cof_var"
"GSM672693",13.0185829,12.37427993,13.94393941,11.70220223,13.64061375,11.20930781,8.545669888,12.81155353,13.08300781,13.2692461,13.94112825,13.20690632,13.00624349,13.94646394,13.68413234,13.44724164,13.74743383,13.34303457,13.61981078,13.61745502,13.79092788,12.80310595,13.59032751,0.406918836387007,0.235478102452717,10.8798031065403
"GSM672694",12.86961896,12.35709721,14.07896877,11.5375197,13.46569219,11.30249071,8.467777323,12.76756729,13.21222714,13.3970368,13.92068736,13.17595502,12.90213346,13.96283048,13.66527955,13.40092937,13.7497,13.22823327,13.66754238,13.60378104,13.54539665,12.87794796,13.79092788,0.430616609306758,0.174804542863628,10.7087160834004
"GSM672696",13.2904829,12.49718067,14.21958662,11.7975223,13.73590855,11.83742714,9.756601673,13.15417807,13.35919071,14.19849442,14.77594758,13.81818216,13.50399368,14.77223197,14.14415112,14.17513717,14.5973803,13.73822305,14.12176357,14.52588253,14.38725613,13.13574721,13.56426171,0.307831115022068,0.502007521685166,11.6313615320638
"GSM672704",13.5255539,13.17780409,14.84014647,12.37568327,14.12791078,13.00896617,10.93087398,12.75841524,14.21655688,14.23157435,14.8074855,14.24770112,14.41536729,14.75366506,14.77223197,14.48566134,14.64447732,14.36693011,14.76273346,14.50400372,14.45737881,13.10697379,13.77427435,0.0745130032957484,1.44298035037039,14.2847123689946
"GSM672705",13.49568401,13.22356468,14.61295725,12.35933978,14.02124647,12.96003271,10.83819963,12.91816022,14.24770112,14.32986134,14.8030119,14.07618625,14.31325613,14.73161599,14.6242052,14.56695242,14.5973803,14.3002197,14.72779442,14.5439829,14.50400372,13.07616431,13.64276654,0.0706428059881062,1.47102035577649,14.3637794467505
"GSM672706",13.02854461,13.4302974,14.60551747,12.41861375,13.7522145,12.49129033,10.75825539,12.76159257,13.8509658,13.95989033,14.64045799,13.77175465,13.84114201,14.43247509,14.40126208,14.19849442,14.26634535,13.82056989,14.31325613,14.22564647,14.36337323,12.75841524,14.01692193,0.0505186293605362,1.63984567442299,14.8398323006375
"GSM672707",12.66429145,12.78984721,14.21958662,12.42567472,13.18522751,11.43157268,9.674375465,12.31454387,11.88133755,12.97208327,13.40092937,11.93482268,12.78364684,13.40928959,12.55092639,13.25970781,13.06050818,12.43176617,12.68871301,12.9632026,13.00465167,12.37832454,13.5255539,0.075477126162419,1.43616901929924,14.2655058090948
"GSM672708",12.92314349,12.83733197,14.35301933,12.4133539,13.46152045,11.50178625,9.693599628,12.36369665,11.79984164,13.01151115,13.57540669,11.93482268,13.12992751,13.35442714,12.66205019,13.45520892,13.28452677,12.47178253,12.96003271,13.1395539,13.07116617,12.61808885,13.61280632,0.106444018168724,1.24566328965662,13.7283186324006
"GSM672709",12.57565725,12.77089368,14.08764126,12.45830409,13.17966803,10.96463569,9.482216543,12.08541747,11.44184461,12.78208439,13.35537045,11.30483197,12.43612565,12.96858699,12.32301375,12.99596394,12.85414851,11.87881301,12.44216766,12.51292732,13.18522751,12.17600892,13.50399368,0.173935323699247,0.938727544936932,12.8628226368638
"GSM672710",13.62222788,13.15779442,13.64276654,12.66355688,14.0958948,12.22879703,10.93517045,11.34337435,15.13492268,12.57565725,13.04813494,13.52764833,12.85683234,13.21968216,13.6561342,13.0185829,12.64338773,13.1468632,13.6744539,12.57097026,12.59637175,11.33658364,13.55356059,0.0981687646373134,1.29205664312738,13.8591383962738
"GSM672711",13.38058216,13.10414349,13.59952639,12.44648699,13.9974171,11.87881301,10.93698327,11.11935985,14.74027026,12.23010929,12.63599665,13.2749487,12.39153123,13.01521004,13.33142937,12.51217212,12.20520706,12.84668736,13.49333755,12.1703171,12.30338885,10.97369777,13.72863755,0.139380969314833,1.08310473250986,13.2699367636507
"GSM672712",13.47196803,12.95315316,13.50188959,12.29465353,13.81090595,11.75931078,10.85192937,11.12404238,14.21958662,12.30816375,12.98548327,13.15065688,12.28956822,12.79584424,13.52997026,12.40656468,12.25424572,12.47040149,13.32027082,12.11190799,12.59489368,11.05971004,13.69524554,0.0862386506932037,1.36428685499441,14.0628128141386
"GSM672716",13.34118773,13.17256729,14.41536729,12.08289703,13.95159331,12.30886543,9.647648327,13.06752156,13.73822305,13.87933941,14.60915242,13.85627844,13.97636729,14.51807323,14.42564907,14.22564647,14.39460335,13.94393941,14.39777584,14.29703011,14.32986134,13.22169145,13.93848699,0.222973407606615,0.762189662113264,12.3650219301265
"GSM672717",13.36243383,12.99767955,14.46409554,12.09768922,13.85627844,12.32742639,9.556754275,13.02196208,13.58176394,13.8485,14.47455279,13.70143383,13.96540669,14.44658587,14.177971,14.16497323,14.3082671,13.8509658,14.27576691,14.22564647,14.17513717,13.12800297,13.92820372,0.21568462928217,0.786850719738481,12.4345610665337
"GSM672718",13.21581859,13.16149219,14.56695242,12.27423903,13.95716766,12.43471264,9.611350558,13.17966803,13.58822193,13.83859442,14.46059071,13.83099145,13.89249665,14.57775836,14.37716803,14.21958662,14.41869665,13.81582714,14.24770112,14.32280074,14.18383309,13.15971115,13.73590855,0.199350657848417,0.84394289694606,12.595549324173
"GSM672725",12.92314349,12.5897171,14.62074498,12.27423903,13.40705576,11.59151078,9.084210409,11.95618216,11.95349405,12.32020335,12.33152714,12.12371933,12.11942565,12.53408699,12.50036468,12.54641822,12.16032193,11.70109888,12.05132193,11.82445613,11.85151487,12.22879703,13.67938253,0.206772552402345,0.817670945964561,12.5214677981188
"GSM672726",13.44939033,12.85165985,14.54011041,11.75077844,13.9054052,12.46166171,10.71478104,11.48984164,13.89762082,12.30672212,12.10452751,11.00720223,11.69867212,11.81292007,11.47064201,12.46005688,11.68483494,11.19638364,11.61880967,11.72728216,11.74211264,11.40038773,14.11871338,0.327619724301396,0.446495380697004,11.4748286532595
"GSM672727",13.02507807,12.69864721,14.54790446,12.08884089,13.61520669,11.84635353,9.036495167,12.46749591,12.54092193,12.79415204,12.84075093,12.25706059,12.35069814,12.76600149,12.68798067,13.15227509,12.51075985,12.04866431,12.69099182,12.38563941,12.34492491,12.44072714,13.90030558,0.182419643153231,0.906182458018086,12.7710521510627
"GSM672729",12.22743866,11.44420669,13.26346171,10.7218171,12.74756208,10.1452829,7.914788104,10.3481119,10.53447063,10.91444461,11.1518223,10.75712379,10.68267491,11.2080881,11.08210335,11.22958513,10.94614238,10.66789145,11.10905242,10.91329926,10.82892454,10.32673104,12.85326877,0.483824536685281,0.04055698944897,10.3301654522346
"GSM672730",12.02317361,11.59652825,13.49333755,10.90965465,12.63451004,10.0087881,7.871095539,11.42249628,10.17751747,11.23868885,11.8387684,11.14255428,11.17064349,11.87245242,11.69607844,11.41278104,11.64539052,11.12404238,11.57750409,11.41145911,11.43100372,11.47842751,13.12422305,0.468340409432317,0.0794423069630123,10.439814090989
"GSM672731",12.85326877,12.71191784,14.63629591,12.33234981,13.58394275,11.64349257,8.605266543,12.08145093,12.18289145,12.40272138,12.30886543,12.01111041,11.88011524,12.59637175,12.48971413,12.40805911,12.2758855,11.86338253,12.20774981,11.802529,11.9083223,12.14299442,13.77875762,0.318856855919543,0.470897810265067,11.5436385114655
"GSM672733",12.98028141,12.74905093,14.72338401,12.25010112,13.57750632,12.14044424,8.965011896,12.3683684,12.64667732,12.51075985,12.53408699,12.18972751,12.50329219,12.6583013,12.44963011,12.90971413,12.30338885,12.01585186,12.47327881,12.30054126,12.25424572,12.38124796,13.7522145,0.190285767178596,0.876843709314161,12.6883228829532
"GSM672734",11.89411264,11.27143494,13.52764833,10.89689591,12.25079164,9.674375465,7.865181413,10.55470335,10.57802751,11.01917918,11.50759814,10.96463569,10.69380223,11.68098401,11.3876119,11.27734684,11.40038773,10.98619703,11.26915056,11.04454907,10.98844647,10.60167435,12.96701115,0.484674900823689,0.0384237795404463,10.3241502367856
"GSM672736",11.6386974,11.25937026,13.65857993,10.62139108,12.1703171,9.737737361,7.868198885,10.73466766,10.43317955,11.21293494,11.580029,10.91574907,11.1493119,11.61378959,11.37927323,11.55433086,11.38041859,11.02024349,11.41400037,11.25749758,11.26915056,10.77595948,13.15227509,0.492908710854089,0.0177761620196603,10.2659281802509
"GSM672738",13.27106394,12.75389331,14.12469963,12.24872342,13.58176394,12.80924201,10.59128327,11.44532602,13.75689926,12.24615948,11.81669368,10.59470558,12.04223755,11.32531543,11.10672639,12.58894312,11.37323197,10.83819963,11.05279405,11.40038773,11.45741599,11.43817398,14.13440409,0.401541785719745,0.249358386403001,10.9189426671244
"GSM672739",13.26739145,12.58894312,14.40846283,12.24736022,13.92820372,12.6866171,10.5378948,11.62863903,13.92297026,13.14508736,13.27297993,12.45691115,12.67413941,13.27671636,13.16865353,13.17256729,13.13574721,12.70008885,13.1468632,12.83418104,12.92992751,11.83344498,13.97082379,0.0329334538705019,1.83932833569764,15.4023325876924
"GSM672742",12.70912007,12.21777212,14.5149171,12.03001301,13.29341561,11.10549071,9.125550186,11.15065874,12.86639294,11.01917918,11.44420669,11.73784907,11.06673011,12.33152714,12.37568327,11.29171004,11.98320223,11.72348773,12.27279517,11.3224881,11.29404387,11.53162528,13.04813494,0.345330973158882,0.397956913471844,11.3379601075278
"GSM672744",11.65346208,12.91142379,13.41777658,12.67568848,12.56087937,11.85025242,10.99543978,12.26726022,11.53860669,12.16733941,11.50480056,10.18235576,12.39153123,10.8426684,10.61782416,12.73350074,10.81962416,10.44395465,10.83472677,11.09961338,11.03527658,12.14521264,13.6081974,0.249376734091199,0.67645238364978,12.1232603482484
"GSM672758",13.35250967,13.20863941,14.68241227,12.25859294,13.75689926,12.47541729,9.772573978,13.19436877,13.7405171,14.10748848,14.78475056,14.18104015,14.07336952,14.9261052,14.66569628,14.30992379,14.69494015,14.26004424,14.52588253,14.60915242,14.55987026,13.36832156,13.85909405,0.25114811946864,0.67088116042678,12.107550638732
"GSM672759",13.24435279,12.98028141,14.66569628,12.36528178,13.90805539,12.45543494,9.71651487,13.06578587,13.77175465,14.25402268,14.96705799,14.37716803,14.22564647,14.90736059,14.86847249,14.30992379,14.83115242,14.3837368,14.55987026,14.61295725,14.66993086,13.33340483,13.9789632,0.306889276296138,0.504687200163386,11.638917677062
"GSM672760",12.78678773,12.73977435,14.32986134,12.27143792,13.77660149,11.8281881,9.200495539,12.77328086,13.03040297,13.58822193,14.38725613,13.91831896,13.54539665,14.49691561,14.41869665,13.73822305,14.34949888,13.81090595,14.27576691,13.96540669,14.13102342,13.00624349,13.84343978,0.337923439970094,0.41813710159743,11.3948641088125
