"","bacA","abrB","codY","scoC","bacB","bacC","bacD","bacE","bacF","nprE","pval","z","inv_cof_var"
"GSM672799",10.1897539,14.35627175,13.19436877,13.20139963,10.31281784,10.3660829,10.40910855,10.14026543,9.899647212,9.795699628,0.022713090094212,2.00068654621387,43.3416469131489
"GSM672800",9.89214461,14.19849442,13.18522751,12.82942007,10.17371152,10.26231375,10.30092751,10.04283792,9.993965056,9.794347955,0.00184833989860864,2.90294802695991,53.1648219549589
"GSM672801",9.926298885,13.83859442,13.22169145,13.06929071,10.17872528,10.27181115,10.33356431,10.04472379,10.00393271,9.665223792,0.0187971830883504,2.07925013047903,44.1969907980619
"GSM672802",9.883156134,14.5973803,13.42601599,13.38685874,10.28526989,10.33848885,10.3081487,10.04345948,10.00507361,9.757848513,0.0180026774075896,2.09686695135833,44.3887900922471
"GSM672803",10.21518253,14.50400372,13.34303457,13.4511197,10.42730372,10.54804814,10.56517138,10.29234758,10.19443086,9.888286245,0.0216738457459038,2.02034425370649,43.555665915114
"GSM672804",10.50714535,14.01388922,13.21222714,13.2786855,10.60049368,10.67870929,10.6508487,10.287729,10.42133532,10.02011078,0.0174108647931116,2.11042541128138,44.5364048668592
"GSM672805",10.91574907,13.44724164,13.25369033,13.57540669,10.93189145,11.04224089,11.05279405,10.81730223,10.54045279,9.972934944,0.279446191230403,0.584487485535113,27.9230885861423
"GSM672807",9.828678067,14.72779442,13.39100595,13.13574721,9.947730112,10.13658327,10.10459219,9.791836059,9.793090335,9.50463829,0.0131264922631583,2.22244888873248,45.7560360395039
"GSM672808",9.727094424,14.84911041,13.44724164,13.21777212,9.99890223,10.05704498,10.06085762,9.507092565,9.841120818,9.493057993,0.0444877157303671,1.70082724595028,40.0769941963242
"GSM672809",10.04980929,14.71898885,13.71644461,13.3572448,9.976483271,10.14765651,10.17617398,9.895909665,9.798108922,9.780388104,7.55153058397655e-05,3.78936870213724,62.8155336818371
"GSM672810",9.849930112,14.22852825,13.25369033,12.96003271,10.3261487,10.48817732,10.28401264,9.749528253,10.04591561,9.744597026,0.137472465243617,1.09174561264265,33.4457507858384
"GSM672811",9.723099628,14.5149171,13.4511197,12.83257361,10.10585762,10.05582602,10.19937509,9.92234461,9.816794796,9.613957249,0.0112351335982532,2.28232317659871,46.407904286974
"GSM672812",10.01256431,14.70664796,13.49333755,13.21777212,10.20419591,10.29473086,10.37321041,10.03318327,9.972934944,9.843672491,0.001878750120479,2.89783348807322,53.1091385285751
"GSM672813",10.33478216,14.3002197,13.36832156,13.12244907,10.46088141,10.49909703,10.53004981,10.16249219,10.06448922,10.10077323,0.00239586196609961,2.82071173866865,52.2694923061682
"GSM672814",10.47046803,13.88999294,13.29628699,13.34118773,10.58402416,10.75546933,10.67743309,10.3503487,10.22354126,10.15378364,0.0127354373945861,2.23418542875914,45.8838150586988
"GSM672815",11.09271227,13.57540669,13.06405353,13.5255539,10.96004981,11.09566766,11.0330539,10.66082342,10.46688848,10.07056989,0.287196627188103,0.561593141469461,27.673831409566
