"","spo0E","abrB","rok","yydF","yydG","yydH","yydI","yydJ","pval","z","inv_cof_var"
"GSM672654",11.3750842,14.05925799,13.04265836,14.77594758,12.55874387,13.09676506,13.29444201,13.11699257,0.420106691730464,0.201620543742536,11.8113744785281
"GSM672656",11.32081896,13.77175465,13.12800297,12.74756208,10.44165911,10.67147621,11.74700781,11.70737026,0.211737486559041,0.800407092398678,13.7177958009197
"GSM672657",12.29753643,11.81669368,12.40042639,14.88755316,13.97367398,13.94112825,14.11871338,14.08764126,0.0538498818227044,1.60861860433196,16.290985968284
"GSM672658",12.03818364,11.62122007,12.90438755,15.72398736,14.86847249,14.93051896,14.9261052,15.22980632,0.495271309878043,0.0118533459252423,11.2071921818126
"GSM672659",11.82298996,11.99250855,12.51368253,15.49114684,14.34210483,14.28826431,14.25115204,14.43607286,0.44199080934151,0.145923704146048,11.634046442628
"GSM672661",12.07172602,11.3258513,12.32584796,15.71599665,14.88755316,14.86360112,14.78045019,14.9261052,0.450879983623169,0.123438379191932,11.5624574882174
"GSM672683",12.17742788,14.82197844,12.55561822,12.97545799,11.17430409,12.4632171,12.40504387,12.61808885,0.00257216739734215,2.79785407734091,20.0772832192442
"GSM672684",12.12665576,14.96705799,12.85165985,13.17780409,10.8617461,12.09898662,12.19392119,12.233029,0.0494332438443675,1.65037389146081,16.423926779803
"GSM672685",12.48208364,15.19678141,12.93810186,13.90030558,11.26048625,12.10021896,12.39750149,12.50329219,0.142948043171626,1.06716776404457,14.5671105250774
"GSM672686",12.07722007,14.88755316,12.86008625,12.21330186,10.29585874,11.74211264,11.83606431,11.98649628,0.0439329571989623,1.70676406345788,16.6034622528523
"GSM672687",11.77082305,14.63629591,12.65605019,12.17742788,10.29861822,11.69475316,11.88011524,11.98993309,0.0291167922006966,1.89393540451239,17.1993798403929
"GSM672688",11.82298996,14.84911041,12.69099182,12.74756208,10.57447881,12.00707993,12.10516877,12.18706394,0.0483157291739825,1.6614083678392,16.4590584324702
"GSM672698",13.06224758,11.05744312,13.78122565,16.07966952,15.98063123,15.81157807,14.92148885,14.60733494,0.276496348856114,0.593281619309257,13.0583480908896
"GSM672699",13.56203011,11.20930781,13.66987732,15.89411301,15.63961115,15.4060026,14.78475056,13.91831896,0.0828971434443779,1.38584484047873,15.5817171070639
"GSM672700",13.04626283,11.29765019,13.60160558,16.26199628,15.6989948,15.57326431,14.92148885,14.18664647,0.310399044402726,0.494719565171809,12.7445454478475
"GSM672701",13.23309777,14.55173829,12.82026617,15.97278996,13.55136803,14.18104015,14.26634535,14.05645093,0.118120815546842,1.18443318327105,14.9404610889708
"GSM672702",13.46569219,14.52939071,13.07957993,15.91765762,13.26433011,14.11735892,14.16922491,14.26634535,0.104080799416842,1.25863666100505,15.1767107049069
"GSM672703",13.24788216,14.5931777,12.74293383,16.20058401,13.74509665,14.32986134,14.42209108,14.3805052,0.156406146718222,1.00933855961416,14.3829934492504
"GSM672704",10.4224948,12.91305019,12.44648699,13.44724164,12.20520706,12.74293383,13.14143123,12.90826059,0.464452555027159,0.0892224675589972,11.4535205996909
