"","folE2","zur","rpmEB","rpsNB","yciB","yciC","yczL","zinT","znuA","znuB","znuC","pval","z","inv_cof_var"
"GSM672736",7.37402119,11.76822193,8.450677695,7.956737175,7.48316171,7.268254275,7.485827881,7.840111338,8.522198513,9.003201487,8.809375836,0.0030687203709752,2.74034669002872,12.6450086980412
"GSM672740",7.589801115,11.28929814,10.47153086,8.43369145,7.541188476,7.397816729,7.539566543,8.400856506,9.719139405,9.670372119,9.628471004,0.363945373609015,0.347932672684276,7.57006421591259
"GSM672741",7.378231784,11.45190613,10.02884981,8.595686989,7.522989591,7.358557621,7.600063197,8.576081413,9.940048699,9.552804833,9.61657658,0.323230338495182,0.458684596552357,7.80499841243737
"GSM672742",7.350514126,11.42134944,9.611350558,8.582377695,7.354395539,7.445059851,7.629038662,8.546823048,9.844852788,9.719139405,9.698559851,0.295415336855353,0.537632665885772,7.97246820066535
"GSM672746",9.208952416,11.73118327,12.74756208,11.67314796,9.192094796,10.66789145,11.33044126,10.70654424,14.28199294,10.73466766,11.13711487,0.406392692548918,0.236834242992878,7.33439498866014
"GSM672747",9.2174171,11.48265204,12.54480855,10.61782416,9.10020223,10.1390197,10.95418476,10.67624981,14.29400892,10.81124015,10.90736766,0.440127354446287,0.150646334396559,7.15156758170379
"GSM672748",8.99140223,11.72348773,12.43471264,11.30904703,8.941266543,10.21397621,11.07026989,10.94269926,14.46409554,10.89157584,11.33414907,0.48778348214009,0.0306270565260899,6.89697487009033
"GSM672766",7.944212825,10.79103494,10.19937509,8.511257993,8.080440706,7.711727881,7.909552788,8.174248327,11.02147063,10.13419145,10.54562361,0.467127028299299,0.0824937897087041,7.00699796369488
"GSM672777",7.541188476,10.65717695,9.780388104,8.065120818,8.100355762,7.808284015,8.040285502,7.528486617,10.10585762,9.354954647,9.951659108,0.248918072367718,0.677898352372628,8.27000891331281
"GSM672796",7.531243866,10.94041004,9.389882528,7.621493309,7.607456506,7.501630112,7.656668401,8.092948327,10.76431338,9.421905204,9.964272119,0.459563659671594,0.101533054613763,7.0473852928416
"GSM672806",7.614147955,10.8880052,9.729824164,7.810275465,7.493678439,7.312733086,7.462750558,7.940559851,9.851207435,9.61657658,9.721840149,0.358039162589137,0.363704978677678,7.60352145896976
"GSM672816",7.627140892,11.17241543,9.651572119,7.832513011,7.464086617,7.315158178,7.353031784,8.041408922,9.916043494,9.791836059,9.924944238,0.416076715735536,0.211940528627955,7.28158881989501
