"","comZ","spo0A","divIVA","dnaA","dnaG","dnaN","ftsE","ftsX","med","metS","parA","parB","pdeH","pdxS","pdxT","pit","sacT","sepF","tagV","tkt","tsaC","yabD","ykaA","ylmD","ylmE","ylmG","ylmH","yqxD","yqzC","yqzD","yrrL","yvyE","ywcI","yydA","pval","z","inv_cof_var"
"GSM672716",11.73118327,12.95401859,13.21777212,13.15417807,13.8485,12.50189554,12.94290967,12.33601004,11.7445632,12.69711524,12.93148625,12.79137658,10.52138327,14.961471,14.86847249,13.02672268,11.18467807,13.33519294,12.37973866,13.96283048,10.05522621,10.8370197,13.76919963,13.4302974,13.38265911,14.07618625,12.66502602,14.01833253,11.50287249,12.99596394,11.07504796,12.34049442,10.71597138,11.35058922,0.156536408253399,1.00879529810484,10.3436661133206
"GSM672717",11.83996506,12.89221561,13.17423792,13.05860929,13.7109197,12.37705167,12.75551227,12.25706059,11.61633606,12.64979145,12.87464238,12.86961896,10.4357777,14.8074855,14.98346506,12.87134275,11.9083223,13.17256729,12.1967829,14.12469963,10.19692082,10.69834424,13.70641859,13.39879777,13.32130186,13.96283048,12.83584424,13.94520167,11.5375197,12.82026617,10.99780372,12.09369554,11.7049197,11.29171004,0.0824164656702214,1.38899940380849,10.8865259770273
"GSM672718",11.9506539,13.06752156,13.40705576,13.13574721,13.78966673,12.37705167,12.94463234,12.40194684,11.50890743,12.70550669,12.77089368,12.83418104,10.49909703,14.87743532,14.91633309,13.19629331,12.15959647,13.36020558,12.37289182,14.22852825,10.30341896,10.71350892,13.73822305,13.48460855,13.43237621,14.00590855,12.83733197,13.8692948,11.580029,12.86164312,10.99318253,12.25859294,12.03948625,11.31557286,0.0700332559606156,1.47554338983214,11.0100944912876
"GSM672719",11.88637695,12.18972751,12.20774981,12.36217918,13.86138401,11.30014833,12.94628513,12.23151078,11.173071,12.3683684,11.31387602,11.27385204,9.369944238,12.99076729,13.12244907,12.3842197,11.31787472,13.43859219,12.10308439,13.3970368,9.777935316,10.68093011,13.17873606,13.66987732,13.53887881,13.9789632,12.40656468,14.16357621,10.85690223,12.07172602,11.49468773,12.28434275,10.14765651,10.09368364,0.281079676947137,0.579637122027578,9.73090905604796
"GSM672720",12.00570595,12.13914164,12.42432045,12.24872342,13.92820372,11.30724907,13.00110632,12.28089238,11.15801487,12.33753643,11.24473197,11.22497212,9.387413383,12.80000632,13.06752156,12.55718141,11.34097472,13.51480558,11.95618216,13.60378104,9.762339033,10.50936506,13.42184944,13.59952639,13.61280632,14.12791078,12.27727844,14.24770112,10.68212305,11.93222788,11.580029,12.15595799,10.16625242,9.832570632,0.381674773944264,0.301085171817575,9.33318932746587
"GSM672721",11.67638104,12.07040112,12.33753643,12.35132732,14.01388922,11.27734684,13.03748513,12.31098309,11.13711487,12.46461859,11.44420669,11.40274498,9.451895167,13.07616431,13.12605204,12.2758855,11.04701784,13.47410706,12.16591599,13.55877193,9.796913383,10.6382342,13.34118773,13.71904721,13.62670483,14.11328476,12.4661171,14.22263903,10.76719275,11.99392119,11.53395353,12.61945911,9.024631227,10.0742026,0.48479520244603,0.0381220071519153,8.95772744899378
"GSM672722",13.09848885,12.61945911,13.16149219,13.98436729,14.21655688,14.05645093,13.18357249,13.13574721,11.4235684,13.48236691,12.69237249,12.79137658,11.61507807,14.2572026,14.32280074,14.32645576,9.918536803,13.04989703,13.51702342,14.72338401,11.73118327,11.20569219,15.00514164,12.97545799,13.1468632,13.7109197,12.52835316,14.00730093,13.19629331,14.29703011,12.38124796,13.11192862,8.399660595,11.95744758,0.333665709434962,0.429813352826112,9.51698892812558
"GSM672724",12.59922416,12.72346599,13.01695428,14.02572788,14.22263903,13.78374796,13.50622305,13.06050818,11.69219926,13.77427435,12.98986914,13.18357249,11.93752491,13.96823197,14.26634535,14.37716803,10.57280725,13.4367223,13.64514461,14.86847249,11.38266952,11.44888067,14.9914171,13.48916357,13.42404535,14.04552862,13.03222825,14.28199294,12.68944535,14.01388922,12.06917695,13.39879777,8.56395316,11.43817398,0.251358700907425,0.670220242196823,9.86024469322684
"GSM672725",12.69099182,13.12800297,13.62670483,13.27297993,14.13440409,13.24435279,12.47178253,12.58745911,11.73589108,13.56426171,13.13574721,13.19436877,11.67967361,14.47120892,14.55987026,12.96701115,9.873116357,13.2291658,13.2692461,14.78045019,11.51739071,11.63192007,13.68413234,12.91305019,13.15322658,13.70401115,12.5312223,13.69645948,12.8108052,13.91054387,11.73722937,12.65138587,8.387723048,12.54327509,0.189609509489887,0.879336190047762,10.1588228864822
"GSM672726",12.57565725,12.44072714,12.90826059,13.24083643,14.17215799,13.48916357,12.60364461,12.57407212,11.8217948,13.55989331,12.99944721,13.30005502,12.18972751,14.72779442,15.01592007,14.19217844,9.543722677,12.97208327,12.8156342,14.9261052,11.18737082,11.44062416,14.6281855,13.01695428,13.06752156,13.94912751,12.49575204,14.14266803,12.84824535,14.26946022,12.33911152,12.74445799,8.20664052,12.06224721,0.43193000919519,0.17146262212505,9.14811273675106
