"","accA","spo0A","accD","kinA","kinC","ktrC","racA","sirA","spo0F","spoIIE","txpA","yerB","yerC","yisK","yisL","ykqA","yneF","yodL","yppD","yppE","yusD","yusE","pval","z","inv_cof_var"
"GSM672613",13.47410706,14.39460335,14.27893866,11.16154387,10.60630929,12.98028141,13.94912751,10.60851896,14.24448885,12.23579331,12.66046617,14.22564647,13.71644461,12.20380818,11.76822193,10.33973569,13.17062045,12.47178253,10.7487777,12.34942305,11.77196952,11.30132639,0.00708222339254022,2.45306569392775,9.56831551482921
"GSM672614",13.50622305,14.19217844,14.31970743,11.26915056,11.07273717,12.97208327,13.85627844,11.28562714,14.37361413,12.2903119,12.73507807,13.99478104,13.15971115,12.04992751,11.7148948,10.629771,13.54925019,12.37289182,10.81843457,12.25010112,12.09898662,11.21065762,0.000489604945330089,3.29643293850646,10.5642312542839
"GSM672615",13.50188959,14.28666152,14.39460335,11.23174721,10.51055874,13.20315836,13.71375353,11.08210335,14.23481264,12.23151078,13.04989703,14.0958948,13.8692948,11.84897658,11.31439294,10.51776357,13.52997026,12.45247361,10.69610112,12.05212268,11.8217948,11.33772937,0.00759458101560116,2.42783714459996,9.53852361868827
"GSM672616",12.90826059,13.80104535,13.90805539,9.666511896,10.87723178,12.84824535,12.0542368,9.202943866,12.82640149,11.5059539,11.65346208,13.81090595,13.23891599,10.97636673,10.82065651,10.20170595,12.61394312,11.40524758,8.96094052,11.75678996,10.88349665,10.85080967,0.0999662110122058,1.28174412097719,8.18512497955175
"GSM672617",13.11887398,13.63515911,14.12469963,9.926298885,10.78880818,12.80924201,12.14239145,8.951537918,12.90368476,11.61378959,11.05060483,13.88212491,13.05512156,10.94725613,10.57109665,10.2203197,12.24164052,11.19267138,8.634157249,11.36612639,11.17657509,11.14034721,0.163879865562859,0.978636270729499,7.82719089952384
"GSM672618",12.39295911,13.66987732,13.22549963,11.17657509,10.94669926,11.05744312,13.24969777,10.50141338,12.90971413,12.38563941,10.65251152,14.21655688,13.68882788,11.78463792,11.284429,9.740756506,12.26860632,12.26005576,10.5722368,11.30724907,11.19509517,9.856439033,0.00934144360999194,2.35179860718601,9.44873121009942
"GSM672619",12.43780892,13.87415316,13.06929071,11.42728327,10.69380223,11.34699628,13.23109554,10.64806134,13.09337732,12.23579331,10.96685353,14.34949888,14.01974312,12.13388587,11.42471599,9.730959851,12.35195651,12.28742007,11.02024349,11.41517398,11.43328625,10.0484855,0.00494343056099843,2.57976136133299,9.71792792875764
"GSM672620",12.84668736,13.77660149,13.65160669,10.43080074,10.15634833,11.56434796,13.19629331,11.7543855,13.48236691,13.4450803,11.56050372,14.40846283,14.18104015,10.6382342,8.650404461,9.424471375,13.52354052,11.43817398,12.09093494,12.26005576,11.40649405,10.4644316,0.250014939297355,0.674442738988228,7.4679747596407
"GSM672621",12.84668736,13.77427435,13.55765056,10.77595948,9.959482156,11.58256431,13.00986097,12.08006543,13.63843383,13.30585762,11.18032528,14.58155874,13.84591078,10.7487777,9.126830483,9.565701487,13.61280632,11.71601041,11.81170372,12.10581004,11.62932714,10.66314126,0.142582637623625,1.06878785025529,7.9336491210917
"GSM672622",13.29628699,13.88486654,14.15158996,10.2294197,10.81962416,11.61259814,13.11887398,11.75077844,13.56651933,13.5255539,12.0286052,14.71898885,13.7935658,11.10315688,9.319698513,9.1897829,13.6722223,11.8646974,11.96693457,12.35933978,12.08812974,11.26048625,0.134688478703111,1.10449849185699,7.97581911318681
