"","cgeC","gerE","cgeD","cgeE","cotQ","cotS","cotSA","cwlH","ftsY","spoVIF","gerR","spsA","spsB","spsC","spsD","spsE","spsF","spsG","spsI","spsJ","spsK","spsL","sscA","sspG","yeeK","yfnD","yfnE","yfnF","yfnG","yfnH","yjzB","ykzQ","ylbD","ylbE","ymaG","yodU","yppG","ytxO","yurS","yxeE","spoIIID","pval","z","inv_cof_var"
"GSM672721",7.296479182,9.034102602,8.447001487,9.55144052,8.723092565,7.797280669,7.475986245,7.247768401,11.2284513,7.668779182,8.458105948,7.474165056,7.494581413,7.609332714,7.855413383,8.005370632,8.078779554,8.53189368,8.926239777,8.9057171,9.216207063,8.851008178,7.586930855,7.864212268,9.441816729,8.30718513,7.909552788,7.576928996,7.418300743,7.448477695,8.163278439,10.83525892,8.737856134,8.08659145,7.157376394,7.795728996,7.973584015,7.904584015,7.840681041,7.190951301,7.525672491,0.168397605200033,0.960516739298744,8.86865693006829
"GSM672722",7.105244981,11.24473197,8.057889591,8.854895539,8.631756506,7.912212454,7.728157621,7.300564684,12.72266468,7.439285688,8.979176952,7.568715242,7.569546468,7.875115242,8.067376208,8.163278439,8.309239405,8.380965242,9.312601859,9.352210781,9.368698513,8.950156134,7.367974535,7.304877138,10.00124461,8.438575465,8.009399628,7.626144981,7.619773234,7.967410409,8.587512268,9.265012082,8.409305576,7.906473978,7.228956877,7.425346468,7.852455762,8.324371375,7.430656506,7.419142751,7.189788476,0.462578006636112,0.0939410141807123,7.99398216192533
"GSM672723",7.243707063,11.51739071,9.331000743,10.54862454,8.165575836,7.823384758,7.654162825,7.460065056,12.09219442,7.300564684,8.139266914,7.493245725,7.320828439,7.313760595,7.739739777,7.61314684,7.719055204,7.798363941,8.80799777,8.620707063,8.629306691,8.282275836,7.329580297,7.491115242,9.500806691,8.297544238,7.817295911,7.447595539,7.314648699,7.481363197,8.205537918,9.068281041,7.627617472,7.183873606,7.132457993,8.321381413,7.381003346,8.031022305,7.550943123,7.001856877,7.353031784,0.494518518288177,0.0137404694013973,7.91303206042066
"GSM672724",7.270249071,10.79582193,7.788498141,8.760095167,8.818431227,7.931394796,7.684879182,7.152958364,13.05679517,8.18960632,9.159348327,7.778707063,7.739739777,8.003266543,8.313920074,8.284093123,8.424176208,8.521008922,9.656692193,9.491711524,9.63347026,9.080512639,7.619773234,8.064017472,9.793719145,8.840472491,8.115733457,7.904584015,7.780598141,7.928262825,8.200952045,9.398832714,8.323040892,7.634766543,7.515874349,7.502536431,7.669763569,8.108623048,8.029918216,7.434428625,7.205772862,0.460588670942954,0.0989507903420555,7.99903875960671
"GSM672725",7.156690706,9.844852788,8.895476208,10.24510112,8.599350558,7.879058736,7.668779182,7.175556134,11.85680372,7.372210409,8.601725651,7.749934201,7.670738662,7.925253903,8.061049071,8.116738662,8.169930112,8.303515613,9.137415985,9.159348327,9.091635688,8.564656134,7.194324907,7.208010781,9.864209294,8.334871375,7.89222119,7.608422677,7.416600743,7.462750558,8.477389963,9.670372119,7.912741264,7.592651673,7.135171747,7.976651301,7.593509294,8.246547955,7.312733086,7.18144684,7.403995539,0.397137992101083,0.260762085862484,8.16236234840556
"GSM672727",7.077814498,9.61657658,8.684418216,9.895909665,8.631756506,7.877609665,7.706968401,7.155304089,12.15180074,7.583214498,8.574934572,7.797280669,7.845779182,7.983840149,8.156835688,8.144518587,8.239889591,8.391205576,9.314887361,9.207777695,9.193304461,8.547517286,7.197662082,7.60192119,9.543722677,8.272876208,7.847688476,7.699220446,7.589801115,7.439755019,8.248820818,9.521692565,7.808284015,7.215349628,7.315667658,8.019628996,7.490282156,8.049933457,7.670738662,7.111310409,7.317484015,0.340602580365483,0.410819135515551,8.31382183579846
"GSM672731",7.101850929,9.916043494,8.792524907,10.08658401,8.346910409,7.862260595,7.704572862,7.255019703,12.233029,7.456822305,8.316217472,7.728157621,7.70978513,7.955817844,8.150184387,8.113799628,8.194155019,8.441049442,9.062107435,9.090420074,8.935267286,8.368715242,7.499842751,7.31324684,9.819645353,8.174248327,7.793164312,7.531243866,7.517730112,7.413969517,8.244351301,9.043852416,7.850618216,7.204681041,7.291402602,7.883198141,7.393342379,8.184770446,7.334923048,7.282736059,7.280100743,0.378194323919538,0.310226594721971,8.21228915406594
"GSM672732",7.212406691,11.15801487,8.91187026,10.70775019,8.048987361,7.781533457,7.506061338,7.210253903,11.74338513,7.451171004,7.969496654,7.429003346,7.505216357,7.527495539,7.746923792,7.693285502,7.818343866,7.800219703,8.639073606,8.487209294,8.496584015,8.120082156,7.206927881,7.329127695,9.304019331,8.225892565,7.712223048,7.574069517,7.262255019,7.356145725,8.454589219,9.071826022,7.414878439,7.064322677,7.166906691,8.180901859,7.211249442,7.929290335,7.427298885,7.145996283,7.16059777,0.382631894979043,0.298575724596008,8.20052939455421
"GSM672733",7.180258364,9.418096283,8.400856506,9.849930112,8.500448327,7.829472119,7.687710037,7.03734461,11.9588368,7.545562825,8.529390335,7.8041171,7.872061338,7.997119703,8.126315242,8.100355762,8.146702602,8.284689219,9.181440892,9.096666171,9.045071375,8.596839033,7.169377323,7.517272677,9.761062825,8.34812974,7.79415316,7.612225279,7.542924907,7.412204089,8.090775465,9.107285874,7.747397026,7.159424535,7.310779182,7.836457993,7.556651301,7.984951301,7.528486617,7.139126022,7.213489591,0.266460554700464,0.623553115355553,8.52854403386989
"GSM672734",7.189788476,11.17905353,9.211330855,10.69138996,8.184770446,7.753662454,7.571387732,7.350939963,11.7445632,7.360777323,8.756268401,7.60192119,7.47696803,7.647143123,7.779686989,7.793164312,7.777772862,7.930322305,8.338381041,8.297544238,8.484646468,8.17870632,7.111310409,7.226811896,10.28171859,8.080995167,7.853407063,7.628094052,7.358100372,7.333966171,8.174248327,8.725552788,7.409791264,7.269249814,7.064322677,8.260122677,7.380567286,8.061049071,7.219695725,7.126487361,7.148817472,0.478954003559163,0.052778983219022,7.95243542937313
