"","resD","fur","kre","nsrR","ykoP","ykuN","ykuO","ykuP","pval","z","inv_cof_var"
"GSM672679",12.48356283,13.33925093,12.37832454,13.73361487,7.960021933,7.396921933,7.817295911,8.144518587,0.137274635073994,1.09264597138291,24.6146372904305
"GSM672680",12.45691115,13.11002677,12.42956691,13.66754238,8.312686245,7.411239405,7.482289963,7.90696487,0.273177486031998,0.603231083644247,18.6029193902163
"GSM672681",12.44072714,13.29444201,12.40194684,13.82848513,8.408137918,7.314648699,7.270249071,7.909048513,0.400196905119883,0.252837471397039,14.2988665229237
"GSM672683",11.4285632,12.62092416,12.01236766,13.24606989,7.465811524,7.941104461,7.793164312,8.088671747,0.069617481368344,1.47864595854799,29.3560603457134
"GSM672684",11.50759814,12.56473271,11.73589108,13.48460855,7.47696803,8.034003346,7.817295911,8.177703717,0.116492613840124,1.19270423191178,25.8437009150887
"GSM672685",11.47656617,12.67875353,11.72602565,13.41578699,7.61607658,7.951738662,7.8573171,8.230542007,0.0520844581837396,1.62497016385269,31.1534307696687
"GSM672686",11.42064888,12.5479145,12.0407881,13.00295056,7.340946468,7.782479554,7.802120446,8.049933457,0.110004134705578,1.22650613137836,26.2589058652759
"GSM672687",11.70353494,12.2829855,11.37447026,13.0950171,7.390745353,7.957765056,7.979769517,8.135997026,0.147062304383241,1.04911626997564,24.0799410813508
"GSM672688",11.76822193,12.31870483,11.61507807,13.07706859,7.439755019,7.889139777,7.76787026,8.041408922,0.0584799409615884,1.56766265310676,30.4494951175274
"GSM672689",12.74146729,14.28826431,12.73350074,13.12244907,7.467951301,7.755745725,7.641766729,8.252212268,0.166056541095411,0.969866415806732,23.1064770964321
"GSM672690",12.91142379,13.75453086,12.63305613,12.94628513,7.649154647,7.774867658,7.624310781,8.151339033,0.0447638899964974,1.69789394656085,32.0491885834197
"GSM672691",13.19793569,13.7522145,12.6482026,12.81725688,7.429003346,7.746923792,7.485827881,8.003266543,0.073009911518069,1.45373488302382,29.0500656520616
"GSM672692",12.02735651,12.53577732,11.6064513,13.51044907,8.543130112,9.513952416,9.494378067,9.745832714,0.304149549310817,0.512502889406471,17.4884614466227
"GSM672695",12.64033755,11.34575651,12.34201004,10.80278067,7.250825651,7.648112639,7.637442007,7.854380669,0.0612416483149531,1.54443371917462,30.1641629761861
"GSM672696",12.57880929,12.70778104,12.56626989,12.32742639,7.342362825,7.610263941,7.653642379,8.123189219,0.154825828666599,1.01595323330641,23.6725835894464
"GSM672697",12.50635242,12.64667732,13.20863941,12.66046617,7.350514126,7.738784015,7.606418959,8.127392193,0.1526934705745,1.0249496596362,23.7830910107769
"GSM672707",11.3084513,13.7824868,13.02507807,12.39295911,7.226811896,7.61314684,7.520542007,7.854897026,0.0724959937135605,1.45745078409569,29.0957098479143
"GSM672708",11.47842751,13.33925093,12.84668736,12.07722007,7.176684387,7.651796654,7.387064312,7.868198885,0.132595611808147,1.11420506361752,24.8794579649671
"GSM672709",11.38266952,13.6722223,12.9836684,12.25706059,7.311718959,7.566876952,7.377762825,7.850618216,0.0519464955380015,1.62626642427862,31.1693533584603
"GSM672710",11.59151078,13.80343717,10.12423866,14.37361413,8.111246468,7.6393,7.617057249,7.815310781,0.0308134213254005,1.86897104676415,34.1506106925037
"GSM672711",11.17175985,14.5439829,10.28889442,14.45389294,8.109748699,7.646154275,7.677404833,7.954822677,0.0257110892869277,1.9479397016153,35.1206205712755
"GSM672712",11.1695632,14.47120892,10.68896989,14.41869665,8.147725651,7.452099257,7.507884387,7.805177323,0.145373347640723,1.05648498911293,24.1704545942192
"GSM672713",12.0179461,13.37237472,13.36832156,16.03633346,7.332467658,7.490282156,7.498580855,8.083214498,0.168031676420477,0.961972629674772,23.0095139337273
"GSM672714",11.35399554,13.90030558,13.77660149,15.90234647,7.497289219,7.546874164,7.515012639,8.005370632,0.0503486392748203,1.64148258812067,31.3562608000473
"GSM672715",11.63374164,13.51256134,13.54736245,15.92557398,7.378700743,7.574069517,7.506534758,8.109748699,0.153664314822708,1.02084341893518,23.7326520859641
"GSM672729",14.90230818,13.91563829,11.78330967,13.40495093,7.362719331,7.927261338,7.633254461,8.072042007,0.138336168370936,1.08782507699191,24.5554199314341
"GSM672735",14.58155874,13.58394275,11.63497546,12.9397052,7.334518587,7.989135316,7.907455762,8.107589591,0.172054572855919,0.946077329810274,22.8142643385092
"GSM672766",11.89681338,12.90368476,11.63374164,13.7522145,7.435760037,7.833525279,7.910605948,8.104676952,0.087902195495385,1.35378684748313,27.8223559738222
"GSM672767",11.61139071,12.43471264,11.57506468,13.37430892,7.243707063,8.64275539,8.530658364,8.734165056,0.479575689227495,0.0512185399938064,11.822284446438
"GSM672777",14.05355316,12.17600892,11.38266952,13.02507807,7.325028996,8.510088476,8.441049442,8.410509294,0.395809145641886,0.264209759398256,14.4385577931652
"GSM672787",11.61507807,12.77562007,11.90566059,13.29628699,7.459166171,9.000723048,8.692872119,8.951537918,0.481053356573317,0.0475100594025659,11.7767313999093
"GSM672788",11.87752714,12.88436691,10.92041933,13.06405353,7.251828625,8.465450186,8.538096654,8.620707063,0.451650269516163,0.12149302499054,12.6854996651969
